rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,phd,1,1792,1076,78.598,1369
2,psychoanalytic,1,1560,629,45.946,1369
3,runninghead,1,1369,1369,100.0,1369
4,psychoanalysis,1,1169,429,31.337,1369
5,new,1,913,468,34.186,1369
6,treatment,1,859,366,26.735,1369
7,clinical,1,829,490,35.793,1369
8,between,1,819,455,33.236,1369
9,university,1,796,208,15.194,1369
10,e-mail,1,791,629,45.946,1369
11,theory,1,782,352,25.712,1369
12,attachment,1,771,130,9.496,1369
13,patients,1,679,294,21.476,1369
14,psychotherapy,1,674,270,19.722,1369
15,psychology,1,617,274,20.015,1369
16,process,1,614,321,23.448,1369
17,research,1,570,315,23.009,1369
18,personality,1,559,177,12.929,1369
19,york,1,541,300,21.914,1369
20,self,1,503,204,14.901,1369
21,therapeutic,1,489,238,17.385,1369
22,experience,1,487,268,19.576,1369
23,relationship,1,487,245,17.896,1369
24,development,1,481,262,19.138,1369
25,patient,1,467,245,17.896,1369
26,object,1,449,172,12.564,1369
27,about,1,439,290,21.183,1369
28,work,1,406,259,18.919,1369
29,analysis,1,392,202,14.755,1369
30,analytic,1,375,196,14.317,1369
31,psychodynamic,1,363,141,10.299,1369
32,both,1,362,290,21.183,1369
33,practice,1,348,250,18.262,1369
34,psychological,1,340,202,14.755,1369
35,other,1,338,253,18.481,1369
36,child,1,327,124,9.058,1369
37,transference,1,325,131,9.569,1369
38,com,1,323,314,22.936,1369
39,also,1,318,270,19.722,1369
40,relational,1,313,133,9.715,1369
41,freud,1,308,133,9.715,1369
42,freud's,1,301,131,9.569,1369
43,relations,1,294,133,9.715,1369
44,one,1,293,217,15.851,1369
45,understanding,1,292,215,15.705,1369
46,therapy,1,290,159,11.614,1369
47,unconscious,1,288,148,10.811,1369
48,mental,1,285,172,12.564,1369
49,trauma,1,285,107,7.816,1369
50,analyst,1,284,168,12.272,1369
51,functioning,1,283,131,9.569,1369
52,developmental,1,280,175,12.783,1369
53,two,1,278,192,14.025,1369
54,children,1,275,109,7.962,1369
55,early,1,274,167,12.199,1369
56,theoretical,1,272,187,13.66,1369
57,online,1,267,80,5.844,1369
58,institute,1,263,139,10.153,1369
59,life,1,262,170,12.418,1369
60,social,1,260,142,10.373,1369
61,model,1,258,151,11.03,1369
62,adult,1,255,116,8.473,1369
63,interpersonal,1,253,128,9.35,1369
64,sexual,1,252,81,5.917,1369
65,states,1,252,157,11.468,1369
66,well,1,250,215,15.705,1369
67,affect,1,245,100,7.305,1369
68,implications,1,239,188,13.733,1369
69,disorders,1,238,103,7.524,1369
70,disorder,1,236,109,7.962,1369
71,change,1,236,129,9.423,1369
72,therapist,1,234,109,7.962,1369
73,experiences,1,231,138,10.08,1369
74,patient's,1,231,144,10.519,1369
75,school,1,231,90,6.574,1369
76,relationships,1,228,132,9.642,1369
77,emotional,1,224,118,8.619,1369
78,robert,1,213,66,4.821,1369
79,training,1,212,127,9.277,1369
80,borderline,1,209,62,4.529,1369
81,all,1,209,178,13.002,1369
82,countertransference,1,207,83,6.063,1369
83,processes,1,204,138,10.08,1369
84,edu,1,201,200,14.609,1369
85,depression,1,200,51,3.725,1369
86,empirical,1,199,129,9.423,1369
87,results,1,196,150,10.957,1369
88,org,1,196,143,10.446,1369
89,contemporary,1,195,135,9.861,1369
90,aspects,1,193,144,10.519,1369
91,first,1,192,150,10.957,1369
92,group,1,190,100,7.305,1369
93,therapists,1,190,92,6.72,1369
94,among,1,188,107,7.816,1369
95,three,1,188,125,9.131,1369
96,theories,1,187,115,8.4,1369
97,time,1,187,121,8.839,1369
98,women,1,186,74,5.405,1369
99,human,1,184,125,9.131,1369
100,behavior,1,182,109,7.962,1369
101,john,1,182,66,4.821,1369
102,available,1,182,82,5.99,1369
