period,n_records_group,rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1970-1989,123,1,phd,1,143,104,84.553,123
1970-1989,123,2,runninghead,1,123,123,100.0,123
1970-1989,123,3,psychoanalytic,1,110,45,36.585,123
1970-1989,123,4,treatment,1,76,38,30.894,123
1970-1989,123,5,object,1,69,28,22.764,123
1970-1989,123,6,psychoanalysis,1,68,28,22.764,123
1970-1989,123,7,clinical,1,65,39,31.707,123
1970-1989,123,8,theory,1,64,31,25.203,123
1970-1989,123,9,borderline,1,60,14,11.382,123
1970-1989,123,10,process,1,58,29,23.577,123
1970-1989,123,11,patients,1,57,26,21.138,123
1970-1989,123,12,psychology,1,56,22,17.886,123
1970-1989,123,13,between,1,53,40,32.52,123
1970-1989,123,14,psychotherapy,1,52,22,17.886,123
1970-1989,123,15,transference,1,48,19,15.447,123
1970-1989,123,16,self,1,48,21,17.073,123
1970-1989,123,17,patient,1,45,18,14.634,123
1970-1989,123,18,narcissism,1,42,9,7.317,123
1970-1989,123,19,two,1,41,25,20.325,123
1970-1989,123,20,relations,1,38,17,13.821,123
1970-1989,123,21,model,1,38,16,13.008,123
1970-1989,123,22,research,1,35,23,18.699,123
1970-1989,123,23,child,1,35,13,10.569,123
1970-1989,123,24,conflict,1,34,14,11.382,123
1970-1989,123,25,therapeutic,1,34,23,18.699,123
1970-1989,123,26,new,1,34,19,15.447,123
1970-1989,123,27,both,1,34,30,24.39,123
1970-1989,123,28,developmental,1,33,22,17.886,123
1970-1989,123,29,implications,1,33,27,21.951,123
1970-1989,123,30,depression,1,33,5,4.065,123
1970-1989,123,31,rorschach,1,31,11,8.943,123
1970-1989,123,32,experience,1,31,21,17.073,123
1970-1989,123,33,relationship,1,30,21,17.073,123
1970-1989,123,34,john,1,30,9,7.317,123
1970-1989,123,35,affect,1,29,12,9.756,123
1970-1989,123,36,psychological,1,29,17,13.821,123
1970-1989,123,37,about,1,29,21,17.073,123
1970-1989,123,38,play,1,27,7,5.691,123
1970-1989,123,39,therapy,1,27,15,12.195,123
1970-1989,123,40,data,1,27,18,14.634,123
1970-1989,123,41,theoretical,1,26,19,15.447,123
1970-1989,123,42,development,1,26,20,16.26,123
1970-1989,123,43,unconscious,1,26,15,12.195,123
1970-1989,123,44,interpersonal,1,26,14,11.382,123
1970-1989,123,45,also,1,26,20,16.26,123
1970-1989,123,46,narcissistic,1,26,10,8.13,123
1970-1989,123,47,aspects,1,25,17,13.821,123
1970-1989,123,48,early,1,25,16,13.008,123
1970-1989,123,49,personality,1,24,17,13.821,123
1970-1989,123,50,other,1,23,20,16.26,123
1970-1989,123,51,human,1,23,14,11.382,123
1970-1989,123,52,schizophrenic,1,23,8,6.504,123
1970-1989,123,53,therapist,1,23,12,9.756,123
1970-1989,123,54,projective,1,23,7,5.691,123
1970-1989,123,55,freud,1,22,11,8.943,123
1970-1989,123,56,psychopathology,1,21,14,11.382,123
1970-1989,123,57,well,1,21,21,17.073,123
1970-1989,123,58,one,1,21,14,11.382,123
1970-1989,123,59,behavior,1,21,16,13.008,123
1970-1989,123,60,individual,1,21,14,11.382,123
1970-1989,123,61,shame,1,21,5,4.065,123
1970-1989,123,62,interpretation,1,20,8,6.504,123
1970-1989,123,63,subjects,1,20,9,7.317,123
1970-1989,123,64,empirical,1,20,14,11.382,123
1970-1989,123,65,frank,1,20,6,4.878,123
1970-1989,123,66,incest,1,20,3,2.439,123
1970-1989,123,67,levels,1,19,8,6.504,123
1970-1989,123,68,fantasy,1,19,7,5.691,123
1970-1989,123,69,freud's,1,19,11,8.943,123
1970-1989,123,70,three,1,19,11,8.943,123
1970-1989,123,71,dynamic,1,19,9,7.317,123
1970-1989,123,72,identification,1,19,6,4.878,123
1970-1989,123,73,interaction,1,19,13,10.569,123
1970-1989,123,74,understanding,1,19,14,11.382,123
1970-1989,123,75,conflicts,1,18,11,8.943,123
1970-1989,123,76,science,1,18,8,6.504,123
1970-1989,123,77,social,1,18,10,8.13,123
1970-1989,123,78,problems,1,18,11,8.943,123
1970-1989,123,79,silverman,1,18,6,4.878,123
1970-1989,123,80,experiences,1,18,13,10.569,123
1970-1989,123,81,robert,1,18,6,4.878,123
1970-1989,123,82,states,1,18,7,5.691,123
1970-1989,123,83,analysis,1,17,13,10.569,123
1970-1989,123,84,ego,1,17,9,7.317,123
1970-1989,123,85,fantasies,1,17,6,4.878,123
1970-1989,123,86,differences,1,17,10,8.13,123
1970-1989,123,87,biological,1,17,5,4.065,123
1970-1989,123,88,method,1,17,9,7.317,123
1970-1989,123,89,adaptive,1,17,3,2.439,123
1970-1989,123,90,lachmann,1,16,5,4.065,123
1970-1989,123,91,against,1,16,12,9.756,123
1970-1989,123,92,mental,1,16,11,8.943,123
1970-1989,123,93,disorders,1,16,10,8.13,123
1970-1989,123,94,insight,1,16,9,7.317,123
1970-1989,123,95,women,1,16,10,8.13,123
1970-1989,123,96,children,1,16,9,7.317,123
1970-1989,123,97,joseph,1,16,5,4.065,123
1970-1989,123,98,recent,1,16,14,11.382,123
1970-1989,123,99,life,1,16,12,9.756,123
1970-1989,123,100,diagnostic,1,15,8,6.504,123
1990-2009,622,1,psychoanalytic,1,833,344,55.305,622
1990-2009,622,2,phd,1,730,506,81.35,622
1990-2009,622,3,psychoanalysis,1,717,265,42.605,622
1990-2009,622,4,runninghead,1,622,622,100.0,622
1990-2009,622,5,new,1,497,244,39.228,622
1990-2009,622,6,theory,1,454,200,32.154,622
1990-2009,622,7,clinical,1,378,232,37.299,622
1990-2009,622,8,treatment,1,364,170,27.331,622
1990-2009,622,9,psychology,1,320,163,26.206,622
1990-2009,622,10,york,1,306,162,26.045,622
1990-2009,622,11,university,1,288,150,24.116,622
1990-2009,622,12,between,1,269,188,30.225,622
1990-2009,622,13,development,1,260,140,22.508,622
1990-2009,622,14,psychotherapy,1,252,127,20.418,622
1990-2009,622,15,self,1,251,106,17.042,622
1990-2009,622,16,object,1,240,91,14.63,622
1990-2009,622,17,process,1,238,146,23.473,622
1990-2009,622,18,analytic,1,228,118,18.971,622
1990-2009,622,19,experience,1,227,126,20.257,622
1990-2009,622,20,freud,1,222,83,13.344,622
1990-2009,622,21,research,1,219,126,20.257,622
1990-2009,622,22,freud's,1,218,87,13.987,622
1990-2009,622,23,patients,1,218,113,18.167,622
1990-2009,622,24,practice,1,216,162,26.045,622
1990-2009,622,25,work,1,208,137,22.026,622
1990-2009,622,26,patient,1,207,118,18.971,622
1990-2009,622,27,therapeutic,1,191,103,16.559,622
1990-2009,622,28,e-mail,1,191,187,30.064,622
1990-2009,622,29,analysis,1,182,89,14.309,622
1990-2009,622,30,analyst,1,179,112,18.006,622
1990-2009,622,31,transference,1,179,72,11.576,622
1990-2009,622,32,relational,1,178,69,11.093,622
1990-2009,622,33,child,1,178,71,11.415,622
1990-2009,622,34,about,1,177,125,20.096,622
1990-2009,622,35,other,1,167,127,20.418,622
1990-2009,622,36,one,1,162,116,18.65,622
1990-2009,622,37,psychological,1,159,99,15.916,622
1990-2009,622,38,relationship,1,157,100,16.077,622
1990-2009,622,39,unconscious,1,156,81,13.023,622
1990-2009,622,40,both,1,156,128,20.579,622
1990-2009,622,41,institute,1,150,105,16.881,622
1990-2009,622,42,also,1,146,123,19.775,622
1990-2009,622,43,attachment,1,142,38,6.109,622
1990-2009,622,44,two,1,141,95,15.273,622
1990-2009,622,45,theoretical,1,139,97,15.595,622
1990-2009,622,46,early,1,139,84,13.505,622
1990-2009,622,47,training,1,137,85,13.666,622
1990-2009,622,48,contemporary,1,136,92,14.791,622
1990-2009,622,49,robert,1,130,40,6.431,622
1990-2009,622,50,relations,1,129,60,9.646,622
1990-2009,622,51,developmental,1,129,88,14.148,622
1990-2009,622,52,children,1,128,54,8.682,622
1990-2009,622,53,theories,1,127,74,11.897,622
1990-2009,622,54,understanding,1,126,96,15.434,622
1990-2009,622,55,trauma,1,125,47,7.556,622
1990-2009,622,56,countertransference,1,124,46,7.395,622
1990-2009,622,57,well,1,116,100,16.077,622
1990-2009,622,58,affect,1,115,48,7.717,622
1990-2009,622,59,therapy,1,113,69,11.093,622
1990-2009,622,60,personality,1,112,47,7.556,622
1990-2009,622,61,patient's,1,112,73,11.736,622
1990-2009,622,62,aspects,1,107,77,12.379,622
1990-2009,622,63,sexual,1,107,42,6.752,622
1990-2009,622,64,center,1,104,87,13.987,622
1990-2009,622,65,analyst's,1,102,51,8.199,622
1990-2009,622,66,language,1,102,31,4.984,622
1990-2009,622,67,life,1,101,69,11.093,622
1990-2009,622,68,all,1,97,85,13.666,622
1990-2009,622,69,school,1,97,64,10.289,622
1990-2009,622,70,interpersonal,1,96,52,8.36,622
1990-2009,622,71,mental,1,95,63,10.129,622
1990-2009,622,72,private,1,94,78,12.54,622
1990-2009,622,73,professor,1,94,83,13.344,622
1990-2009,622,74,ego,1,92,43,6.913,622
1990-2009,622,75,processes,1,92,74,11.897,622
1990-2009,622,76,city,1,92,63,10.129,622
1990-2009,622,77,paul,1,90,29,4.662,622
1990-2009,622,78,implications,1,89,70,11.254,622
1990-2009,622,79,literature,1,89,75,12.058,622
1990-2009,622,80,own,1,89,70,11.254,622
1990-2009,622,81,conflict,1,89,50,8.039,622
1990-2009,622,82,change,1,87,57,9.164,622
1990-2009,622,83,com,1,86,86,13.826,622
1990-2009,622,84,although,1,84,78,12.54,622
1990-2009,622,85,anxiety,1,84,36,5.788,622
1990-2009,622,86,human,1,84,63,10.129,622
1990-2009,622,87,many,1,84,63,10.129,622
1990-2009,622,88,nature,1,81,66,10.611,622
1990-2009,622,89,reality,1,80,49,7.878,622
1990-2009,622,90,first,1,80,65,10.45,622
1990-2009,622,91,behavior,1,79,57,9.164,622
1990-2009,622,92,emotional,1,79,47,7.556,622
1990-2009,622,93,technique,1,79,50,8.039,622
1990-2009,622,94,women,1,79,31,4.984,622
1990-2009,622,95,therapist,1,79,41,6.592,622
1990-2009,622,96,adult,1,79,47,7.556,622
1990-2009,622,97,history,1,78,49,7.878,622
1990-2009,622,98,gender,1,78,33,5.305,622
1990-2009,622,99,dreams,1,77,20,3.215,622
1990-2009,622,100,department,1,77,66,10.611,622
2010-2025,624,1,phd,1,919,466,74.679,624
2010-2025,624,2,runninghead,1,624,624,100.0,624
2010-2025,624,3,attachment,1,618,89,14.263,624
2010-2025,624,4,psychoanalytic,1,617,240,38.462,624
2010-2025,624,5,e-mail,1,600,442,70.833,624
2010-2025,624,6,university,1,506,57,9.135,624
2010-2025,624,7,between,1,497,227,36.378,624
2010-2025,624,8,personality,1,423,113,18.109,624
2010-2025,624,9,treatment,1,419,158,25.321,624
2010-2025,624,10,patients,1,404,155,24.84,624
2010-2025,624,11,clinical,1,386,219,35.096,624
2010-2025,624,12,psychoanalysis,1,384,136,21.795,624
2010-2025,624,13,new,1,382,205,32.853,624
2010-2025,624,14,psychotherapy,1,370,121,19.391,624
