rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,e-mail notification latest,3,150,50,3.652,1369
2,notification latest online,3,150,50,3.652,1369
3,new york e-mail,3,132,131,9.569,1369
4,https orcid org,3,124,74,5.405,1369
5,school professional psychology,3,89,12,0.877,1369
6,university new york,3,69,23,1.68,1369
7,united states email,3,68,66,4.821,1369
8,new york new,3,64,54,3.944,1369
9,york new york,3,64,54,3.944,1369
10,city university new,3,58,18,1.315,1369
11,borderline personality disorder,3,53,23,1.68,1369
12,new york city,3,52,41,2.995,1369
13,latest online e-mail,3,50,50,3.652,1369
14,online e-mail notification,3,50,50,3.652,1369
15,latest online runninghead,3,50,50,3.652,1369
16,online runninghead e-mail,3,50,50,3.652,1369
17,runninghead e-mail notification,3,50,50,3.652,1369
18,latest online like,3,50,50,3.652,1369
19,online like know,3,50,50,3.652,1369
20,like know next,3,50,50,3.652,1369
21,know next favorite,3,50,50,3.652,1369
22,next favorite apa,3,50,50,3.652,1369
23,favorite apa journal,3,50,50,3.652,1369
24,apa journal available,3,50,50,3.652,1369
25,journal available online,3,50,50,3.652,1369
26,available online service,3,50,50,3.652,1369
27,online service now,3,50,50,3.652,1369
28,service now available,3,50,50,3.652,1369
29,now available sign,3,50,50,3.652,1369
30,interest become available,3,50,50,3.652,1369
31,notified e-mail interest,3,49,49,3.579,1369
32,e-mail interest become,3,49,49,3.579,1369
33,chicago school professional,3,46,4,0.292,1369
34,street new york,3,43,42,3.068,1369
35,psychodynamic diagnostic manual,3,43,21,1.534,1369
36,new york united,3,41,32,2.337,1369
37,york united states,3,41,32,2.337,1369
38,new york university,3,37,34,2.484,1369
39,suite new york,3,37,37,2.703,1369
40,pacifica graduate institute,3,34,3,0.219,1369
41,sexual boundary violations,3,34,8,0.584,1369
42,correspondence concerning addressed,3,33,33,2.411,1369
43,org https orcid,3,33,21,1.534,1369
44,requests reprints sent,3,32,32,2.337,1369
45,long island university,3,32,6,0.438,1369
46,orcid org https,3,32,20,1.461,1369
47,object relations theory,3,31,18,1.315,1369
48,alliant international university,3,30,2,0.146,1369
49,members underrepresented groups,3,28,7,0.511,1369
50,com https orcid,3,28,27,1.972,1369
51,available sign https,3,27,27,1.972,1369
52,sign https apa,3,27,27,1.972,1369
53,https apa org,3,27,27,1.972,1369
54,apa org portal,3,27,27,1.972,1369
55,org portal alerts,3,27,27,1.972,1369
56,portal alerts notified,3,27,27,1.972,1369
57,alerts notified e-mail,3,27,27,1.972,1369
58,training supervising analyst,3,25,23,1.68,1369
59,west street new,3,25,24,1.753,1369
60,california institute integral,3,25,5,0.365,1369
61,practice new york,3,24,23,1.68,1369
62,island university brooklyn,3,24,4,0.292,1369
63,international university san,3,24,2,0.146,1369
64,american psychological association,3,23,20,1.461,1369
65,available sign http,3,23,23,1.68,1369
66,sign http notify,3,23,23,1.68,1369
67,http notify apa,3,23,23,1.68,1369
68,notify apa org,3,23,23,1.68,1369
69,apa org notified,3,23,23,1.68,1369
70,psychodynamic doctoral dissertations,3,22,8,0.584,1369
71,massachusetts school professional,3,22,4,0.292,1369
72,org notified e-mail,3,22,22,1.607,1369
73,alliant international san,3,22,1,0.073,1369
74,gmail com https,3,22,22,1.607,1369
75,doctoral dissertations completed,3,21,7,0.511,1369
76,underrepresented groups reviewers,3,21,7,0.511,1369
77,groups reviewers journal,3,21,7,0.511,1369
78,reviewers journal manuscripts,3,21,7,0.511,1369
79,journal manuscripts wanted,3,21,7,0.511,1369
80,diagnostic manual pdm,3,21,13,0.95,1369
81,phd sidney blatt,3,20,12,0.877,1369
82,psychoanalytic theory practice,3,20,18,1.315,1369
83,avenue new york,3,20,20,1.461,1369
84,diagnostic statistical manual,3,19,18,1.315,1369
85,statistical manual mental,3,19,18,1.315,1369
86,street suite new,3,19,19,1.388,1369
87,manual mental disorders,3,18,17,1.242,1369
88,posttraumatic stress disorder,3,18,12,0.877,1369
89,austen riggs center,3,18,13,0.95,1369
90,electronic mail sent,3,18,18,1.315,1369
91,rome italy e-mail,3,18,18,1.315,1369
92,west end avenue,3,17,17,1.242,1369
93,private practice new,3,17,16,1.169,1369
94,state university new,3,17,10,0.73,1369
95,multiple personality disorder,3,17,5,0.365,1369
96,via degli apuli,3,17,17,1.242,1369
97,robert bornstein phd,3,16,14,1.023,1369
98,sidney blatt phd,3,16,14,1.023,1369
99,program psychotherapy psychoanalysis,3,16,16,1.169,1369
100,university san diego,3,16,2,0.146,1369
101,online first publication,3,16,4,0.292,1369
102,francesco gazzillo phd,3,16,15,1.096,1369
103,international san francisco,3,16,1,0.073,1369
104,between patient therapist,3,15,10,0.73,1369
105,phd department psychology,3,15,10,0.73,1369
106,psychoanalytic training research,3,15,15,1.096,1369
107,york university postdoctoral,3,15,14,1.023,1369
108,university postdoctoral program,3,15,15,1.096,1369
109,postdoctoral program psychotherapy,3,15,15,1.096,1369
110,central park west,3,15,15,1.096,1369
111,floor new york,3,15,15,1.096,1369
112,adult attachment interview,3,15,14,1.023,1369
113,degli apuli rome,3,15,15,1.096,1369
114,apuli rome italy,3,15,15,1.096,1369
115,phd frank lachmann,3,14,9,0.657,1369
116,borderline personality organization,3,14,7,0.511,1369
117,frank summers phd,3,14,14,1.023,1369
118,phd robert bornstein,3,14,12,0.877,1369
119,international universities press,3,14,8,0.584,1369
120,san francisco california,3,14,12,0.877,1369
121,social cognition object,3,14,9,0.657,1369
122,interested reviewing manuscripts,3,14,7,0.511,1369
123,new york freudian,3,13,13,0.95,1369
124,york freudian society,3,13,13,0.95,1369
125,adult attachment style,3,13,5,0.365,1369
126,cognition object relations,3,13,8,0.584,1369
127,edu https orcid,3,13,13,0.95,1369
128,robert stolorow phd,3,12,10,0.73,1369
129,thematic apperception test,3,12,12,0.877,1369
130,apartment new york,3,12,12,0.877,1369
131,childhood sexual abuse,3,12,8,0.584,1369
132,personality disorder runninghead,3,12,12,0.877,1369
133,east street new,3,12,12,0.877,1369
134,avenue suite new,3,12,12,0.877,1369
135,aviv israel e-mail,3,12,12,0.877,1369
136,chestnut hill e-mail,3,12,12,0.877,1369
137,commonwealth avenue chestnut,3,12,12,0.877,1369
138,avenue chestnut hill,3,12,12,0.877,1369
139,victims violent crime,3,12,3,0.219,1369
140,fielding graduate university,3,12,4,0.292,1369
141,relationship between attachment,3,12,5,0.365,1369
142,transference-focused psychotherapy tfp,3,12,6,0.438,1369
143,frank lachmann phd,3,11,11,0.804,1369
144,bornstein phd robert,3,11,11,0.804,1369
145,clinical professor psychology,3,11,11,0.804,1369
146,center mental health,3,11,8,0.584,1369
147,psychoanalysis new york,3,11,11,0.804,1369
148,level personality organization,3,11,8,0.584,1369
149,between patient analyst,3,11,11,0.804,1369
150,pratyusha tummala-narra phd,3,11,10,0.73,1369
151,long-term psychodynamic psychotherapy,3,11,4,0.292,1369
152,treatment personality disorders,3,11,5,0.365,1369
153,alan sugarman phd,3,10,9,0.657,1369
154,attachment theory research,3,10,5,0.365,1369
155,narcissistic personality disorder,3,10,7,0.511,1369
156,beatrice beebe phd,3,10,10,0.73,1369
157,harvard medical school,3,10,10,0.73,1369
158,institute psychoanalytic training,3,10,10,0.73,1369
159,language development self,3,10,4,0.292,1369
160,psychotherapy research group,3,10,6,0.438,1369
161,ferkauf graduate school,3,10,4,0.292,1369
162,international psychoanalytic association,3,10,10,0.73,1369
163,self object representations,3,10,4,0.292,1369
164,dunantlaan ghent belgium,3,10,10,0.73,1369
165,suite chicago e-mail,3,10,10,0.73,1369
166,shedler-westen assessment procedure,3,10,6,0.438,1369
167,tel aviv israel,3,10,10,0.73,1369
168,published online first,3,10,10,0.73,1369
169,control-mastery theory francesco,3,10,5,0.365,1369
170,theory francesco gazzillo,3,10,5,0.365,1369
171,orcid org email,3,10,10,0.73,1369
172,nancy mcwilliams phd,3,9,9,0.657,1369
173,ann arbor michigan,3,9,7,0.511,1369
174,diana diamond phd,3,9,9,0.657,1369
175,research clinical practice,3,9,7,0.511,1369
176,blatt phd sidney,3,9,9,0.657,1369
177,also private practice,3,9,8,0.584,1369
178,program clinical psychology,3,9,9,0.657,1369
179,east street suite,3,9,9,0.657,1369
180,clinical professor psychiatry,3,9,9,0.657,1369
181,independent practice new,3,9,9,0.657,1369
182,institute psychoanalytic subjectivity,3,9,9,0.657,1369
183,psychoanalytic subjectivity new,3,9,9,0.657,1369
184,subjectivity new york,3,9,9,0.657,1369
185,los angeles california,3,9,7,0.511,1369
186,clinical vignettes illustrate,3,9,9,0.657,1369
187,marilyn charles phd,3,9,7,0.511,1369
188,donna orange phd,3,9,8,0.584,1369
189,orange phd psyd,3,9,8,0.584,1369
190,therapeutic action psychoanalysis,3,9,4,0.292,1369
191,park west new,3,9,9,0.657,1369
192,west new york,3,9,9,0.657,1369
193,phd pratyusha tummala-narra,3,9,9,0.657,1369
194,stijn vanheule phd,3,9,9,0.657,1369
195,stress disorder ptsd,3,9,6,0.438,1369
196,ramat gan israel,3,9,8,0.584,1369
197,between attachment style,3,9,5,0.365,1369
198,garden city e-mail,3,9,9,0.657,1369
199,phd peter fonagy,3,9,6,0.438,1369
200,azusa pacific university,3,9,4,0.292,1369
201,personality disorder bpd,3,9,9,0.657,1369
202,intimate partner violence,3,9,5,0.365,1369
203,com new york,3,9,9,0.657,1369
204,italy e-mail francesco,3,9,9,0.657,1369
205,e-mail francesco gazzillo,3,9,9,0.657,1369
206,francesco gazzillo uniroma,3,9,9,0.657,1369
207,borderline schizophrenic patients,3,8,2,0.146,1369
208,phd alan sugarman,3,8,7,0.511,1369
209,riverside drive new,3,8,8,0.584,1369
210,drive new york,3,8,8,0.584,1369
211,lachmann phd frank,3,8,8,0.584,1369
212,doris silverman phd,3,8,8,0.584,1369
213,phd frank summers,3,8,8,0.584,1369
214,psychoanalytic theory therapy,3,8,4,0.292,1369
215,phd steven tuber,3,8,5,0.365,1369
216,phd diana diamond,3,8,7,0.511,1369
217,city new york,3,8,8,0.584,1369
218,morris eagle phd,3,8,8,0.584,1369
219,child sexual abuse,3,8,3,0.219,1369
220,center psychoanalytic training,3,8,8,0.584,1369
221,danielle knafo phd,3,8,8,0.584,1369
222,new school social,3,8,4,0.292,1369
223,school social research,3,8,4,0.292,1369
224,american psychoanalytic association,3,8,8,0.584,1369
225,william alanson white,3,8,7,0.511,1369
226,postdoctoral program psychoanalysis,3,8,8,0.584,1369
227,university school medicine,3,8,6,0.438,1369
228,diagnosed borderline personality,3,8,6,0.438,1369
229,manhattan institute psychoanalysis,3,8,8,0.584,1369
230,college city university,3,8,7,0.511,1369
231,three principles salience,3,8,2,0.146,1369
232,dynamic systems theory,3,8,5,0.365,1369
233,sexually abused children,3,8,4,0.292,1369
234,toronto ontario canada,3,8,6,0.438,1369
235,ontario canada e-mail,3,8,8,0.584,1369
236,tummala-narra phd pratyusha,3,8,8,0.584,1369
237,san francisco e-mail,3,8,8,0.584,1369
238,london united kingdom,3,8,7,0.511,1369
239,kohut's self psychology,3,8,2,0.146,1369
240,mental disorders dsm,3,8,8,0.584,1369
241,attachment interview aai,3,8,8,0.584,1369
242,jeremy safran phd,3,8,8,0.584,1369
243,university san francisco,3,8,2,0.146,1369
244,university brooklyn campus,3,8,1,0.073,1369
245,publication ofp records,3,8,4,0.292,1369
246,short-term long-term psychodynamic,3,8,2,0.146,1369
247,rutgers university gsapp,3,8,2,0.146,1369
248,adult attachment styles,3,8,4,0.292,1369
249,university detroit mercy,3,8,4,0.292,1369
250,honor sheldon bach,3,8,3,0.219,1369
