rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,psychotherapy,1,1272,384,44.138,870
2,psychoanalytic,1,1197,410,47.126,870
3,runninghead,1,870,870,100.0,870
4,patients,1,695,284,32.644,870
5,work,1,599,295,33.908,870
6,therapy,1,544,224,25.747,870
7,clinical,1,537,327,37.586,870
8,london,1,534,357,41.034,870
9,treatment,1,473,229,26.322,870
10,patient,1,441,220,25.287,870
11,psychoanalysis,1,416,168,19.31,870
12,health,1,409,191,21.954,870
13,between,1,399,254,29.195,870
14,psychodynamic,1,397,134,15.402,870
15,research,1,373,168,19.31,870
16,mental,1,370,181,20.805,870
17,about,1,362,222,25.517,870
18,understanding,1,361,223,25.632,870
19,practice,1,343,186,21.379,870
20,group,1,340,133,15.287,870
21,therapeutic,1,339,177,20.345,870
22,experience,1,318,194,22.299,870
23,one,1,304,217,24.943,870
24,other,1,295,207,23.793,870
25,both,1,293,228,26.207,870
26,development,1,276,181,20.805,870
27,also,1,275,215,24.713,870
28,service,1,272,124,14.253,870
29,working,1,269,163,18.736,870
30,nhs,1,269,140,16.092,870
31,care,1,257,114,13.103,870
32,theory,1,257,149,17.126,870
33,two,1,255,175,20.115,870
34,relationship,1,240,148,17.011,870
35,new,1,214,129,14.828,870
36,depression,1,214,58,6.667,870
37,child,1,213,103,11.839,870
38,process,1,213,137,15.747,870
39,mind,1,208,113,12.989,870
40,personality,1,207,99,11.379,870
41,training,1,199,94,10.805,870
42,psychological,1,192,123,14.138,870
43,all,1,188,140,16.092,870
44,services,1,188,84,9.655,870
45,disorder,1,188,88,10.115,870
46,life,1,187,111,12.759,870
47,first,1,181,142,16.322,870
48,time,1,180,135,15.517,870
49,disorders,1,177,78,8.966,870
50,hospital,1,176,87,10.0,870
51,thinking,1,170,111,12.759,870
52,staff,1,169,77,8.851,870
53,complex,1,169,94,10.805,870
54,people,1,167,95,10.92,870
55,emotional,1,167,97,11.149,870
56,children,1,166,74,8.506,870
57,psychotic,1,166,68,7.816,870
58,trauma,1,166,62,7.126,870
