period,n_records_group,rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1970-1989,39,1,psychotherapy,1,64,17,43.59,39
1970-1989,39,2,runninghead,1,39,39,100.0,39
1970-1989,39,3,psychoanalytic,1,33,14,35.897,39
1970-1989,39,4,london,1,26,24,61.538,39
1970-1989,39,5,patients,1,22,8,20.513,39
1970-1989,39,6,child,1,21,7,17.949,39
1970-1989,39,7,patient,1,18,7,17.949,39
1970-1989,39,8,group,1,17,6,15.385,39
1970-1989,39,9,both,1,16,14,35.897,39
1970-1989,39,10,psychotic,1,16,4,10.256,39
1970-1989,39,11,between,1,16,11,28.205,39
1970-1989,39,12,psychoanalysis,1,16,8,20.513,39
1970-1989,39,13,about,1,16,9,23.077,39
1970-1989,39,14,understanding,1,15,6,15.385,39
1970-1989,39,15,health,1,15,4,10.256,39
1970-1989,39,16,other,1,14,9,23.077,39
1970-1989,39,17,setting,1,14,7,17.949,39
1970-1989,39,18,one,1,14,10,25.641,39
1970-1989,39,19,theory,1,13,7,17.949,39
1970-1989,39,20,development,1,13,9,23.077,39
1970-1989,39,21,clinical,1,13,7,17.949,39
1970-1989,39,22,institution,1,13,3,7.692,39
1970-1989,39,23,treatment,1,12,9,23.077,39
1970-1989,39,24,aspects,1,12,8,20.513,39
1970-1989,39,25,different,1,12,7,17.949,39
1970-1989,39,26,psychiatry,1,11,2,5.128,39
1970-1989,39,27,psychiatric,1,11,5,12.821,39
1970-1989,39,28,relationship,1,11,10,25.641,39
1970-1989,39,29,experience,1,10,6,15.385,39
1970-1989,39,30,also,1,10,8,20.513,39
1970-1989,39,31,infancy,1,10,4,10.256,39
1970-1989,39,32,life,1,10,6,15.385,39
1970-1989,39,33,incest,1,10,4,10.256,39
1970-1989,39,34,process,1,10,6,15.385,39
1970-1989,39,35,elderly,1,10,2,5.128,39
1970-1989,39,36,therapist,1,9,4,10.256,39
1970-1989,39,37,supervision,1,9,2,5.128,39
1970-1989,39,38,early,1,9,5,12.821,39
1970-1989,39,39,countertransference,1,9,3,7.692,39
1970-1989,39,40,training,1,8,6,15.385,39
1970-1989,39,41,working,1,8,5,12.821,39
