journal_key,period,n_records,n_with_title,n_with_abstract,pct_with_abstract,median_abstract_chars,mean_abstract_chars,median_abstract_words,mean_abstract_words,median_text_words,mean_text_words,n_very_short_abstract_lt_80_chars,n_very_short_text_lt_120_chars,n_possible_html_artifact,n_possible_copyright_artifact
ijpa,1920-1945,686,686,686,100.0,2186.5,2180.68,359.0,363.79,367.0,370.74,0,0,0,0
ijpa,1946-1969,1205,1205,1205,100.0,2500.0,2438.07,407.0,393.41,415.0,401.17,0,0,0,0
ijpa,1970-1989,915,915,915,100.0,1906.0,1970.65,290.0,308.88,300.0,318.12,0,0,0,0
ijpa,1990-2009,1396,1396,1396,100.0,1536.5,1639.23,233.0,252.63,243.0,262.12,0,0,0,0
ijpa,2010-2025,1221,1221,1221,100.0,1788.0,2247.38,269.0,346.23,283.0,357.03,2,2,0,0
japa,1946-1969,538,538,538,100.0,1832.0,2023.78,290.5,317.7,299.5,325.32,0,0,0,0
japa,1970-1989,681,681,681,100.0,1498.0,1521.55,228.0,232.19,238.0,240.49,0,0,0,0
japa,1990-2009,975,974,975,100.0,1491.0,1534.72,220.0,229.06,228.0,238.32,4,5,0,0
japa,2010-2025,730,730,730,100.0,1794.5,1746.26,270.0,269.48,279.0,279.89,0,0,0,0
psychoanalytic_dialogues,1990-2009,535,535,535,100.0,1643.0,1669.85,249.0,255.03,262.0,265.3,0,0,0,0
psychoanalytic_dialogues,2010-2025,1043,1043,1043,100.0,1760.0,1834.39,268.0,282.0,278.0,292.65,0,0,0,0
psychoanalytic_psychology,1970-1989,123,123,123,100.0,1065.0,1141.49,156.0,166.64,164.0,175.32,0,0,0,0
psychoanalytic_psychology,1990-2009,622,622,622,100.0,1220.5,1350.11,178.0,198.41,188.0,208.16,0,0,0,0
psychoanalytic_psychology,2010-2025,624,624,624,100.0,1524.0,1652.02,220.0,239.99,233.5,251.32,0,0,0,0
psychoanalytic_psychotherapy,1970-1989,39,39,39,100.0,975.0,1075.85,157.0,165.28,166.0,173.08,0,0,0,0
psychoanalytic_psychotherapy,1990-2009,399,399,399,100.0,1242.0,1364.51,189.0,210.15,198.0,219.78,1,1,0,0
psychoanalytic_psychotherapy,2010-2025,432,432,432,100.0,1532.0,1640.06,225.0,243.71,236.0,255.78,3,3,0,0
