journal_key,n_records_group,rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
ijpa,5423,1,new york,2,889,715,13.185,5423
ijpa,5423,2,psychoanalytic theory,2,386,254,4.684,5423
ijpa,5423,3,final version,2,370,369,6.804,5423
ijpa,5423,4,version accepted,2,363,363,6.694,5423
ijpa,5423,5,gmail com,2,357,352,6.491,5423
ijpa,5423,6,oedipus complex,2,352,166,3.061,5423
ijpa,5423,7,clinical material,2,351,315,5.809,5423
ijpa,5423,8,acting out,2,347,112,2.065,5423
ijpa,5423,9,analytic process,2,335,214,3.946,5423
ijpa,5423,10,melanie klein,2,306,152,2.803,5423
ijpa,5423,11,relationship between,2,306,253,4.665,5423
ijpa,5423,12,sigmund freud,2,302,130,2.397,5423
ijpa,5423,13,ernest jones,2,299,131,2.416,5423
ijpa,5423,14,object relations,2,291,190,3.504,5423
ijpa,5423,15,same time,2,276,259,4.776,5423
ijpa,5423,16,buenos aires,2,269,191,3.522,5423
ijpa,5423,17,anna freud,2,266,127,2.342,5423
ijpa,5423,18,projective identification,2,251,125,2.305,5423
ijpa,5423,19,psychoanalytic treatment,2,229,139,2.563,5423
ijpa,5423,20,psychic reality,2,227,97,1.789,5423
ijpa,5423,21,accepted publication,2,225,225,4.149,5423
ijpa,5423,22,analytic situation,2,216,155,2.858,5423
ijpa,5423,23,other hand,2,214,206,3.799,5423
ijpa,5423,24,patient analyst,2,207,172,3.172,5423
ijpa,5423,25,international psycho-analytical,2,201,133,2.453,5423
ijpa,5423,26,between two,2,185,176,3.245,5423
ijpa,5423,27,edward glover,2,175,43,0.793,5423
ijpa,5423,28,pointed out,2,172,159,2.932,5423
ijpa,5423,29,analytic work,2,166,147,2.711,5423
ijpa,5423,30,psychoanalytic process,2,166,101,1.862,5423
ijpa,5423,31,thomas ogden,2,166,41,0.756,5423
ijpa,5423,32,street new,2,164,161,2.969,5423
ijpa,5423,33,road london,2,163,161,2.969,5423
ijpa,5423,34,death instinct,2,160,72,1.328,5423
ijpa,5423,35,one hand,2,153,151,2.784,5423
ijpa,5423,36,clinical practice,2,151,113,2.084,5423
ijpa,5423,37,theory practice,2,150,112,2.065,5423
ijpa,5423,38,years ago,2,150,137,2.526,5423
ijpa,5423,39,mental life,2,149,124,2.287,5423
ijpa,5423,40,psycho-analytical society,2,148,97,1.789,5423
ijpa,5423,41,psychoanalysis runninghead,2,145,145,2.674,5423
ijpa,5423,42,rachel blass,2,142,44,0.811,5423
ijpa,5423,43,psychic change,2,140,50,0.922,5423
ijpa,5423,44,psychoanalytic society,2,136,88,1.623,5423
ijpa,5423,45,san francisco,2,135,117,2.157,5423
ijpa,5423,46,transference neurosis,2,134,77,1.42,5423
ijpa,5423,47,international journal,2,132,85,1.567,5423
ijpa,5423,48,distinction between,2,131,116,2.139,5423
ijpa,5423,49,psychoanalytic technique,2,128,72,1.328,5423
ijpa,5423,50,defence mechanisms,2,128,79,1.457,5423
ijpa,5423,51,pleasure principle,2,127,84,1.549,5423
ijpa,5423,52,object relationships,2,127,87,1.604,5423
ijpa,5423,53,transference countertransference,2,126,101,1.862,5423
ijpa,5423,54,external world,2,125,92,1.696,5423
ijpa,5423,55,los angeles,2,125,110,2.028,5423
ijpa,5423,56,analyst patient,2,124,110,2.028,5423
ijpa,5423,57,psychoanalytic training,2,123,69,1.272,5423
ijpa,5423,58,mental functioning,2,122,95,1.752,5423
ijpa,5423,59,training analysis,2,122,51,0.94,5423
ijpa,5423,60,child analysis,2,121,55,1.014,5423
ijpa,5423,61,otto kernberg,2,120,31,0.572,5423
ijpa,5423,62,take place,2,117,109,2.01,5423
ijpa,5423,63,clinical work,2,117,96,1.77,5423
ijpa,5423,64,york usa,2,116,96,1.77,5423
ijpa,5423,65,psycho-analytic theory,2,115,78,1.438,5423
ijpa,5423,66,common ground,2,115,51,0.94,5423
ijpa,5423,67,difference between,2,113,103,1.899,5423
ijpa,5423,68,psycho-analytic treatment,2,113,68,1.254,5423
ijpa,5423,69,john steiner,2,113,29,0.535,5423
ijpa,5423,70,defence against,2,111,86,1.586,5423
ijpa,5423,71,internal objects,2,111,71,1.309,5423
ijpa,5423,72,repetition compulsion,2,110,49,0.904,5423
ijpa,5423,73,british psycho-analytical,2,109,67,1.235,5423
ijpa,5423,74,psychoanalytic association,2,109,83,1.531,5423
ijpa,5423,75,primal scene,2,108,46,0.848,5423
ijpa,5423,76,michael balint,2,108,29,0.535,5423
ijpa,5423,77,therapeutic action,2,104,48,0.885,5423
ijpa,5423,78,clinical prize,2,104,31,0.572,5423
ijpa,5423,79,aol com,2,104,102,1.881,5423
ijpa,5423,80,theory technique,2,103,70,1.291,5423
ijpa,5423,81,clinical experience,2,103,96,1.77,5423
ijpa,5423,82,aires argentina,2,103,74,1.365,5423
ijpa,5423,83,two years,2,102,90,1.66,5423
ijpa,5423,84,relation between,2,102,86,1.586,5423
ijpa,5423,85,one another,2,102,98,1.807,5423
ijpa,5423,86,robert wallerstein,2,102,27,0.498,5423
ijpa,5423,87,death drive,2,102,46,0.848,5423
ijpa,5423,88,first time,2,101,94,1.733,5423
ijpa,5423,89,psycho-analytical association,2,101,63,1.162,5423
ijpa,5423,90,analytic relationship,2,101,77,1.42,5423
ijpa,5423,91,herbert rosenfeld,2,101,23,0.424,5423
ijpa,5423,92,psycho-analytical congress,2,100,78,1.438,5423
ijpa,5423,93,heinz weiss,2,100,29,0.535,5423
ijpa,5423,94,castration complex,2,99,42,0.774,5423
ijpa,5423,95,differences between,2,98,88,1.623,5423
ijpa,5423,96,free association,2,98,61,1.125,5423
ijpa,5423,97,put forward,2,98,93,1.715,5423
ijpa,5423,98,external reality,2,98,77,1.42,5423
ijpa,5423,99,object relationship,2,98,56,1.033,5423
ijpa,5423,100,hanna segal,2,98,27,0.498,5423
ijpa,5423,101,joseph sandler,2,98,33,0.609,5423
ijpa,5423,102,takes place,2,97,91,1.678,5423
ijpa,5423,103,thinking about,2,97,77,1.42,5423
ijpa,5423,104,street london,2,97,84,1.549,5423
ijpa,5423,105,east street,2,97,97,1.789,5423
ijpa,5423,106,andr green,2,97,40,0.738,5423
ijpa,5423,107,harold blum,2,96,24,0.443,5423
ijpa,5423,108,freud's theory,2,95,65,1.199,5423
ijpa,5423,109,psychoanalytic practice,2,94,65,1.199,5423
ijpa,5423,110,other words,2,93,88,1.623,5423
ijpa,5423,111,melanie klein's,2,93,58,1.07,5423
ijpa,5423,112,interpretation dreams,2,91,56,1.033,5423
ijpa,5423,113,analytic treatment,2,90,74,1.365,5423
ijpa,5423,114,infantile sexuality,2,90,48,0.885,5423
ijpa,5423,115,runninghead psychoanalytic,2,90,90,1.66,5423
ijpa,5423,116,read before,2,89,88,1.623,5423
ijpa,5423,117,mental health,2,89,60,1.106,5423
ijpa,5423,118,inner world,2,89,66,1.217,5423
ijpa,5423,119,many years,2,88,83,1.531,5423
