period,n_records_group,rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1920-1945,686,1,ernest jones,2,182,67,9.767,686
1920-1945,686,2,sigmund freud,2,126,31,4.519,686
1920-1945,686,3,edward glover,2,126,28,4.082,686
1920-1945,686,4,new york,2,95,75,10.933,686
1920-1945,686,5,read before,2,85,84,12.245,686
1920-1945,686,6,oedipus complex,2,82,34,4.956,686
1920-1945,686,7,melanie klein,2,81,27,3.936,686
1920-1945,686,8,psycho-analytical society,2,73,55,8.017,686
1920-1945,686,9,karl abraham,2,70,16,2.332,686
1920-1945,686,10,douglas bryan,2,68,16,2.332,686
1920-1945,686,11,international psycho-analytical,2,68,55,8.017,686
1920-1945,686,12,otto fenichel,2,68,15,2.187,686
1920-1945,686,13,castration complex,2,65,20,2.915,686
1920-1945,686,14,melitta schmideberg,2,63,13,1.895,686
1920-1945,686,15,jones ernest,2,56,28,4.082,686
1920-1945,686,16,freud sigmund,2,56,26,3.79,686
1920-1945,686,17,psycho-analytical congress,2,53,48,6.997,686
1920-1945,686,18,same time,2,51,47,6.851,686
1920-1945,686,19,theodor reik,2,50,10,1.458,686
1920-1945,686,20,glover edward,2,48,24,3.499,686
1920-1945,686,21,pointed out,2,46,44,6.414,686
1920-1945,686,22,british psycho-analytical,2,46,32,4.665,686
1920-1945,686,23,joan riviere,2,45,10,1.458,686
1920-1945,686,24,other hand,2,43,41,5.977,686
1920-1945,686,25,marjorie brierley,2,40,8,1.166,686
1920-1945,686,26,franz alexander,2,39,9,1.312,686
1920-1945,686,27,helene deutsch,2,39,13,1.895,686
1920-1945,686,28,susan isaacs,2,39,8,1.166,686
1920-1945,686,29,years ago,2,37,36,5.248,686
1920-1945,686,30,ella sharpe,2,36,10,1.458,686
1920-1945,686,31,internationale zeitschrift,2,35,26,3.79,686
1920-1945,686,32,zeitschrift psychoanalyse,2,33,26,3.79,686
1920-1945,686,33,edmund bergler,2,32,7,1.02,686
1920-1945,686,34,hanns sachs,2,31,7,1.02,686
1920-1945,686,35,sense guilt,2,31,16,2.332,686
1920-1945,686,36,mental life,2,31,27,3.936,686
1920-1945,686,37,isador coriat,2,31,6,0.875,686
1920-1945,686,38,oberndorf oberndorf,2,30,15,2.187,686
1920-1945,686,39,karen horney,2,30,9,1.312,686
1920-1945,686,40,ndor rad,2,30,6,0.875,686
1920-1945,686,41,ren laforgue,2,30,6,0.875,686
1920-1945,686,42,obsessional neurosis,2,29,18,2.624,686
1920-1945,686,43,psycho-analytic treatment,2,29,18,2.624,686
1920-1945,686,44,paul federn,2,29,6,0.875,686
1920-1945,686,45,abraham karl,2,28,14,2.041,686
1920-1945,686,46,technique psycho-analysis,2,28,12,1.749,686
1920-1945,686,47,james strachey,2,28,8,1.166,686
1920-1945,686,48,psycho-analytical literature,2,27,21,3.061,686
1920-1945,686,49,glover london,2,27,27,3.936,686
1920-1945,686,50,death instinct,2,27,11,1.603,686
1920-1945,686,51,untranslated freud,2,27,9,1.312,686
1920-1945,686,52,bryan douglas,2,26,13,1.895,686
1920-1945,686,53,klein melanie,2,26,13,1.895,686
1920-1945,686,54,searl searl,2,26,13,1.895,686
1920-1945,686,55,fenichel otto,2,26,13,1.895,686
1920-1945,686,56,wilhelm reich,2,26,6,0.875,686
1920-1945,686,57,psycho-analytical theory,2,26,16,2.332,686
1920-1945,686,58,jones london,2,25,25,3.644,686
1920-1945,686,59,august rcke,2,25,5,0.729,686
1920-1945,686,60,years old,2,25,20,2.915,686
1920-1945,686,61,owen berkeley-hill,2,25,5,0.729,686
1920-1945,686,62,early childhood,2,25,22,3.207,686
1920-1945,686,63,relation between,2,25,20,2.915,686
1920-1945,686,64,men women,2,25,17,2.478,686
1920-1945,686,65,karl menninger,2,25,5,0.729,686
1920-1945,686,66,ludwig eidelberg,2,25,5,0.729,686
1920-1945,686,67,little girl,2,24,15,2.187,686
1920-1945,686,68,london ernest,2,24,24,3.499,686
1920-1945,686,69,two years,2,24,17,2.478,686
1920-1945,686,70,journal vol,2,24,19,2.77,686
1920-1945,686,71,london edward,2,24,24,3.499,686
1920-1945,686,72,british journal,2,24,3,0.437,686
1920-1945,686,73,schmideberg melitta,2,24,12,1.749,686
1920-1945,686,74,paul schilder,2,24,5,0.729,686
1920-1945,686,75,first time,2,23,18,2.624,686
1920-1945,686,76,before british,2,23,23,3.353,686
1920-1945,686,77,barbara low,2,23,8,1.166,686
1920-1945,686,78,anal erotism,2,23,13,1.895,686
1920-1945,686,79,external world,2,23,13,1.895,686
1920-1945,686,80,marie bonaparte,2,23,6,0.875,686
1920-1945,686,81,abnormal psychology,2,22,5,0.729,686
1920-1945,686,82,phallic phase,2,22,12,1.749,686
1920-1945,686,83,runninghead note,2,21,21,3.061,686
1920-1945,686,84,slip tongue,2,21,6,0.875,686
1920-1945,686,85,sexual intercourse,2,21,20,2.915,686
1920-1945,686,86,one day,2,21,21,3.061,686
1920-1945,686,87,very much,2,21,21,3.061,686
1920-1945,686,88,young man,2,21,15,2.187,686
1920-1945,686,89,only one,2,21,19,2.77,686
1920-1945,686,90,ferenczi ferenczi,2,21,11,1.603,686
1920-1945,686,91,runninghead contribution,2,21,21,3.061,686
1920-1945,686,92,collected vol,2,21,18,2.624,686
1920-1945,686,93,put forward,2,21,21,3.061,686
1920-1945,686,94,difference between,2,20,20,2.915,686
1920-1945,686,95,edoardo weiss,2,20,4,0.583,686
