rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,new york,2,4497,2699,22.188,12164
2,gmail com,2,1242,1195,9.824,12164
3,psychoanalytic theory,2,1092,727,5.977,12164
4,object relations,2,861,495,4.069,12164
5,relationship between,2,727,531,4.365,12164
6,street new,2,723,704,5.788,12164
7,psychoanalytic association,2,718,557,4.579,12164
8,san francisco,2,693,456,3.749,12164
9,analytic process,2,687,448,3.683,12164
10,psychoanalytic psychotherapy,2,682,331,2.721,12164
11,american psychoanalytic,2,658,509,4.184,12164
12,supervising analyst,2,646,568,4.67,12164
13,mental health,2,606,377,3.099,12164
14,clinical material,2,594,539,4.431,12164
15,psychoanalytic treatment,2,568,366,3.009,12164
16,private practice,2,548,535,4.398,12164
17,psychoanalytic institute,2,539,466,3.831,12164
18,training supervising,2,515,479,3.938,12164
19,oedipus complex,2,502,241,1.981,12164
20,aol com,2,484,479,3.938,12164
21,psychoanalytic training,2,473,323,2.655,12164
22,acting out,2,466,164,1.348,12164
23,east street,2,454,450,3.699,12164
24,psychoanalytic process,2,454,276,2.269,12164
25,psychoanalytic dialogues,2,453,352,2.894,12164
26,postdoctoral program,2,444,387,3.182,12164
27,patient analyst,2,434,358,2.943,12164
28,orcid org,2,429,304,2.499,12164
29,psychotherapy psychoanalysis,2,426,367,3.017,12164
30,projective identification,2,422,215,1.768,12164
31,york e-mail,2,420,411,3.379,12164
32,same time,2,416,391,3.214,12164
33,psychoanalysis runninghead,2,415,415,3.412,12164
34,sigmund freud,2,408,199,1.636,12164
35,clinical practice,2,406,316,2.598,12164
36,psychoanalytic society,2,398,312,2.565,12164
37,clinical work,2,384,307,2.524,12164
38,anna freud,2,381,193,1.587,12164
39,correspondence addressed,2,375,375,3.083,12164
40,final version,2,372,371,3.05,12164
41,los angeles,2,369,281,2.31,12164
42,york university,2,363,314,2.581,12164
43,version accepted,2,363,363,2.984,12164
44,york usa,2,356,322,2.647,12164
45,analytic work,2,355,309,2.54,12164
46,therapeutic action,2,355,180,1.48,12164
47,york city,2,355,296,2.433,12164
48,united states,2,349,266,2.187,12164
49,clinical professor,2,346,319,2.622,12164
50,personality disorder,2,344,140,1.151,12164
51,melanie klein,2,342,183,1.504,12164
52,theory practice,2,337,256,2.105,12164
53,analytic situation,2,334,247,2.031,12164
54,psychoanalytic technique,2,331,190,1.562,12164
55,department psychiatry,2,331,307,2.524,12164
56,program psychotherapy,2,331,298,2.45,12164
57,relational psychoanalysis,2,326,216,1.776,12164
58,psychic reality,2,322,148,1.217,12164
59,ernest jones,2,314,141,1.159,12164
60,institute psychoanalysis,2,314,290,2.384,12164
61,york new,2,312,290,2.384,12164
62,transference countertransference,2,312,234,1.924,12164
63,professor psychiatry,2,307,287,2.359,12164
64,west street,2,306,292,2.401,12164
65,otto kernberg,2,305,77,0.633,12164
66,psychoanalysis psychotherapy,2,302,234,1.924,12164
67,between two,2,300,286,2.351,12164
68,self psychology,2,299,141,1.159,12164
69,buenos aires,2,296,204,1.677,12164
70,contemporary psychoanalysis,2,295,226,1.858,12164
71,other hand,2,287,278,2.285,12164
72,suite new,2,287,285,2.343,12164
73,harold blum,2,285,71,0.584,12164
74,thinking about,2,279,223,1.833,12164
75,runninghead psychoanalytic,2,279,279,2.294,12164
76,street suite,2,279,277,2.277,12164
77,avenue new,2,274,272,2.236,12164
78,analyst patient,2,263,231,1.899,12164
79,medical school,2,263,242,1.989,12164
80,transference neurosis,2,259,130,1.069,12164
81,robert wallerstein,2,257,70,0.575,12164
82,accepted publication,2,255,249,2.047,12164
83,distinction between,2,250,215,1.768,12164
84,columbia university,2,250,185,1.521,12164
85,years ago,2,249,233,1.915,12164
86,road london,2,248,246,2.022,12164
87,psychoanalytic education,2,248,139,1.143,12164
88,borderline personality,2,243,104,0.855,12164
89,psychoanalytic literature,2,241,223,1.833,12164
90,training analysis,2,236,84,0.691,12164
91,http orcid,2,234,170,1.398,12164
92,one hand,2,233,231,1.899,12164
93,child analysis,2,231,99,0.814,12164
94,therapeutic process,2,229,170,1.398,12164
95,mental life,2,223,185,1.521,12164
96,psychodynamic psychotherapy,2,223,104,0.855,12164
97,theory technique,2,222,160,1.315,12164
98,training analyst,2,222,164,1.348,12164
99,personality disorders,2,222,118,0.97,12164
100,faculty member,2,222,186,1.529,12164
101,thomas ogden,2,220,61,0.501,12164
102,glen gabbard,2,220,71,0.584,12164
103,ego psychology,2,219,131,1.077,12164
104,university postdoctoral,2,219,199,1.636,12164
105,analytic relationship,2,216,170,1.398,12164
106,psychoanalytic practice,2,216,167,1.373,12164
107,avenue suite,2,216,213,1.751,12164
108,pointed out,2,214,197,1.62,12164
109,psychoanalytic situation,2,213,125,1.028,12164
110,medical center,2,210,190,1.562,12164
111,psychic structure,2,209,134,1.102,12164
112,fax e-mail,2,209,206,1.694,12164
113,one another,2,208,199,1.636,12164
114,international journal,2,208,157,1.291,12164
115,gender identity,2,208,79,0.649,12164
116,international psycho-analytical,2,206,138,1.134,12164
117,meeting american,2,206,197,1.62,12164
118,relation between,2,205,171,1.406,12164
119,psychoanalytic therapy,2,205,132,1.085,12164
120,differences between,2,204,184,1.513,12164
121,free association,2,203,121,0.995,12164
122,training research,2,203,177,1.455,12164
123,mental functioning,2,201,154,1.266,12164
124,between patient,2,201,178,1.463,12164
125,school medicine,2,200,183,1.504,12164
126,consulting room,2,199,141,1.159,12164
127,stephen seligman,2,196,44,0.362,12164
128,https orcid,2,195,134,1.102,12164
129,death instinct,2,194,93,0.765,12164
130,therapeutic alliance,2,194,89,0.732,12164
131,therapeutic relationship,2,194,138,1.134,12164
132,steven cooper,2,194,52,0.427,12164
133,runninghead psychoanalysis,2,193,193,1.587,12164
134,northern california,2,193,170,1.398,12164
135,clinical experience,2,191,175,1.439,12164
136,primal scene,2,191,80,0.658,12164
137,adrienne harris,2,190,69,0.567,12164
138,professor psychology,2,190,181,1.488,12164
139,stephen mitchell,2,190,135,1.11,12164
140,psychoanalytic thinking,2,189,156,1.282,12164
141,leo rangell,2,188,49,0.403,12164
142,street san,2,188,184,1.513,12164
143,park west,2,187,185,1.521,12164
144,central park,2,187,185,1.521,12164
145,practice new,2,186,183,1.504,12164
146,psychoanalytic theories,2,186,156,1.282,12164
147,clinical psychology,2,183,161,1.324,12164
148,edward glover,2,183,46,0.378,12164
149,unconscious fantasy,2,180,93,0.765,12164
150,early childhood,2,179,143,1.176,12164
151,peter fonagy,2,179,67,0.551,12164
152,conscious unconscious,2,178,160,1.315,12164
153,institute northern,2,176,162,1.332,12164
154,take place,2,174,163,1.34,12164
155,pleasure principle,2,174,119,0.978,12164
156,object relationships,2,174,127,1.044,12164
157,lewis aron,2,173,56,0.46,12164
158,difference between,2,171,154,1.266,12164
159,roy schafer,2,171,46,0.378,12164
160,associate professor,2,169,164,1.348,12164
161,ego ideal,2,168,69,0.567,12164
162,analytic treatment,2,167,138,1.134,12164
163,attachment theory,2,167,79,0.649,12164
164,university new,2,166,102,0.839,12164
165,psychoanalytic work,2,166,130,1.069,12164
166,ideas about,2,164,153,1.258,12164
167,center psychoanalytic,2,164,141,1.159,12164
168,clinical vignettes,2,163,158,1.299,12164
169,center psychoanalysis,2,163,152,1.25,12164
170,psychoanalytic research,2,162,93,0.765,12164
171,psychoanalysis psychoanalytic,2,162,124,1.019,12164
172,recent years,2,161,160,1.315,12164
173,psycho-analytical society,2,160,104,0.855,12164
174,psychic change,2,160,62,0.51,12164
175,personality organization,2,159,70,0.575,12164
176,nyu postdoctoral,2,159,140,1.151,12164
177,external reality,2,158,119,0.978,12164
178,editor psychoanalytic,2,158,155,1.274,12164
179,think about,2,157,142,1.167,12164
180,many years,2,156,150,1.233,12164
181,repetition compulsion,2,156,72,0.592,12164
182,external world,2,154,120,0.987,12164
183,two years,2,153,138,1.134,12164
184,takes place,2,153,145,1.192,12164
185,associate editor,2,153,141,1.159,12164
186,self object,2,153,101,0.83,12164
187,society institute,2,153,127,1.044,12164
188,analytic press,2,153,137,1.126,12164
189,lauren levine,2,153,43,0.354,12164
190,first time,2,152,145,1.192,12164
191,interpretation dreams,2,152,93,0.765,12164
192,primary process,2,152,85,0.699,12164
193,contemporary psychoanalytic,2,151,118,0.97,12164
194,freud's theory,2,150,104,0.855,12164
195,one's own,2,150,125,1.028,12164
196,rachel blass,2,150,46,0.378,12164
197,e-mail notification,2,150,50,0.411,12164
198,notification latest,2,150,50,0.411,12164
199,latest online,2,150,50,0.411,12164
200,internal objects,2,149,101,0.83,12164
201,ego development,2,148,103,0.847,12164
202,usa e-mail,2,148,148,1.217,12164
203,subjective experience,2,146,112,0.921,12164
204,clinical psychoanalysis,2,146,98,0.806,12164
205,inner world,2,145,115,0.945,12164
206,female sexuality,2,144,64,0.526,12164
207,empirical research,2,144,89,0.732,12164
208,boston psychoanalytic,2,143,122,1.003,12164
209,between psychoanalysis,2,143,104,0.855,12164
210,ego functions,2,142,102,0.839,12164
211,object relationship,2,141,88,0.723,12164
212,west end,2,141,140,1.151,12164
213,internal external,2,140,127,1.044,12164
214,clinical theoretical,2,139,106,0.871,12164
215,west new,2,139,138,1.134,12164
216,theoretical clinical,2,138,118,0.97,12164
217,joyce slochower,2,138,33,0.271,12164
218,reflective functioning,2,138,44,0.362,12164
219,department psychology,2,137,118,0.97,12164
220,object representations,2,137,86,0.707,12164
221,death drive,2,137,64,0.526,12164
222,steven roose,2,137,37,0.304,12164
223,gender sexuality,2,137,120,0.987,12164
224,alanson white,2,137,122,1.003,12164
225,adelphi university,2,136,39,0.321,12164
226,institute contemporary,2,136,120,0.987,12164
227,process runninghead,2,135,135,1.11,12164
228,institute psychoanalytic,2,135,122,1.003,12164
229,judy kantrowitz,2,135,35,0.288,12164
230,william alanson,2,135,120,0.987,12164
231,defence mechanisms,2,134,85,0.699,12164
232,body image,2,134,58,0.477,12164
233,clinical implications,2,134,96,0.789,12164
234,donnel stern,2,134,39,0.321,12164
235,white institute,2,134,118,0.97,12164
236,child adolescent,2,133,103,0.847,12164
237,unconscious fantasies,2,133,93,0.765,12164
238,psychoanalytic thought,2,133,108,0.888,12164
239,fred busch,2,133,34,0.28,12164
240,ego superego,2,132,113,0.929,12164
241,york psychoanalytic,2,132,107,0.88,12164
242,harvard medical,2,132,128,1.052,12164
243,psychotherapy runninghead,2,132,132,1.085,12164
244,end avenue,2,132,131,1.077,12164
245,psychoanalytic understanding,2,132,100,0.822,12164
246,between analyst,2,131,119,0.978,12164
247,internal object,2,131,88,0.723,12164
248,sense self,2,131,101,0.83,12164
249,only one,2,130,122,1.003,12164
250,child development,2,130,83,0.682,12164
