journal_key,n_records_group,rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
ijpa,5423,1,runninghead,1,5423,5423,100.0,5423
ijpa,5423,2,psychoanalytic,1,4290,1755,32.362,5423
ijpa,5423,3,one,1,3852,2263,41.73,5423
ijpa,5423,4,freud,1,3648,1502,27.697,5423
ijpa,5423,5,analysis,1,3581,1591,29.338,5423
ijpa,5423,6,clinical,1,3536,1822,33.598,5423
ijpa,5423,7,psychoanalysis,1,3473,1398,25.779,5423
ijpa,5423,8,patient,1,3369,1534,28.287,5423
ijpa,5423,9,between,1,3279,1972,36.364,5423
ijpa,5423,10,theory,1,3060,1285,23.695,5423
ijpa,5423,11,work,1,2801,1642,30.278,5423
ijpa,5423,12,other,1,2798,1917,35.349,5423
ijpa,5423,13,analyst,1,2732,1213,22.368,5423
ijpa,5423,14,about,1,2636,1639,30.223,5423
ijpa,5423,15,ego,1,2629,935,17.241,5423
ijpa,5423,16,development,1,2481,1369,25.244,5423
ijpa,5423,17,object,1,2421,1039,19.159,5423
ijpa,5423,18,all,1,2401,1624,29.947,5423
ijpa,5423,19,analytic,1,2396,1175,21.667,5423
ijpa,5423,20,also,1,2364,1742,32.122,5423
ijpa,5423,21,process,1,2345,1280,23.603,5423
ijpa,5423,22,only,1,2337,1638,30.205,5423
ijpa,5423,23,new,1,2337,1548,28.545,5423
ijpa,5423,24,first,1,2303,1541,28.416,5423
ijpa,5423,25,two,1,2253,1557,28.711,5423
ijpa,5423,26,unconscious,1,2196,1146,21.132,5423
ijpa,5423,27,transference,1,2156,847,15.619,5423
ijpa,5423,28,time,1,2137,1298,23.935,5423
ijpa,5423,29,freud's,1,2099,1035,19.085,5423
ijpa,5423,30,patients,1,1952,997,18.385,5423
ijpa,5423,31,experience,1,1932,1192,21.98,5423
ijpa,5423,32,life,1,1930,1279,23.585,5423
ijpa,5423,33,out,1,1834,1230,22.681,5423
ijpa,5423,34,both,1,1817,1379,25.429,5423
ijpa,5423,35,psychic,1,1773,886,16.338,5423
ijpa,5423,36,treatment,1,1755,933,17.204,5423
ijpa,5423,37,relationship,1,1676,998,18.403,5423
ijpa,5423,38,child,1,1632,712,13.129,5423
ijpa,5423,39,very,1,1546,1118,20.616,5423
ijpa,5423,40,own,1,1517,1121,20.671,5423
ijpa,5423,41,years,1,1494,1024,18.883,5423
ijpa,5423,42,reality,1,1481,704,12.982,5423
ijpa,5423,43,early,1,1469,944,17.407,5423
ijpa,5423,44,different,1,1423,1005,18.532,5423
ijpa,5423,45,london,1,1395,1116,20.579,5423
ijpa,5423,46,mother,1,1376,641,11.82,5423
ijpa,5423,47,mental,1,1369,795,14.66,5423
ijpa,5423,48,psycho-analysis,1,1367,608,11.212,5423
ijpa,5423,49,well,1,1367,1113,20.524,5423
ijpa,5423,50,many,1,1352,1030,18.993,5423
ijpa,5423,51,any,1,1341,961,17.721,5423
ijpa,5423,52,understanding,1,1277,927,17.094,5423
ijpa,5423,53,patient's,1,1234,750,13.83,5423
ijpa,5423,54,anxiety,1,1217,546,10.068,5423
ijpa,5423,55,mind,1,1208,772,14.236,5423
ijpa,5423,56,aspects,1,1202,823,15.176,5423
ijpa,5423,57,world,1,1188,801,14.77,5423
ijpa,5423,58,material,1,1180,829,15.287,5423
ijpa,5423,59,certain,1,1170,884,16.301,5423
ijpa,5423,60,interpretation,1,1167,572,10.548,5423
ijpa,5423,61,after,1,1164,884,16.301,5423
ijpa,5423,62,summary,1,1146,1091,20.118,5423
ijpa,5423,63,made,1,1137,950,17.518,5423
ijpa,5423,64,dream,1,1125,340,6.27,5423
ijpa,5423,65,even,1,1124,895,16.504,5423
ijpa,5423,66,situation,1,1123,707,13.037,5423
ijpa,5423,67,must,1,1120,777,14.328,5423
ijpa,5423,68,however,1,1114,934,17.223,5423
ijpa,5423,69,theoretical,1,1113,789,14.549,5423
ijpa,5423,70,same,1,1100,853,15.729,5423
ijpa,5423,71,sexual,1,1078,523,9.644,5423
ijpa,5423,72,nature,1,1045,755,13.922,5423
ijpa,5423,73,three,1,1040,739,13.627,5423
ijpa,5423,74,important,1,1018,838,15.453,5423
ijpa,5423,75,der,1,1017,188,3.467,5423
ijpa,5423,76,subject,1,1015,726,13.387,5423
ijpa,5423,77,psycho-analytic,1,1007,486,8.962,5423
ijpa,5423,78,form,1,1007,753,13.885,5423
ijpa,5423,79,dreams,1,1004,337,6.214,5423
ijpa,5423,80,particular,1,1003,838,15.453,5423
ijpa,5423,81,sense,1,986,697,12.853,5423
ijpa,5423,82,therapeutic,1,985,555,10.234,5423
ijpa,5423,83,technique,1,973,468,8.63,5423
ijpa,5423,84,thought,1,972,679,12.521,5423
ijpa,5423,85,identification,1,971,455,8.39,5423
ijpa,5423,86,function,1,960,589,10.861,5423
ijpa,5423,87,complex,1,960,580,10.695,5423
ijpa,5423,88,training,1,949,335,6.177,5423
ijpa,5423,89,thinking,1,943,569,10.492,5423
ijpa,5423,90,self,1,939,471,8.685,5423
ijpa,5423,91,fact,1,934,750,13.83,5423
ijpa,5423,92,like,1,930,702,12.945,5423
ijpa,5423,93,man,1,919,549,10.124,5423
ijpa,5423,94,body,1,918,439,8.095,5423
ijpa,5423,95,often,1,905,726,13.387,5423
ijpa,5423,96,processes,1,901,589,10.861,5423
ijpa,5423,97,york,1,900,720,13.277,5423
ijpa,5423,98,death,1,894,428,7.892,5423
ijpa,5423,99,problem,1,892,563,10.382,5423
ijpa,5423,100,himself,1,889,642,11.838,5423
ijpa,5423,101,relation,1,889,617,11.377,5423
ijpa,5423,102,change,1,889,475,8.759,5423
ijpa,5423,103,analysts,1,879,561,10.345,5423
ijpa,5423,104,state,1,877,617,11.377,5423
ijpa,5423,105,analyst's,1,877,493,9.091,5423
ijpa,5423,106,possible,1,868,719,13.258,5423
ijpa,5423,107,against,1,863,629,11.599,5423
ijpa,5423,108,further,1,863,695,12.816,5423
ijpa,5423,109,much,1,856,695,12.816,5423
ijpa,5423,110,before,1,852,704,12.982,5423
ijpa,5423,111,ideas,1,852,613,11.304,5423
ijpa,5423,112,problems,1,852,587,10.824,5423
ijpa,5423,113,research,1,851,466,8.593,5423
ijpa,5423,114,psychology,1,845,464,8.556,5423
ijpa,5423,115,human,1,844,579,10.677,5423
ijpa,5423,116,psychological,1,843,559,10.308,5423
ijpa,5423,117,com,1,842,778,14.346,5423
ijpa,5423,118,later,1,837,696,12.834,5423
ijpa,5423,119,thus,1,836,721,13.295,5423
ijpa,5423,120,internal,1,828,526,9.699,5423
ijpa,5423,121,here,1,826,658,12.134,5423
ijpa,5423,122,objects,1,826,477,8.796,5423
ijpa,5423,123,place,1,824,663,12.226,5423
ijpa,5423,124,die,1,818,169,3.116,5423
ijpa,5423,125,practice,1,817,530,9.773,5423
ijpa,5423,126,children,1,813,444,8.187,5423
ijpa,5423,127,narcissistic,1,813,394,7.265,5423
ijpa,5423,128,experiences,1,811,580,10.695,5423
ijpa,5423,129,meaning,1,808,543,10.013,5423
ijpa,5423,130,question,1,803,578,10.658,5423
ijpa,5423,131,history,1,801,567,10.455,5423
ijpa,5423,132,now,1,799,625,11.525,5423
ijpa,5423,133,over,1,795,610,11.248,5423
ijpa,5423,134,importance,1,793,639,11.783,5423
ijpa,5423,135,character,1,788,447,8.243,5423
ijpa,5423,136,accepted,1,788,762,14.051,5423
ijpa,5423,137,rather,1,785,688,12.687,5423
ijpa,5423,138,become,1,785,666,12.281,5423
ijpa,5423,139,des,1,781,183,3.375,5423
ijpa,5423,140,since,1,780,654,12.06,5423
ijpa,5423,141,general,1,777,607,11.193,5423
ijpa,5423,142,another,1,774,650,11.986,5423
ijpa,5423,143,trauma,1,774,282,5.2,5423
ijpa,5423,144,father,1,769,374,6.897,5423
ijpa,5423,145,towards,1,766,559,10.308,5423
ijpa,5423,146,und,1,758,154,2.84,5423
ijpa,5423,147,society,1,757,412,7.597,5423
ijpa,5423,148,individual,1,752,550,10.142,5423
ijpa,5423,149,specific,1,747,575,10.603,5423
ijpa,5423,150,make,1,747,650,11.986,5423
japa,2924,1,psychoanalytic,1,4739,1731,59.2,2924
japa,2924,2,runninghead,1,2924,2924,100.0,2924
japa,2924,3,psychoanalysis,1,2901,1153,39.432,2924
japa,2924,4,new,1,2518,1371,46.888,2924
japa,2924,5,clinical,1,1960,1121,38.338,2924
japa,2924,6,theory,1,1692,692,23.666,2924
japa,2924,7,york,1,1539,961,32.866,2924
japa,2924,8,analysis,1,1516,686,23.461,2924
