period,journal_key,n_records_group,rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1920-1945,ijpa,686,1,one,1,765,416,60.641,686
1920-1945,ijpa,686,2,runninghead,1,686,686,100.0,686
1920-1945,ijpa,686,3,analysis,1,498,217,31.633,686
1920-1945,ijpa,686,4,all,1,488,313,45.627,686
1920-1945,ijpa,686,5,freud,1,483,225,32.799,686
1920-1945,ijpa,686,6,only,1,480,317,46.21,686
1920-1945,ijpa,686,7,psycho-analysis,1,472,215,31.341,686
1920-1945,ijpa,686,8,other,1,444,296,43.149,686
1920-1945,ijpa,686,9,first,1,414,283,41.254,686
1920-1945,ijpa,686,10,patient,1,401,185,26.968,686
1920-1945,ijpa,686,11,time,1,391,247,36.006,686
1920-1945,ijpa,686,12,very,1,373,263,38.338,686
1920-1945,ijpa,686,13,child,1,364,131,19.096,686
1920-1945,ijpa,686,14,psycho-analytical,1,341,207,30.175,686
1920-1945,ijpa,686,15,any,1,324,220,32.07,686
1920-1945,ijpa,686,16,two,1,322,216,31.487,686
1920-1945,ijpa,686,17,life,1,322,197,28.717,686
1920-1945,ijpa,686,18,about,1,310,210,30.612,686
1920-1945,ijpa,686,19,out,1,310,218,31.778,686
1920-1945,ijpa,686,20,unconscious,1,301,165,24.052,686
1920-1945,ijpa,686,21,certain,1,295,210,30.612,686
1920-1945,ijpa,686,22,theory,1,283,115,16.764,686
1920-1945,ijpa,686,23,also,1,283,210,30.612,686
1920-1945,ijpa,686,24,work,1,282,186,27.114,686
1920-1945,ijpa,686,25,ego,1,281,108,15.743,686
1920-1945,ijpa,686,26,sexual,1,278,135,19.679,686
1920-1945,ijpa,686,27,years,1,277,187,27.259,686
1920-1945,ijpa,686,28,development,1,269,150,21.866,686
1920-1945,ijpa,686,29,between,1,268,181,26.385,686
1920-1945,ijpa,686,30,must,1,266,181,26.385,686
1920-1945,ijpa,686,31,before,1,264,216,31.487,686
1920-1945,ijpa,686,32,new,1,255,172,25.073,686
1920-1945,ijpa,686,33,london,1,245,216,31.487,686
1920-1945,ijpa,686,34,psychology,1,242,98,14.286,686
1920-1945,ijpa,686,35,mother,1,240,102,14.869,686
1920-1945,ijpa,686,36,made,1,228,185,26.968,686
1920-1945,ijpa,686,37,own,1,222,158,23.032,686
1920-1945,ijpa,686,38,jones,1,219,74,10.787,686
1920-1945,ijpa,686,39,many,1,218,157,22.886,686
1920-1945,ijpa,686,40,mental,1,217,135,19.679,686
1920-1945,ijpa,686,41,treatment,1,217,101,14.723,686
1920-1945,ijpa,686,42,same,1,215,167,24.344,686
1920-1945,ijpa,686,43,man,1,212,127,18.513,686
1920-1945,ijpa,686,44,even,1,210,165,24.052,686
1920-1945,ijpa,686,45,fact,1,205,163,23.761,686
1920-1945,ijpa,686,46,complex,1,203,79,11.516,686
1920-1945,ijpa,686,47,however,1,201,167,24.344,686
1920-1945,ijpa,686,48,problem,1,199,112,16.327,686
1920-1945,ijpa,686,49,himself,1,195,131,19.096,686
1920-1945,ijpa,686,50,little,1,194,133,19.388,686
1920-1945,ijpa,686,51,early,1,194,119,17.347,686
1920-1945,ijpa,686,52,father,1,192,89,12.974,686
1920-1945,ijpa,686,53,psychological,1,190,104,15.16,686
1920-1945,ijpa,686,54,subject,1,188,143,20.845,686
1920-1945,ijpa,686,55,general,1,188,140,20.408,686
1920-1945,ijpa,686,56,dream,1,188,61,8.892,686
1920-1945,ijpa,686,57,ernest,1,187,67,9.767,686
1920-1945,ijpa,686,58,much,1,186,147,21.429,686
1920-1945,ijpa,686,59,after,1,186,144,20.991,686
1920-1945,ijpa,686,60,form,1,186,130,18.95,686
1920-1945,ijpa,686,61,psycho-analytic,1,185,108,15.743,686
1920-1945,ijpa,686,62,character,1,183,90,13.12,686
1920-1945,ijpa,686,63,anxiety,1,180,74,10.787,686
1920-1945,ijpa,686,64,following,1,179,158,23.032,686
1920-1945,ijpa,686,65,children,1,179,91,13.265,686
1920-1945,ijpa,686,66,both,1,177,138,20.117,686
1920-1945,ijpa,686,67,dreams,1,175,65,9.475,686
1920-1945,ijpa,686,68,material,1,174,120,17.493,686
1920-1945,ijpa,686,69,freud's,1,168,110,16.035,686
1920-1945,ijpa,686,70,further,1,166,135,19.679,686
1920-1945,ijpa,686,71,mind,1,166,116,16.91,686
1920-1945,ijpa,686,72,often,1,166,128,18.659,686
1920-1945,ijpa,686,73,well,1,165,129,18.805,686
1920-1945,ijpa,686,74,society,1,164,86,12.536,686
1920-1945,ijpa,686,75,said,1,163,98,14.286,686
1946-1969,ijpa,1205,1,ego,1,1305,391,32.448,1205
1946-1969,ijpa,1205,2,one,1,1243,667,55.353,1205
1946-1969,ijpa,1205,3,runninghead,1,1205,1205,100.0,1205
1946-1969,ijpa,1205,4,analysis,1,1068,405,33.61,1205
1946-1969,ijpa,1205,5,freud,1,969,425,35.27,1205
1946-1969,ijpa,1205,6,patient,1,966,377,31.286,1205
1946-1969,ijpa,1205,7,all,1,854,545,45.228,1205
1946-1969,ijpa,1205,8,only,1,842,551,45.726,1205
1946-1969,ijpa,1205,9,other,1,839,554,45.975,1205
1946-1969,ijpa,1205,10,development,1,832,404,33.527,1205
1946-1969,ijpa,1205,11,psycho-analysis,1,806,336,27.884,1205
1946-1969,ijpa,1205,12,psycho-analytic,1,805,361,29.959,1205
1946-1969,ijpa,1205,13,object,1,778,285,23.651,1205
1946-1969,ijpa,1205,14,first,1,752,459,38.091,1205
1946-1969,ijpa,1205,15,between,1,741,443,36.763,1205
1946-1969,ijpa,1205,16,theory,1,737,294,24.398,1205
1946-1969,ijpa,1205,17,new,1,712,463,38.423,1205
1946-1969,ijpa,1205,18,out,1,663,363,30.124,1205
1946-1969,ijpa,1205,19,about,1,654,405,33.61,1205
1946-1969,ijpa,1205,20,also,1,646,448,37.178,1205
1946-1969,ijpa,1205,21,transference,1,642,208,17.261,1205
1946-1969,ijpa,1205,22,clinical,1,585,309,25.643,1205
1946-1969,ijpa,1205,23,patients,1,574,269,22.324,1205
1946-1969,ijpa,1205,24,work,1,562,341,28.299,1205
1946-1969,ijpa,1205,25,two,1,549,375,31.12,1205
1946-1969,ijpa,1205,26,time,1,542,356,29.544,1205
1946-1969,ijpa,1205,27,life,1,541,364,30.207,1205
1946-1969,ijpa,1205,28,treatment,1,531,254,21.079,1205
1946-1969,ijpa,1205,29,mother,1,526,209,17.344,1205
1946-1969,ijpa,1205,30,very,1,525,357,29.627,1205
1946-1969,ijpa,1205,31,any,1,514,342,28.382,1205
1946-1969,ijpa,1205,32,process,1,507,263,21.826,1205
1946-1969,ijpa,1205,33,relationship,1,500,258,21.411,1205
1946-1969,ijpa,1205,34,years,1,488,323,26.805,1205
1946-1969,ijpa,1205,35,analyst,1,487,217,18.008,1205
1946-1969,ijpa,1205,36,anxiety,1,466,197,16.349,1205
1946-1969,ijpa,1205,37,early,1,465,294,24.398,1205
1946-1969,ijpa,1205,38,many,1,464,344,28.548,1205
1946-1969,ijpa,1205,39,child,1,462,212,17.593,1205
1946-1969,ijpa,1205,40,unconscious,1,445,253,20.996,1205
1946-1969,ijpa,1205,41,freud's,1,435,228,18.921,1205
1946-1969,ijpa,1205,42,both,1,428,293,24.315,1205
1946-1969,ijpa,1205,43,made,1,422,335,27.801,1205
1946-1969,ijpa,1205,44,certain,1,420,314,26.058,1205
1946-1969,ijpa,1205,45,must,1,411,255,21.162,1205
1946-1969,ijpa,1205,46,analytic,1,407,212,17.593,1205
1946-1969,ijpa,1205,47,even,1,401,306,25.394,1205
1946-1969,ijpa,1205,48,however,1,396,308,25.56,1205
1946-1969,ijpa,1205,49,own,1,392,286,23.734,1205
1946-1969,ijpa,1205,50,london,1,380,303,25.145,1205
1946-1969,ijpa,1205,51,experience,1,379,244,20.249,1205
1946-1969,ijpa,1205,52,same,1,378,279,23.154,1205
1946-1969,ijpa,1205,53,dream,1,378,88,7.303,1205
1946-1969,ijpa,1205,54,reality,1,376,206,17.095,1205
1946-1969,ijpa,1205,55,well,1,372,298,24.73,1205
1946-1969,ijpa,1205,56,psychoanalytic,1,372,145,12.033,1205
1946-1969,ijpa,1205,57,shall,1,363,214,17.759,1205
1946-1969,ijpa,1205,58,behaviour,1,358,204,16.929,1205
1946-1969,ijpa,1205,59,situation,1,353,205,17.012,1205
1946-1969,ijpa,1205,60,after,1,345,239,19.834,1205
1946-1969,ijpa,1205,61,aspects,1,340,209,17.344,1205
1946-1969,ijpa,1205,62,problem,1,338,210,17.427,1205
1946-1969,ijpa,1205,63,mental,1,335,206,17.095,1205
1946-1969,ijpa,1205,64,nature,1,331,228,18.921,1205
1946-1969,ijpa,1205,65,defence,1,327,152,12.614,1205
1946-1969,ijpa,1205,66,fact,1,323,261,21.66,1205
1946-1969,ijpa,1205,67,important,1,318,253,20.996,1205
1946-1969,ijpa,1205,68,york,1,316,250,20.747,1205
1946-1969,ijpa,1205,69,character,1,316,169,14.025,1205
1946-1969,ijpa,1205,70,like,1,313,239,19.834,1205
1946-1969,ijpa,1205,71,later,1,310,250,20.747,1205
1946-1969,ijpa,1205,72,himself,1,304,209,17.344,1205
1946-1969,ijpa,1205,73,subject,1,303,221,18.34,1205
1946-1969,ijpa,1205,74,different,1,303,220,18.257,1205
1946-1969,ijpa,1205,75,state,1,302,202,16.763,1205
1970-1989,ijpa,915,1,psychoanalytic,1,948,380,41.53,915
