rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,psychoanalytic,1,14464,5601,46.046,12164
2,runninghead,1,12164,12164,100.0,12164
3,psychoanalysis,1,10726,4198,34.512,12164
4,clinical,1,8445,4626,38.03,12164
5,new,1,7999,4410,36.255,12164
6,between,1,6616,4011,32.974,12164
7,theory,1,6603,2894,23.792,12164
8,one,1,6430,4023,33.073,12164
9,patient,1,6040,2958,24.318,12164
10,analysis,1,5977,2775,22.813,12164
11,work,1,5719,3409,28.025,12164
12,about,1,5579,3426,28.165,12164
13,analyst,1,5458,2731,22.451,12164
14,freud,1,5390,2350,19.319,12164
15,analytic,1,5287,2650,21.786,12164
16,process,1,5135,2814,23.134,12164
17,patients,1,5054,2463,20.248,12164
18,other,1,5004,3501,28.782,12164
19,development,1,4828,2710,22.279,12164
20,treatment,1,4660,2370,19.484,12164
21,experience,1,4627,2754,22.641,12164
22,york,1,4543,2713,22.304,12164
23,also,1,4350,3339,27.45,12164
24,object,1,4293,1878,15.439,12164
25,ego,1,4140,1530,12.578,12164
26,all,1,4058,2843,23.372,12164
27,both,1,3950,3054,25.107,12164
28,two,1,3934,2788,22.92,12164
29,psychotherapy,1,3880,1703,14.0,12164
30,transference,1,3795,1552,12.759,12164
31,time,1,3753,2294,18.859,12164
32,unconscious,1,3727,2029,16.68,12164
33,first,1,3593,2527,20.774,12164
34,life,1,3562,2346,19.286,12164
35,only,1,3549,2616,21.506,12164
36,freud's,1,3486,1716,14.107,12164
37,relationship,1,3454,2070,17.017,12164
38,research,1,3275,1700,13.976,12164
39,child,1,3080,1376,11.312,12164
40,training,1,3007,1488,12.233,12164
41,out,1,2955,2034,16.721,12164
42,psychology,1,2919,1616,13.285,12164
43,psychic,1,2910,1515,12.455,12164
44,therapeutic,1,2901,1556,12.792,12164
45,phd,1,2883,1984,16.31,12164
46,understanding,1,2856,2045,16.812,12164
47,early,1,2825,1820,14.962,12164
48,university,1,2810,1630,13.4,12164
49,self,1,2806,1327,10.909,12164
50,own,1,2798,2097,17.239,12164
51,practice,1,2742,1858,15.275,12164
52,mental,1,2720,1609,13.228,12164
53,years,1,2672,1888,15.521,12164
54,well,1,2661,2220,18.251,12164
55,many,1,2655,2029,16.68,12164
56,com,1,2634,2487,20.446,12164
57,different,1,2442,1811,14.888,12164
58,patient's,1,2434,1517,12.471,12164
59,institute,1,2410,1576,12.956,12164
60,reality,1,2384,1191,9.791,12164
61,e-mail,1,2336,2117,17.404,12164
62,mind,1,2304,1452,11.937,12164
63,theoretical,1,2246,1619,13.31,12164
64,world,1,2243,1485,12.208,12164
65,very,1,2221,1672,13.745,12164
66,trauma,1,2221,884,7.267,12164
67,aspects,1,2187,1567,12.882,12164
68,london,1,2148,1612,13.252,12164
69,street,1,2130,2044,16.804,12164
70,personality,1,2127,1032,8.484,12164
71,sexual,1,2111,969,7.966,12164
72,mother,1,2095,1029,8.459,12164
73,psychological,1,2045,1360,11.181,12164
74,after,1,2011,1516,12.463,12164
75,anxiety,1,2011,942,7.744,12164
76,social,1,2011,1157,9.512,12164
77,analyst's,1,2007,1048,8.616,12164
78,material,1,1976,1478,12.151,12164
79,experiences,1,1951,1302,10.704,12164
80,three,1,1942,1406,11.559,12164
81,any,1,1932,1459,11.994,12164
82,change,1,1930,1058,8.698,12164
83,relational,1,1919,878,7.218,12164
84,therapy,1,1916,966,7.941,12164
85,dream,1,1899,578,4.752,12164
86,important,1,1898,1598,13.137,12164
87,sense,1,1890,1341,11.024,12164
88,thinking,1,1885,1197,9.841,12164
89,group,1,1872,1016,8.353,12164
90,nature,1,1862,1394,11.46,12164
91,analysts,1,1861,1177,9.676,12164
92,processes,1,1846,1203,9.89,12164
93,however,1,1842,1607,13.211,12164
94,association,1,1840,1199,9.857,12164
95,made,1,1828,1555,12.784,12164
96,human,1,1824,1202,9.882,12164
97,even,1,1809,1477,12.142,12164
98,summary,1,1793,1719,14.132,12164
99,technique,1,1787,928,7.629,12164
100,interpretation,1,1784,916,7.53,12164
101,body,1,1780,833,6.848,12164
102,particular,1,1768,1495,12.29,12164
103,complex,1,1750,1145,9.413,12164
104,certain,1,1746,1369,11.255,12164
105,situation,1,1744,1151,9.462,12164
106,over,1,1723,1352,11.115,12164
107,must,1,1715,1250,10.276,12164
108,model,1,1707,968,7.958,12164
109,dreams,1,1706,581,4.776,12164
110,children,1,1706,884,7.267,12164
111,often,1,1697,1420,11.674,12164
112,working,1,1695,1075,8.838,12164
113,like,1,1681,1312,10.786,12164
114,states,1,1677,1071,8.805,12164
115,history,1,1663,1175,9.66,12164
116,thought,1,1658,1197,9.841,12164
117,function,1,1657,1053,8.657,12164
118,form,1,1642,1269,10.432,12164
119,developmental,1,1626,998,8.205,12164
120,same,1,1614,1299,10.679,12164
121,relation,1,1607,1131,9.298,12164
122,ideas,1,1601,1182,9.717,12164
123,state,1,1592,1106,9.092,12164
124,emotional,1,1589,1007,8.279,12164
125,american,1,1584,991,8.147,12164
126,identification,1,1573,788,6.478,12164
127,need,1,1570,1220,10.03,12164
128,countertransference,1,1569,749,6.158,12164
129,subject,1,1560,1131,9.298,12164
130,problems,1,1550,1065,8.755,12164
131,robert,1,1548,466,3.831,12164
132,place,1,1546,1265,10.4,12164
133,further,1,1528,1244,10.227,12164
134,individual,1,1513,1127,9.265,12164
135,society,1,1511,994,8.172,12164
136,attachment,1,1498,423,3.477,12164
137,much,1,1470,1214,9.98,12164
138,against,1,1459,1099,9.035,12164
139,become,1,1459,1254,10.309,12164
140,relations,1,1456,882,7.251,12164
141,language,1,1456,709,5.829,12164
142,death,1,1452,741,6.092,12164
143,literature,1,1448,1160,9.536,12164
144,meaning,1,1447,974,8.007,12164
145,love,1,1446,681,5.598,12164
146,now,1,1445,1141,9.38,12164
147,theories,1,1444,926,7.613,12164
148,psycho-analysis,1,1409,632,5.196,12164
149,rather,1,1401,1220,10.03,12164
150,possible,1,1398,1188,9.767,12164
151,internal,1,1398,940,7.728,12164
152,question,1,1372,1015,8.344,12164
153,narcissistic,1,1372,681,5.598,12164
154,conflict,1,1370,828,6.807,12164
155,contemporary,1,1368,981,8.065,12164
156,here,1,1365,1128,9.273,12164
157,psychiatry,1,1359,981,8.065,12164
158,importance,1,1359,1125,9.249,12164
159,general,1,1348,1057,8.69,12164
160,personal,1,1343,978,8.04,12164
161,problem,1,1342,877,7.21,12164
162,later,1,1340,1116,9.175,12164
163,past,1,1340,929,7.637,12164
164,fact,1,1328,1093,8.986,12164
165,john,1,1327,429,3.527,12164
166,specific,1,1320,1049,8.624,12164
167,man,1,1319,807,6.634,12164
168,before,1,1318,1105,9.084,12164
169,structure,1,1311,896,7.366,12164
170,avenue,1,1307,1282,10.539,12164
171,make,1,1306,1153,9.479,12164
172,field,1,1304,888,7.3,12164
173,identity,1,1297,616,5.064,12164
174,another,1,1271,1071,8.805,12164
175,objects,1,1268,730,6.001,12164
176,center,1,1266,1001,8.229,12164
177,sexuality,1,1261,580,4.768,12164
178,others,1,1257,1051,8.64,12164
179,faculty,1,1250,929,7.637,12164
180,since,1,1247,1054,8.665,12164
181,knowledge,1,1243,880,7.234,12164
182,gmail,1,1242,1195,9.824,12164
183,attention,1,1238,1083,8.903,12164
184,thus,1,1237,1079,8.87,12164
185,capacity,1,1237,898,7.382,12164
186,course,1,1234,1055,8.673,12164
187,character,1,1231,696,5.722,12164
188,people,1,1229,864,7.103,12164
189,found,1,1227,1038,8.533,12164
190,international,1,1220,760,6.248,12164
191,functioning,1,1216,781,6.421,12164
192,various,1,1212,1061,8.722,12164
193,primary,1,1200,750,6.166,12164
194,relationships,1,1200,806,6.626,12164
195,order,1,1199,1043,8.574,12164
196,central,1,1199,1034,8.5,12164
197,childhood,1,1195,763,6.273,12164
198,adult,1,1188,739,6.075,12164
199,second,1,1186,954,7.843,12164
200,context,1,1181,945,7.769,12164
201,among,1,1178,939,7.72,12164
202,introduction,1,1177,662,5.442,12164
203,following,1,1176,1032,8.484,12164
204,school,1,1173,846,6.955,12164
205,female,1,1170,488,4.012,12164
206,implications,1,1170,831,6.832,12164
207,scientific,1,1166,724,5.952,12164
208,psychodynamic,1,1166,487,4.004,12164
209,himself,1,1164,865,7.111,12164
210,fantasy,1,1161,586,4.817,12164
211,affect,1,1157,607,4.99,12164
212,factors,1,1149,782,6.429,12164
213,professor,1,1143,974,8.007,12164
214,although,1,1136,1030,8.468,12164
215,attempt,1,1129,950,7.81,12164
216,loss,1,1121,667,5.483,12164
217,father,1,1120,573,4.711,12164
218,contribution,1,1117,702,5.771,12164
219,medical,1,1115,777,6.388,12164
220,recent,1,1115,965,7.933,12164
221,gender,1,1114,440,3.617,12164
222,yet,1,1110,992,8.155,12164
223,feelings,1,1108,792,6.511,12164
224,play,1,1108,633,5.204,12164
225,phenomena,1,1105,786,6.462,12164
226,drive,1,1099,690,5.672,12164
227,david,1,1095,345,2.836,12164
228,usa,1,1092,897,7.374,12164
229,given,1,1091,992,8.155,12164
230,related,1,1089,915,7.522,12164
231,health,1,1084,674,5.541,12164
232,symptoms,1,1082,683,5.615,12164
233,little,1,1077,791,6.503,12164
234,action,1,1074,620,5.097,12164
235,psychoanalysts,1,1073,805,6.618,12164
236,current,1,1071,841,6.914,12164
237,fantasies,1,1060,570,4.686,12164
238,person,1,1058,741,6.092,12164
239,der,1,1054,206,1.694,12164
240,interest,1,1049,870,7.152,12164
241,influence,1,1048,772,6.347,12164
242,women,1,1046,498,4.094,12164
243,come,1,1045,841,6.914,12164
244,depression,1,1045,365,3.001,12164
245,michael,1,1038,308,2.532,12164
246,space,1,1036,543,4.464,12164
247,forms,1,1031,792,6.511,12164
248,psycho-analytic,1,1028,500,4.11,12164
249,journal,1,1026,632,5.196,12164
250,external,1,1025,726,5.968,12164
