journal_key,n_records_group,rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
ijpa,5423,1,final version accepted,3,363,363,6.694,5423
ijpa,5423,2,street new york,3,142,140,2.582,5423
ijpa,5423,3,new york usa,3,116,96,1.77,5423
ijpa,5423,4,buenos aires argentina,3,103,74,1.365,5423
ijpa,5423,5,british psycho-analytical society,3,101,62,1.143,5423
ijpa,5423,6,international psycho-analytical association,3,96,61,1.125,5423
ijpa,5423,7,international psycho-analytical congress,3,94,74,1.365,5423
ijpa,5423,8,http orcid org,3,87,70,1.291,5423
ijpa,5423,9,east street new,3,81,81,1.494,5423
ijpa,5423,10,avenue new york,3,77,77,1.42,5423
ijpa,5423,11,ernest jones ernest,3,70,35,0.645,5423
ijpa,5423,12,jones ernest jones,3,70,35,0.645,5423
ijpa,5423,13,negative therapeutic reaction,3,68,33,0.609,5423
ijpa,5423,14,freud sigmund freud,3,67,31,0.572,5423
ijpa,5423,15,american psychoanalytic association,3,67,55,1.014,5423
ijpa,5423,16,international journal psycho-analysis,3,65,39,0.719,5423
ijpa,5423,17,between patient analyst,3,61,58,1.07,5423
ijpa,5423,18,street san francisco,3,61,61,1.125,5423
ijpa,5423,19,edward glover edward,3,60,30,0.553,5423
ijpa,5423,20,glover edward glover,3,60,30,0.553,5423
ijpa,5423,21,central park west,3,60,58,1.07,5423
ijpa,5423,22,sigmund freud sigmund,3,59,31,0.572,5423
ijpa,5423,23,news notes comments,3,57,19,0.35,5423
ijpa,5423,24,beyond pleasure principle,3,55,42,0.774,5423
ijpa,5423,25,international psychoanalytical association,3,55,38,0.701,5423
ijpa,5423,26,jeanne lampl-de groot,3,53,14,0.258,5423
ijpa,5423,27,analysis terminable interminable,3,51,33,0.609,5423
ijpa,5423,28,thomas ogden thomas,3,51,37,0.682,5423
ijpa,5423,29,west new york,3,50,49,0.904,5423
ijpa,5423,30,ogden thomas ogden,3,49,37,0.682,5423
ijpa,5423,31,com final version,3,48,48,0.885,5423
ijpa,5423,32,international journal psychoanalysis,3,47,35,0.645,5423
ijpa,5423,33,version accepted september,3,47,47,0.867,5423
ijpa,5423,34,park west new,3,45,44,0.811,5423
ijpa,5423,35,maurice bouvet prize,3,42,12,0.221,5423
ijpa,5423,36,michael balint michael,3,41,20,0.369,5423
ijpa,5423,37,balint michael balint,3,41,20,0.369,5423
ijpa,5423,38,psychoanalytic theory practice,3,41,32,0.59,5423
ijpa,5423,39,daniel widl cher,3,41,12,0.221,5423
ijpa,5423,40,melanie klein melanie,3,40,20,0.369,5423
ijpa,5423,41,klein melanie klein,3,40,20,0.369,5423
ijpa,5423,42,elias rocha barros,3,39,13,0.24,5423
ijpa,5423,43,version accepted march,3,39,39,0.719,5423
ijpa,5423,44,park avenue new,3,38,38,0.701,5423
ijpa,5423,45,west street new,3,37,35,0.645,5423
ijpa,5423,46,both patient analyst,3,37,36,0.664,5423
ijpa,5423,47,herbert rosenfeld herbert,3,37,18,0.332,5423
ijpa,5423,48,rosenfeld herbert rosenfeld,3,37,18,0.332,5423
ijpa,5423,49,new cavendish street,3,37,24,0.443,5423
ijpa,5423,50,cavendish street london,3,37,24,0.443,5423
ijpa,5423,51,internationale zeitschrift psychoanalyse,3,35,25,0.461,5423
ijpa,5423,52,san francisco usa,3,35,33,0.609,5423
ijpa,5423,53,blum harold blum,3,34,18,0.332,5423
ijpa,5423,54,otto kernberg otto,3,34,24,0.443,5423
ijpa,5423,55,kernberg otto kernberg,3,34,24,0.443,5423
ijpa,5423,56,version accepted november,3,34,34,0.627,5423
ijpa,5423,57,este art culo,3,34,33,0.609,5423
ijpa,5423,58,therapeutic action psychoanalysis,3,33,17,0.313,5423
ijpa,5423,59,hanna segal hanna,3,33,16,0.295,5423
ijpa,5423,60,segal hanna segal,3,33,16,0.295,5423
ijpa,5423,61,john steiner john,3,33,24,0.443,5423
ijpa,5423,62,steiner john steiner,3,33,24,0.443,5423
ijpa,5423,63,fran ois sirois,3,33,8,0.148,5423
ijpa,5423,64,rachel blass rachel,3,33,29,0.535,5423
ijpa,5423,65,blass rachel blass,3,33,29,0.535,5423
ijpa,5423,66,version accepted october,3,33,33,0.609,5423
ijpa,5423,67,version accepted january,3,33,33,0.609,5423
ijpa,5423,68,edward glover london,3,32,32,0.59,5423
ijpa,5423,69,members international psycho-analytical,3,32,23,0.424,5423
ijpa,5423,70,leo rangell leo,3,32,16,0.295,5423
ijpa,5423,71,rangell leo rangell,3,32,16,0.295,5423
ijpa,5423,72,version accepted february,3,32,32,0.59,5423
ijpa,5423,73,freud anna freud,3,31,17,0.313,5423
ijpa,5423,74,secretary institute psycho-analysis,3,31,18,0.332,5423
ijpa,5423,75,scientific secretary institute,3,31,11,0.203,5423
ijpa,5423,76,harold blum harold,3,31,18,0.332,5423
ijpa,5423,77,primitive mental states,3,31,12,0.221,5423
ijpa,5423,78,london edward glover,3,30,30,0.553,5423
ijpa,5423,79,institute psycho-analysis new,3,30,18,0.332,5423
ijpa,5423,80,psycho-analysis new cavendish,3,30,18,0.332,5423
ijpa,5423,81,robert wallerstein robert,3,30,19,0.35,5423
ijpa,5423,82,wallerstein robert wallerstein,3,30,19,0.35,5423
ijpa,5423,83,roy schafer roy,3,30,17,0.313,5423
ijpa,5423,84,schafer roy schafer,3,30,17,0.313,5423
ijpa,5423,85,juan jim nez,3,30,9,0.166,5423
ijpa,5423,86,version accepted april,3,30,30,0.553,5423
ijpa,5423,87,com http orcid,3,30,30,0.553,5423
ijpa,5423,88,glover london edward,3,29,29,0.535,5423
ijpa,5423,89,new york city,3,29,22,0.406,5423
ijpa,5423,90,van der leeuw,3,29,9,0.166,5423
ijpa,5423,91,belsize lane london,3,29,29,0.535,5423
ijpa,5423,92,accepted publication march,3,29,29,0.535,5423
ijpa,5423,93,ernest jones london,3,28,28,0.516,5423
ijpa,5423,94,karl abraham karl,3,28,14,0.258,5423
ijpa,5423,95,abraham karl abraham,3,28,14,0.258,5423
ijpa,5423,96,anna freud anna,3,28,14,0.258,5423
ijpa,5423,97,theory parent-infant relationship-contributions,3,28,14,0.258,5423
ijpa,5423,98,between analyst patient,3,28,25,0.461,5423
ijpa,5423,99,del psicoan lisis,3,28,18,0.332,5423
ijpa,5423,100,symptom formation character,3,27,8,0.148,5423
ijpa,5423,101,object relations theory,3,27,16,0.295,5423
ijpa,5423,102,suite new york,3,27,27,0.498,5423
ijpa,5423,103,accepted publication october,3,27,27,0.498,5423
ijpa,5423,104,douglas bryan douglas,3,26,13,0.24,5423
ijpa,5423,105,bryan douglas bryan,3,26,13,0.24,5423
ijpa,5423,106,joan riviere joan,3,26,12,0.221,5423
ijpa,5423,107,riviere joan riviere,3,26,12,0.221,5423
ijpa,5423,108,otto fenichel otto,3,26,13,0.24,5423
ijpa,5423,109,fenichel otto fenichel,3,26,13,0.24,5423
ijpa,5423,110,must bear mind,3,26,26,0.479,5423
ijpa,5423,111,melitta schmideberg melitta,3,26,13,0.24,5423
ijpa,5423,112,schmideberg melitta schmideberg,3,26,13,0.24,5423
ijpa,5423,113,paula heimann paula,3,26,13,0.24,5423
ijpa,5423,114,heimann paula heimann,3,26,13,0.24,5423
ijpa,5423,115,betty joseph betty,3,26,14,0.258,5423
ijpa,5423,116,joseph betty joseph,3,26,14,0.258,5423
ijpa,5423,117,drive beverly hills,3,26,26,0.479,5423
ijpa,5423,118,sandler joseph sandler,3,26,16,0.295,5423
ijpa,5423,119,leonard shengold leonard,3,26,14,0.258,5423
ijpa,5423,120,shengold leonard shengold,3,26,14,0.258,5423
ijpa,5423,121,porto alegre brazil,3,26,19,0.35,5423
ijpa,5423,122,los angeles usa,3,26,22,0.406,5423
ijpa,5423,123,version accepted july,3,26,26,0.479,5423
ijpa,5423,124,jones london ernest,3,25,25,0.461,5423
ijpa,5423,125,london ernest jones,3,25,25,0.461,5423
ijpa,5423,126,freud pointed out,3,25,24,0.443,5423
ijpa,5423,127,gustav bychowski gustav,3,25,13,0.24,5423
ijpa,5423,128,bychowski gustav bychowski,3,25,13,0.24,5423
ijpa,5423,129,runninghead clinical prize,3,25,25,0.461,5423
ijpa,5423,130,freeman thomas freeman,3,25,12,0.221,5423
ijpa,5423,131,british psychoanalytical society,3,25,16,0.295,5423
ijpa,5423,132,accepted publication december,3,25,25,0.461,5423
ijpa,5423,133,first year life,3,24,22,0.406,5423
ijpa,5423,134,melitta sperling melitta,3,24,12,0.221,5423
ijpa,5423,135,sperling melitta sperling,3,24,12,0.221,5423
ijpa,5423,136,heinz weiss heinz,3,24,19,0.35,5423
ijpa,5423,137,weiss heinz weiss,3,24,19,0.35,5423
ijpa,5423,138,accepted publication august,3,24,24,0.443,5423
ijpa,5423,139,clinical prize runninghead,3,23,23,0.424,5423
ijpa,5423,140,prize runninghead clinical,3,23,23,0.424,5423
ijpa,5423,141,beverly hills calif,3,23,23,0.424,5423
ijpa,5423,142,michigan avenue chicago,3,23,21,0.387,5423
ijpa,5423,143,thomas freeman thomas,3,23,12,0.221,5423
ijpa,5423,144,theory psychoanalytic technique,3,23,9,0.166,5423
ijpa,5423,145,sandler anne-marie sandler,3,23,7,0.129,5423
ijpa,5423,146,thomas ogden laurel,3,23,23,0.424,5423
ijpa,5423,147,before british psycho-analytical,3,22,22,0.406,5423
ijpa,5423,148,ella sharpe ella,3,22,11,0.203,5423
ijpa,5423,149,inhibitions symptoms anxiety,3,22,20,0.369,5423
ijpa,5423,150,between analyst analysand,3,22,20,0.369,5423
japa,2924,1,american psychoanalytic association,3,476,367,12.551,2924
japa,2924,2,street new york,3,320,315,10.773,2924
japa,2924,3,training supervising analyst,3,266,251,8.584,2924
japa,2924,4,east street new,3,238,236,8.071,2924
japa,2924,5,new york e-mail,3,203,195,6.669,2924
japa,2924,6,meeting american psychoanalytic,3,174,170,5.814,2924
japa,2924,7,avenue new york,3,130,128,4.378,2924
japa,2924,8,new york new,3,126,124,4.241,2924
japa,2924,9,york new york,3,126,124,4.241,2924
japa,2924,10,clinical professor psychiatry,3,125,118,4.036,2924
japa,2924,11,psychoanalytic training research,3,116,92,3.146,2924
japa,2924,12,psychoanalytic association new,3,111,106,3.625,2924
japa,2924,13,association new york,3,109,104,3.557,2924
japa,2924,14,center psychoanalytic training,3,103,83,2.839,2924
japa,2924,15,university center psychoanalytic,3,97,80,2.736,2924
japa,2924,16,columbia university center,3,95,78,2.668,2924
japa,2924,17,new york psychoanalytic,3,93,76,2.599,2924
japa,2924,18,psychoanalytic society institute,3,74,62,2.12,2924
japa,2924,19,https orcid org,3,71,60,2.052,2924
japa,2924,20,west end avenue,3,70,69,2.36,2924
japa,2924,21,west street new,3,69,68,2.326,2924
japa,2924,22,central park west,3,68,68,2.326,2924
japa,2924,23,suite new york,3,66,65,2.223,2924
japa,2924,24,harold blum harold,3,64,36,1.231,2924
japa,2924,25,blum harold blum,3,64,36,1.231,2924
japa,2924,26,street san francisco,3,62,60,2.052,2924
japa,2924,27,new york december,3,60,59,2.018,2924
japa,2924,28,otto kernberg otto,3,60,34,1.163,2924
japa,2924,29,kernberg otto kernberg,3,60,34,1.163,2924
japa,2924,30,borderline personality disorder,3,60,22,0.752,2924
