rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,street new york,3,653,635,5.22,12164
2,american psychoanalytic association,3,610,482,3.963,12164
3,training supervising analyst,3,489,457,3.757,12164
4,new york e-mail,3,419,410,3.371,12164
5,east street new,3,366,364,2.992,12164
6,final version accepted,3,363,363,2.984,12164
7,new york city,3,355,296,2.433,12164
8,new york usa,3,353,319,2.622,12164
9,new york university,3,351,309,2.54,12164
10,program psychotherapy psychoanalysis,3,319,287,2.359,12164
11,new york new,3,312,290,2.384,12164
12,york new york,3,309,287,2.359,12164
13,postdoctoral program psychotherapy,3,302,270,2.22,12164
14,suite new york,3,274,272,2.236,12164
15,avenue new york,3,261,259,2.129,12164
16,http orcid org,3,234,170,1.398,12164
17,west street new,3,216,203,1.669,12164
18,york university postdoctoral,3,215,195,1.603,12164
19,university postdoctoral program,3,215,196,1.611,12164
20,https orcid org,3,195,134,1.102,12164
21,clinical professor psychiatry,3,192,183,1.504,12164
22,street san francisco,3,187,183,1.504,12164
23,central park west,3,185,183,1.504,12164
24,meeting american psychoanalytic,3,183,179,1.472,12164
25,practice new york,3,178,175,1.439,12164
26,psychoanalytic training research,3,176,150,1.233,12164
27,psychoanalytic institute northern,3,175,161,1.324,12164
28,institute northern california,3,175,161,1.324,12164
29,private practice new,3,160,157,1.291,12164
30,nyu postdoctoral program,3,157,138,1.134,12164
31,e-mail notification latest,3,150,50,0.411,12164
32,notification latest online,3,150,50,0.411,12164
33,borderline personality disorder,3,149,68,0.559,12164
34,psychoanalytic society institute,3,145,120,0.987,12164
35,center psychoanalytic training,3,141,119,0.978,12164
36,university new york,3,140,90,0.74,12164
37,editor psychoanalytic dialogues,3,140,139,1.143,12164
38,west new york,3,138,137,1.126,12164
39,street suite new,3,137,137,1.126,12164
40,william alanson white,3,135,120,0.987,12164
41,park west new,3,133,132,1.085,12164
42,between patient analyst,3,133,122,1.003,12164
43,new york psychoanalytic,3,132,107,0.88,12164
44,harvard medical school,3,132,128,1.052,12164
45,west end avenue,3,129,128,1.052,12164
46,alanson white institute,3,128,115,0.945,12164
47,university center psychoanalytic,3,123,105,0.863,12164
48,columbia university center,3,119,101,0.83,12164
49,massachusetts institute psychoanalysis,3,119,106,0.871,12164
50,object relations theory,3,116,65,0.534,12164
51,association new york,3,115,110,0.904,12164
52,buenos aires argentina,3,113,83,0.682,12164
53,psychoanalytic theory practice,3,113,88,0.723,12164
54,psychoanalytic association new,3,112,107,0.88,12164
55,british psycho-analytical society,3,111,68,0.559,12164
56,boston psychoanalytic society,3,109,92,0.756,12164
57,negative therapeutic reaction,3,105,45,0.37,12164
58,blum harold blum,3,102,57,0.469,12164
59,international psycho-analytical association,3,100,65,0.534,12164
60,american psychological association,3,99,86,0.707,12164
61,associate editor psychoanalytic,3,99,98,0.806,12164
62,harold blum harold,3,99,57,0.469,12164
63,school professional psychology,3,99,22,0.181,12164
64,otto kernberg otto,3,97,59,0.485,12164
65,kernberg otto kernberg,3,97,59,0.485,12164
66,international psycho-analytical congress,3,94,74,0.608,12164
67,city university new,3,94,51,0.419,12164
68,postdoctoral program psychoanalysis,3,92,82,0.674,12164
69,national institute psychotherapies,3,92,88,0.723,12164
70,park avenue new,3,88,88,0.723,12164
71,international psychoanalytical association,3,85,67,0.551,12164
72,both patient analyst,3,84,81,0.666,12164
73,institute contemporary psychoanalysis,3,84,72,0.592,12164
74,international journal psychoanalysis,3,83,69,0.567,12164
75,international association relational,3,83,80,0.658,12164
76,robert wallerstein robert,3,81,47,0.386,12164
77,wallerstein robert wallerstein,3,81,47,0.386,12164
78,end avenue new,3,81,80,0.658,12164
79,relational psychoanalysis psychotherapy,3,80,77,0.633,12164
80,mitchell center relational,3,80,74,0.608,12164
81,therapeutic action psychoanalysis,3,79,44,0.362,12164
82,beyond pleasure principle,3,78,60,0.493,12164
83,san francisco california,3,78,72,0.592,12164
84,program psychoanalysis psychotherapy,3,78,68,0.559,12164
85,association relational psychoanalysis,3,78,75,0.617,12164
86,clinical professor psychology,3,77,73,0.6,12164
87,supervising analyst faculty,3,76,71,0.584,12164
88,mental health services,3,74,33,0.271,12164
89,amy schwartz cooney,3,74,25,0.206,12164
90,ernest jones ernest,3,72,36,0.296,12164
91,jones ernest jones,3,72,36,0.296,12164
92,stephen mitchell center,3,72,67,0.551,12164
93,leo rangell leo,3,71,38,0.312,12164
94,rangell leo rangell,3,71,38,0.312,12164
95,between analyst patient,3,71,66,0.543,12164
96,san francisco center,3,71,67,0.551,12164
97,francisco center psychoanalysis,3,71,67,0.551,12164
98,international journal psycho-analysis,3,70,44,0.362,12164
99,avenue suite new,3,70,69,0.567,12164
100,com http orcid,3,69,69,0.567,12164
101,faculty new york,3,69,66,0.543,12164
102,annual meeting american,3,68,66,0.543,12164
103,clinical associate professor,3,68,67,0.551,12164
104,united states email,3,68,66,0.543,12164
105,freud sigmund freud,3,67,31,0.255,12164
106,journal american psychoanalytic,3,67,55,0.452,12164
107,apt new york,3,67,67,0.551,12164
108,west street suite,3,67,67,0.551,12164
109,york psychoanalytic institute,3,66,61,0.501,12164
110,belsize lane london,3,66,66,0.543,12164
111,york usa e-mail,3,66,66,0.543,12164
112,sexual boundary violations,3,66,21,0.173,12164
113,michigan avenue chicago,3,65,63,0.518,12164
114,com https orcid,3,65,64,0.526,12164
115,university school medicine,3,64,60,0.493,12164
116,international universities press,3,64,38,0.312,12164
117,san francisco usa,3,64,62,0.51,12164
118,analysis terminable interminable,3,62,43,0.354,12164
119,supervising analyst boston,3,62,62,0.51,12164
120,analyst boston psychoanalytic,3,62,62,0.51,12164
121,associate clinical professor,3,61,61,0.501,12164
122,california san francisco,3,61,54,0.444,12164
123,thomas ogden thomas,3,61,46,0.378,12164
124,edward glover edward,3,60,30,0.247,12164
125,glover edward glover,3,60,30,0.247,12164
126,new york december,3,60,59,0.485,12164
127,sigmund freud sigmund,3,59,31,0.255,12164
128,ogden thomas ogden,3,59,46,0.378,12164
129,new york fax,3,59,57,0.469,12164
130,institute psychoanalytic subjectivity,3,59,52,0.427,12164
131,los angeles california,3,58,52,0.427,12164
132,fifth avenue new,3,58,58,0.477,12164
133,psychiatry harvard medical,3,58,58,0.477,12164
134,dynamic interpersonal therapy,3,58,17,0.14,12164
135,news notes comments,3,57,19,0.156,12164
136,street new haven,3,57,56,0.46,12164
137,psychoanalysis new york,3,57,50,0.411,12164
138,new york email,3,57,56,0.46,12164
139,psychoanalytic theory technique,3,56,46,0.378,12164
140,tel aviv israel,3,56,49,0.403,12164
141,college physicians surgeons,3,56,48,0.395,12164
142,analyst psychoanalytic institute,3,56,54,0.444,12164
143,york psychoanalytic society,3,55,42,0.345,12164
144,international psychoanalytic association,3,55,51,0.419,12164
145,gabbard glen gabbard,3,55,36,0.296,12164
146,glen gabbard glen,3,54,35,0.288,12164
147,jeanne lampl-de groot,3,53,14,0.115,12164
148,borderline personality organization,3,53,24,0.197,12164
149,psychoanalysis psychoanalytic psychotherapy,3,53,28,0.23,12164
150,british psychoanalytical society,3,53,41,0.337,12164
151,university california san,3,52,49,0.403,12164
152,floor new york,3,52,52,0.427,12164
153,gmail com http,3,52,52,0.427,12164
154,assistant clinical professor,3,52,50,0.411,12164
155,supervising analyst psychoanalytic,3,52,50,0.411,12164
156,chicago institute psychoanalysis,3,51,48,0.395,12164
157,personal supervising analyst,3,51,51,0.419,12164
158,psychodynamic diagnostic manual,3,51,26,0.214,12164
159,new york international,3,50,30,0.247,12164
160,psychoanalysis los angeles,3,50,47,0.386,12164
161,roy schafer roy,3,50,29,0.238,12164
162,schafer roy schafer,3,50,29,0.238,12164
163,hms harvard edu,3,50,48,0.395,12164
164,altered body-ego experiences,3,50,1,0.008,12164
165,faculty supervising analyst,3,50,46,0.378,12164
166,latest online e-mail,3,50,50,0.411,12164
167,online e-mail notification,3,50,50,0.411,12164
168,latest online runninghead,3,50,50,0.411,12164
169,online runninghead e-mail,3,50,50,0.411,12164
170,runninghead e-mail notification,3,50,50,0.411,12164
171,latest online like,3,50,50,0.411,12164
172,online like know,3,50,50,0.411,12164
173,like know next,3,50,50,0.411,12164
174,know next favorite,3,50,50,0.411,12164
175,next favorite apa,3,50,50,0.411,12164
176,favorite apa journal,3,50,50,0.411,12164
177,apa journal available,3,50,50,0.411,12164
178,journal available online,3,50,50,0.411,12164
179,available online service,3,50,50,0.411,12164
180,online service now,3,50,50,0.411,12164
181,service now available,3,50,50,0.411,12164
182,now available sign,3,50,50,0.411,12164
183,interest become available,3,50,50,0.411,12164
184,phd lauren levine,3,49,33,0.271,12164
185,notified e-mail interest,3,49,49,0.403,12164
186,e-mail interest become,3,49,49,0.403,12164
187,psychoanalytic association december,3,48,48,0.395,12164
188,york international universities,3,48,28,0.23,12164
189,department psychiatry university,3,48,45,0.37,12164
190,harold blum hemlocks,3,48,48,0.395,12164
191,blum hemlocks roslyn,3,48,48,0.395,12164
192,road white plains,3,48,48,0.395,12164
193,toronto ontario canada,3,48,43,0.354,12164
194,com final version,3,48,48,0.395,12164
195,fall meeting american,3,48,47,0.386,12164
196,session american psychoanalytic,3,48,20,0.164,12164
197,institute contemporary psychotherapy,3,48,45,0.37,12164
198,national health service,3,47,41,0.337,12164
199,version accepted september,3,47,47,0.386,12164
200,maintains private practice,3,47,47,0.386,12164
201,chicago school professional,3,47,5,0.041,12164
202,san francisco psychoanalytic,3,46,42,0.345,12164
203,avenue suite chicago,3,46,45,0.37,12164
204,faculty psychoanalytic institute,3,46,46,0.378,12164
205,gmail com https,3,46,46,0.378,12164
206,psychiatry columbia university,3,45,38,0.312,12164
207,state university new,3,45,36,0.296,12164
208,analyst new york,3,45,45,0.37,12164
209,north michigan avenue,3,45,45,0.37,12164
210,bloomingdale road white,3,45,45,0.37,12164
211,east street suite,3,45,45,0.37,12164
212,francisco gonz lez,3,45,12,0.099,12164
213,york fax e-mail,3,45,44,0.362,12164
214,psychiatry behavioral sciences,3,45,42,0.345,12164
215,associate professor psychology,3,45,45,0.37,12164
216,university college london,3,44,39,0.321,12164
217,self object representations,3,44,24,0.197,12164
218,theory psychoanalytic technique,3,44,26,0.214,12164
219,hemlocks roslyn estates,3,44,44,0.362,12164
220,new york united,3,44,35,0.288,12164
221,york united states,3,44,35,0.288,12164
222,analyst william alanson,3,44,43,0.354,12164
223,manhattan institute psychoanalysis,3,44,41,0.337,12164
224,jody messler davies,3,44,18,0.148,12164
225,long island university,3,44,16,0.132,12164
226,institute psychoanalytic training,3,43,40,0.329,12164
227,both analyst patient,3,42,42,0.345,12164
228,mark kanzer mark,3,42,21,0.173,12164
229,kanzer mark kanzer,3,42,21,0.173,12164
230,maurice bouvet prize,3,42,12,0.099,12164
231,psychoanalytic self psychology,3,42,33,0.271,12164
232,supervising analyst new,3,42,42,0.345,12164
233,san francisco e-mail,3,42,41,0.337,12164
234,supervisor new york,3,42,41,0.337,12164
235,poster session american,3,42,14,0.115,12164
236,adjunct clinical professor,3,42,35,0.288,12164
237,org https orcid,3,42,28,0.23,12164
238,freud anna freud,3,41,25,0.206,12164
239,michael balint michael,3,41,20,0.164,12164
240,balint michael balint,3,41,20,0.164,12164
241,between analyst analysand,3,41,39,0.321,12164
242,jacob arlow jacob,3,41,21,0.173,12164
243,arlow jacob arlow,3,41,21,0.173,12164
244,analytic process runninghead,3,41,41,0.337,12164
245,daniel widl cher,3,41,12,0.099,12164
246,francisco psychoanalytic institute,3,41,37,0.304,12164
247,michigan avenue suite,3,41,40,0.329,12164
248,steven cooper steven,3,41,27,0.222,12164
249,cooper steven cooper,3,41,27,0.222,12164
250,supervising analyst columbia,3,41,40,0.329,12164
