term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm
freud,global_core_terms_after_audit,,,,5390,2350,19.3193,,,pending,,,freud
object,global_core_terms_after_audit,,,,4293,1878,15.439,,,pending,,,object
ego,global_core_terms_after_audit,,,,4140,1530,12.5781,,,pending,,,ego
transference,global_core_terms_after_audit,,,,3795,1552,12.759,,,pending,,,transference
time,global_core_terms_after_audit,,,,3753,2294,18.8589,,,pending,,,time
unconscious,global_core_terms_after_audit,,,,3727,2029,16.6804,,,pending,,,unconscious
study,global_core_terms_after_audit,,,,3620,2026,16.6557,,,pending,,,study
life,global_core_terms_after_audit,,,,3562,2346,19.2864,,,pending,,,life
freud's,global_core_terms_after_audit,,,,3486,1716,14.1072,,,pending,,,freud's
relationship,global_core_terms_after_audit,,,,3454,2070,17.0174,,,pending,,,relationship
child,global_core_terms_after_audit,,,,3080,1376,11.3121,,,pending,,,child
training,global_core_terms_after_audit,,,,3007,1488,12.2328,,,pending,,,training
author,global_core_terms_after_audit,,,,2994,1904,15.6527,,,pending,,,author
out,global_core_terms_after_audit,,,,2955,2034,16.7215,,,pending,,,out
psychology,global_core_terms_after_audit,,,,2919,1616,13.2851,,,pending,,,psychology
psychic,global_core_terms_after_audit,,,,2910,1515,12.4548,,,pending,,,psychic
therapeutic,global_core_terms_after_audit,,,,2901,1556,12.7918,,,pending,,,therapeutic
concept,global_core_terms_after_audit,,,,2862,1655,13.6057,,,pending,,,concept
early,global_core_terms_after_audit,,,,2825,1820,14.9622,,,pending,,,early
self,global_core_terms_after_audit,,,,2806,1327,10.9092,,,pending,,,self
own,global_core_terms_after_audit,,,,2798,2097,17.2394,,,pending,,,own
mental,global_core_terms_after_audit,,,,2720,1609,13.2276,,,pending,,,mental
well,global_core_terms_after_audit,,,,2661,2220,18.2506,,,pending,,,well
way,global_core_terms_after_audit,,,,2586,2067,16.9928,,,pending,,,way
part,global_core_terms_after_audit,,,,2551,1862,15.3075,,,pending,,,part
patient's,global_core_terms_after_audit,,,,2434,1517,12.4712,,,pending,,,patient's
discussion,global_core_terms_after_audit,,,,2429,1362,11.197,,,pending,,,discussion
reality,global_core_terms_after_audit,,,,2384,1191,9.7912,,,pending,,,reality
role,global_core_terms_after_audit,,,,2359,1562,12.8412,,,pending,,,role
mind,global_core_terms_after_audit,,,,2304,1452,11.9369,,,pending,,,mind
world,global_core_terms_after_audit,,,,2243,1485,12.2082,,,pending,,,world
view,global_core_terms_after_audit,,,,2227,1613,13.2604,,,pending,,,view
very,global_core_terms_after_audit,,,,2221,1672,13.7455,,,pending,,,very
trauma,global_core_terms_after_audit,,,,2221,884,7.2673,,,pending,,,trauma
present,global_core_terms_after_audit,,,,2183,1678,13.7948,,,pending,,,present
personality,global_core_terms_after_audit,,,,2127,1032,8.4841,,,pending,,,personality
sexual,global_core_terms_after_audit,,,,2111,969,7.9661,,,pending,,,sexual
mother,global_core_terms_after_audit,,,,2095,1029,8.4594,,,pending,,,mother
psychological,global_core_terms_after_audit,,,,2045,1360,11.1805,,,pending,,,psychological
after,global_core_terms_after_audit,,,,2011,1516,12.463,,,pending,,,after
anxiety,global_core_terms_after_audit,,,,2011,942,7.7442,,,pending,,,anxiety
social,global_core_terms_after_audit,,,,2011,1157,9.5117,,,pending,,,social
analyst's,global_core_terms_after_audit,,,,2007,1048,8.6156,,,pending,,,analyst's
any,global_core_terms_after_audit,,,,1932,1459,11.9944,,,pending,,,any
change,global_core_terms_after_audit,,,,1930,1058,8.6978,,,pending,,,change
relational,global_core_terms_after_audit,,,,1919,878,7.218,,,pending,,,relational
dream,global_core_terms_after_audit,,,,1899,578,4.7517,,,pending,,,dream
sense,global_core_terms_after_audit,,,,1890,1341,11.0243,,,pending,,,sense
thinking,global_core_terms_after_audit,,,,1885,1197,9.8405,,,pending,,,thinking
group,global_core_terms_after_audit,,,,1872,1016,8.3525,,,pending,,,group
nature,global_core_terms_after_audit,,,,1862,1394,11.46,,,pending,,,nature
association,global_core_terms_after_audit,,,,1840,1199,9.857,,,pending,,,association
made,global_core_terms_after_audit,,,,1828,1555,12.7836,,,pending,,,made
human,global_core_terms_after_audit,,,,1824,1202,9.8816,,,pending,,,human
even,global_core_terms_after_audit,,,,1809,1477,12.1424,,,pending,,,even
summary,global_core_terms_after_audit,,,,1793,1719,14.1319,,,pending,,,summary
technique,global_core_terms_after_audit,,,,1787,928,7.6291,,,pending,,,technique
interpretation,global_core_terms_after_audit,,,,1784,916,7.5304,,,pending,,,interpretation
body,global_core_terms_after_audit,,,,1780,833,6.8481,,,pending,,,body
complex,global_core_terms_after_audit,,,,1750,1145,9.413,,,pending,,,complex
situation,global_core_terms_after_audit,,,,1744,1151,9.4623,,,pending,,,situation
over,global_core_terms_after_audit,,,,1723,1352,11.1148,,,pending,,,over
must,global_core_terms_after_audit,,,,1715,1250,10.2762,,,pending,,,must
dreams,global_core_terms_after_audit,,,,1706,581,4.7764,,,pending,,,dreams
children,global_core_terms_after_audit,,,,1706,884,7.2673,,,pending,,,children
often,global_core_terms_after_audit,,,,1697,1420,11.6738,,,pending,,,often
presented,global_core_terms_after_audit,,,,1695,1524,12.5288,,,pending,,,presented
like,global_core_terms_after_audit,,,,1681,1312,10.7859,,,pending,,,like
states,global_core_terms_after_audit,,,,1677,1071,8.8047,,,pending,,,states
approach,global_core_terms_after_audit,,,,1666,1143,9.3966,,,pending,,,approach
thought,global_core_terms_after_audit,,,,1658,1197,9.8405,,,pending,,,thought
function,global_core_terms_after_audit,,,,1657,1053,8.6567,,,pending,,,function
form,global_core_terms_after_audit,,,,1642,1269,10.4324,,,pending,,,form
relation,global_core_terms_after_audit,,,,1607,1131,9.2979,,,pending,,,relation
ideas,global_core_terms_after_audit,,,,1601,1182,9.7172,,,pending,,,ideas
point,global_core_terms_after_audit,,,,1595,1312,10.7859,,,pending,,,point
emotional,global_core_terms_after_audit,,,,1589,1007,8.2785,,,pending,,,emotional
american,global_core_terms_after_audit,,,,1584,991,8.147,,,pending,,,american
identification,global_core_terms_after_audit,,,,1573,788,6.4781,,,pending,,,identification
