rank,term,count,doc_count,doc_pct,n_docs_base
1,object relations,861,495,4.0694,12164
2,san francisco,693,456,3.7488,12164
3,american association,622,490,4.0283,12164
4,mental health,607,378,3.1075,12164
5,training supervising,515,479,3.9378,12164
6,oedipus complex,502,241,1.9813,12164
7,point view,466,393,3.2308,12164
8,acting out,466,164,1.3482,12164
9,postdoctoral program,444,387,3.1815,12164
10,projective identification,422,215,1.7675,12164
11,sigmund freud,408,199,1.636,12164
12,correspondence addressed,408,408,3.3542,12164
13,anna freud,381,193,1.5866,12164
14,final version,372,371,3.05,12164
15,los angeles,369,281,2.3101,12164
16,version accepted,363,363,2.9842,12164
17,professor psychiatry,362,336,2.7622,12164
18,therapeutic action,355,180,1.4798,12164
19,united states,349,266,2.1868,12164
20,personality disorder,344,140,1.1509,12164
21,melanie klein,342,183,1.5044,12164
22,psychic reality,326,149,1.2249,12164
23,transference countertransference,317,239,1.9648,12164
24,ernest jones,314,141,1.1592,12164
25,otto kernberg,305,77,0.633,12164
26,self psychology,303,143,1.1756,12164
27,buenos aires,296,204,1.6771,12164
28,harold blum,285,71,0.5837,12164
29,international association,259,219,1.8004,12164
30,transference neurosis,259,130,1.0687,12164
31,robert wallerstein,257,70,0.5755,12164
32,accepted publication,255,249,2.047,12164
33,borderline personality,245,106,0.8714,12164
34,associate professor,230,223,1.8333,12164
35,professor psychology,226,213,1.7511,12164
36,mental life,223,185,1.5209,12164
37,personality disorders,223,119,0.9783,12164
38,faculty member,222,186,1.5291,12164
39,ego psychology,220,131,1.0769,12164
40,thomas ogden,220,61,0.5015,12164
41,glen gabbard,220,71,0.5837,12164
42,pointed out,214,197,1.6195,12164
43,medical center,210,190,1.562,12164
44,international journal,209,157,1.2907,12164
45,psychic structure,209,134,1.1016,12164
46,international psycho-analytical,206,138,1.1345,12164
47,meeting american,206,197,1.6195,12164
48,gender identity,205,77,0.633,12164
49,free association,203,121,0.9947,12164
50,mental functioning,201,154,1.266,12164
51,therapeutic alliance,200,91,0.7481,12164
52,consulting room,199,141,1.1592,12164
53,therapeutic relationship,196,140,1.1509,12164
54,stephen seligman,196,44,0.3617,12164
55,death instinct,194,93,0.7646,12164
56,steven cooper,194,52,0.4275,12164
57,northern california,193,170,1.3976,12164
58,primal scene,191,80,0.6577,12164
59,adrienne harris,190,69,0.5672,12164
60,stephen mitchell,190,135,1.1098,12164
61,leo rangell,188,49,0.4028,12164
62,park west,187,185,1.5209,12164
63,edward glover,183,46,0.3782,12164
64,conscious unconscious,182,164,1.3482,12164
65,unconscious fantasy,180,93,0.7646,12164
66,early childhood,179,143,1.1756,12164
67,peter fonagy,179,67,0.5508,12164
68,take place,176,165,1.3565,12164
69,pleasure principle,174,119,0.9783,12164
70,object relationships,174,127,1.0441,12164
71,author argues,173,162,1.3318,12164
72,lewis aron,173,56,0.4604,12164
73,roy schafer,171,46,0.3782,12164
74,ego ideal,169,70,0.5755,12164
75,past present,162,114,0.9372,12164
76,psycho-analytical society,160,104,0.855,12164
77,personality organization,160,71,0.5837,12164
78,psychic change,160,62,0.5097,12164
79,nyu postdoctoral,159,140,1.1509,12164
80,external reality,158,119,0.9783,12164
81,repetition compulsion,156,72,0.5919,12164
82,interpretation dreams,155,96,0.7892,12164
83,self object,155,103,0.8468,12164
84,center training,155,131,1.0769,12164
85,takes place,153,145,1.192,12164
86,external world,153,119,0.9783,12164
87,associate editor,153,141,1.1592,12164
88,lauren levine,153,43,0.3535,12164
89,latest issue,151,51,0.4193,12164
90,one's own,150,125,1.0276,12164
91,rachel blass,150,46,0.3782,12164
92,notification latest,150,50,0.411,12164
93,issue online,150,50,0.411,12164
94,internal objects,149,101,0.8303,12164
95,female sexuality,146,65,0.5344,12164
96,inner world,145,115,0.9454,12164
97,columbia center,144,119,0.9783,12164
98,object relationship,143,90,0.7399,12164
99,ego functions,143,104,0.855,12164
100,west end,141,140,1.1509,12164
101,editor dialogues,141,140,1.1509,12164
