rank,term,count,doc_count,doc_pct,n_docs_base
1,freud,5390,2350,19.3193,12164
2,object,4293,1878,15.439,12164
3,ego,4140,1530,12.5781,12164
4,transference,3795,1552,12.759,12164
5,time,3753,2294,18.8589,12164
6,unconscious,3727,2029,16.6804,12164
7,study,3620,2026,16.6557,12164
8,life,3562,2346,19.2864,12164
9,freud's,3486,1716,14.1072,12164
10,relationship,3454,2070,17.0174,12164
11,child,3080,1376,11.3121,12164
12,training,3007,1488,12.2328,12164
13,author,2994,1904,15.6527,12164
14,out,2955,2034,16.7215,12164
15,psychology,2919,1616,13.2851,12164
16,psychic,2910,1515,12.4548,12164
17,therapeutic,2901,1556,12.7918,12164
18,concept,2862,1655,13.6057,12164
19,early,2825,1820,14.9622,12164
20,self,2806,1327,10.9092,12164
21,own,2798,2097,17.2394,12164
22,mental,2720,1609,13.2276,12164
23,well,2661,2220,18.2506,12164
24,way,2586,2067,16.9928,12164
25,part,2551,1862,15.3075,12164
26,patient's,2434,1517,12.4712,12164
27,discussion,2429,1362,11.197,12164
28,reality,2384,1191,9.7912,12164
29,role,2359,1562,12.8412,12164
30,mind,2304,1452,11.9369,12164
31,world,2243,1485,12.2082,12164
32,view,2227,1613,13.2604,12164
33,very,2221,1672,13.7455,12164
34,trauma,2221,884,7.2673,12164
35,present,2183,1678,13.7948,12164
36,personality,2127,1032,8.4841,12164
37,sexual,2111,969,7.9661,12164
38,mother,2095,1029,8.4594,12164
39,psychological,2045,1360,11.1805,12164
40,after,2011,1516,12.463,12164
41,anxiety,2011,942,7.7442,12164
42,social,2011,1157,9.5117,12164
43,analyst's,2007,1048,8.6156,12164
44,any,1932,1459,11.9944,12164
45,change,1930,1058,8.6978,12164
46,relational,1919,878,7.218,12164
47,dream,1899,578,4.7517,12164
48,sense,1890,1341,11.0243,12164
49,thinking,1885,1197,9.8405,12164
50,group,1872,1016,8.3525,12164
51,nature,1862,1394,11.46,12164
52,association,1840,1199,9.857,12164
53,made,1828,1555,12.7836,12164
54,human,1824,1202,9.8816,12164
55,even,1809,1477,12.1424,12164
56,summary,1793,1719,14.1319,12164
57,technique,1787,928,7.6291,12164
58,interpretation,1784,916,7.5304,12164
59,body,1780,833,6.8481,12164
60,complex,1750,1145,9.413,12164
61,situation,1744,1151,9.4623,12164
62,over,1723,1352,11.1148,12164
63,must,1715,1250,10.2762,12164
64,dreams,1706,581,4.7764,12164
65,children,1706,884,7.2673,12164
66,often,1697,1420,11.6738,12164
67,presented,1695,1524,12.5288,12164
68,like,1681,1312,10.7859,12164
69,states,1677,1071,8.8047,12164
70,approach,1666,1143,9.3966,12164
71,thought,1658,1197,9.8405,12164
