rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
1,ijpa,final version,terms_bigram,5423,6741,369,2,6.8044,0.0297,6.7747,183.7145,40.062106
2,ijpa,version accepted,terms_bigram,5423,6741,363,0,6.6937,0.0,6.6937,903.6567,39.473849
3,ijpa,accepted publication,terms_bigram,5423,6741,225,24,4.149,0.356,3.793,11.4406,20.559898
4,ijpa,point view,terms_bigram,5423,6741,271,122,4.9972,1.8098,3.1874,2.7549,17.868009
5,ijpa,buenos aires,terms_bigram,5423,6741,191,13,3.522,0.1928,3.3292,17.6321,17.50318
6,ijpa,pointed out,terms_bigram,5423,6741,159,38,2.932,0.5637,2.3682,5.1495,12.019239
7,ijpa,melanie klein,terms_bigram,5423,6741,152,31,2.8029,0.4599,2.343,6.0177,11.786337
8,ijpa,international psycho-analytical,terms_bigram,5423,6741,133,5,2.4525,0.0742,2.3783,30.1709,11.648748
9,ijpa,ernest jones,terms_bigram,5423,6741,131,10,2.4156,0.1483,2.2673,15.567,11.070734
10,ijpa,oedipus complex,terms_bigram,5423,6741,166,75,3.061,1.1126,1.9484,2.7412,9.972113
11,ijpa,psycho-analytical society,terms_bigram,5423,6741,97,7,1.7887,0.1038,1.6848,16.1589,7.724917
12,ijpa,sigmund freud,terms_bigram,5423,6741,130,69,2.3972,1.0236,1.3736,2.334,6.69662
13,ijpa,mental life,terms_bigram,5423,6741,124,61,2.2866,0.9049,1.3816,2.5163,6.671025
14,ijpa,anna freud,terms_bigram,5423,6741,127,66,2.3419,0.9791,1.3628,2.3832,6.612318
15,ijpa,defence against,terms_bigram,5423,6741,86,9,1.5858,0.1335,1.4523,11.3178,6.485958
16,ijpa,put forward,terms_bigram,5423,6741,93,21,1.7149,0.3115,1.4034,5.4056,6.376021
17,ijpa,psycho-analytical congress,terms_bigram,5423,6741,78,0,1.4383,0.0,1.4383,195.1501,6.284657
18,ijpa,acting out,terms_bigram,5423,6741,112,52,2.0653,0.7714,1.2939,2.6636,6.116666
19,ijpa,defence mechanisms,terms_bigram,5423,6741,79,6,1.4568,0.089,1.3678,15.2028,5.99352
20,ijpa,external world,terms_bigram,5423,6741,92,27,1.6965,0.4005,1.2959,4.181,5.873995
21,ijpa,read before,terms_bigram,5423,6741,86,19,1.5858,0.2819,1.304,5.5138,5.823458
22,ijpa,take place,terms_bigram,5423,6741,110,55,2.0284,0.8159,1.2125,2.4748,5.710281
23,ijpa,author argues,terms_bigram,5423,6741,108,54,1.9915,0.8011,1.1904,2.4746,5.584813
24,ijpa,aires argentina,terms_bigram,5423,6741,74,9,1.3646,0.1335,1.231,9.7477,5.315031
25,ijpa,paris france,terms_bigram,5423,6741,72,11,1.3277,0.1632,1.1645,7.8363,4.996231
26,ijpa,psychic reality,terms_bigram,5423,6741,98,51,1.8071,0.7566,1.0506,2.3774,4.827419
27,ijpa,british psycho-analytical,terms_bigram,5423,6741,67,7,1.2355,0.1038,1.1316,11.1869,4.774948
28,ijpa,projective identification,terms_bigram,5423,6741,125,90,2.305,1.3351,0.9699,1.7237,4.690631
29,ijpa,psycho-analytical association,terms_bigram,5423,6741,63,4,1.1617,0.0593,1.1024,17.54,4.58467
30,ijpa,pleasure principle,terms_bigram,5423,6741,84,35,1.549,0.5192,1.0297,2.9587,4.574808
31,ijpa,art culo,terms_bigram,5423,6741,62,3,1.1433,0.0445,1.0988,22.1963,4.552372
32,ijpa,object relationships,terms_bigram,5423,6741,87,40,1.6043,0.5934,1.0109,2.6855,4.526114
33,ijpa,author presents,terms_bigram,5423,6741,72,19,1.3277,0.2819,1.0458,4.6214,4.487053
34,ijpa,author discusses,terms_bigram,5423,6741,85,39,1.5674,0.5785,0.9888,2.6905,4.404677
35,ijpa,freud himself,terms_bigram,5423,6741,70,18,1.2908,0.267,1.0238,4.7368,4.364028
36,ijpa,death instinct,terms_bigram,5423,6741,72,21,1.3277,0.3115,1.0162,4.1915,4.359759
37,ijpa,author describes,terms_bigram,5423,6741,87,43,1.6043,0.6379,0.9664,2.5003,4.326856
38,ijpa,well known,terms_bigram,5423,6741,79,36,1.4568,0.534,0.9227,2.7073,4.043352
39,ijpa,mental functioning,terms_bigram,5423,6741,95,59,1.7518,0.8752,0.8766,1.9951,4.000911
40,ijpa,takes place,terms_bigram,5423,6741,91,54,1.678,0.8011,0.877,2.0869,3.965472
41,ijpa,points out,terms_bigram,5423,6741,66,19,1.217,0.2819,0.9352,4.2389,3.93215
42,ijpa,melanie klein's,terms_bigram,5423,6741,58,9,1.0695,0.1335,0.936,7.6542,3.816605
43,ijpa,points view,terms_bigram,5423,6741,75,35,1.383,0.5192,0.8638,2.6436,3.740834
44,ijpa,internal objects,terms_bigram,5423,6741,71,30,1.3092,0.445,0.8642,2.9139,3.695897
45,ijpa,great deal,terms_bigram,5423,6741,74,35,1.3646,0.5192,0.8453,2.6085,3.649778
46,ijpa,beverly hills,terms_bigram,5423,6741,60,17,1.1064,0.2522,0.8542,4.2972,3.511552
47,ijpa,external reality,terms_bigram,5423,6741,77,42,1.4199,0.6231,0.7968,2.2666,3.471536
48,ijpa,depressive position,terms_bigram,5423,6741,57,14,1.0511,0.2077,0.8434,4.9291,3.424555
49,ijpa,took place,terms_bigram,5423,6741,68,34,1.2539,0.5044,0.7495,2.468,3.173642
50,ijpa,common ground,terms_bigram,5423,6741,51,11,0.9404,0.1632,0.7773,5.5665,3.071137
51,ijpa,accepted september,terms_bigram,5423,6741,47,6,0.8667,0.089,0.7777,9.0834,3.010522
52,ijpa,author suggests,terms_bigram,5423,6741,68,37,1.2539,0.5489,0.705,2.2705,2.985208
53,ijpa,unconscious phantasy,terms_bigram,5423,6741,48,8,0.8851,0.1187,0.7664,7.0924,2.982855
54,ijpa,rachel blass,terms_bigram,5423,6741,44,2,0.8114,0.0297,0.7817,22.1253,2.975629
55,ijpa,world war,terms_bigram,5423,6741,70,40,1.2908,0.5934,0.6974,2.1637,2.972856
56,ijpa,point out,terms_bigram,5423,6741,51,13,0.9404,0.1928,0.7476,4.7418,2.953907
57,ijpa,psychic change,terms_bigram,5423,6741,50,12,0.922,0.178,0.744,5.0217,2.925214
58,ijpa,international congress,terms_bigram,5423,6741,45,6,0.8298,0.089,0.7408,8.701,2.836225
59,ijpa,edward glover,terms_bigram,5423,6741,43,3,0.7929,0.0445,0.7484,15.4486,2.832145
60,ijpa,internal external,terms_bigram,5423,6741,76,51,1.4014,0.7566,0.6449,1.8464,2.801207
61,ijpa,transference neurosis,terms_bigram,5423,6741,77,53,1.4199,0.7862,0.6336,1.8006,2.760606
62,ijpa,author shows,terms_bigram,5423,6741,44,6,0.8114,0.089,0.7224,8.5097,2.749748
63,ijpa,starting point,terms_bigram,5423,6741,60,32,1.1064,0.4747,0.6317,2.3139,2.596805
64,ijpa,internal object,terms_bigram,5423,6741,58,30,1.0695,0.445,0.6245,2.3841,2.546344
65,ijpa,ego superego,terms_bigram,5423,6741,68,44,1.2539,0.6527,0.6012,1.9134,2.545529
66,ijpa,psychic apparatus,terms_bigram,5423,6741,52,22,0.9589,0.3264,0.6325,2.9003,2.51128
67,ijpa,accepted march,terms_bigram,5423,6741,39,3,0.7192,0.0445,0.6747,14.0281,2.488722
68,ijpa,defences against,terms_bigram,5423,6741,42,8,0.7745,0.1187,0.6558,6.215,2.466604
69,ijpa,carried out,terms_bigram,5423,6741,72,51,1.3277,0.7566,0.5711,1.7498,2.450342
70,ijpa,even though,terms_bigram,5423,6741,69,47,1.2724,0.6972,0.5751,1.8187,2.443448
71,ijpa,und der,terms_bigram,5423,6741,37,1,0.6823,0.0148,0.6674,31.0749,2.427887
72,ijpa,journal psycho-analysis,terms_bigram,5423,6741,39,5,0.7192,0.0742,0.645,8.927,2.379276
73,ijpa,unconscious phantasies,terms_bigram,5423,6741,39,5,0.7192,0.0742,0.645,8.927,2.379276
74,ijpa,obsessional neurosis,terms_bigram,5423,6741,42,10,0.7745,0.1483,0.6261,5.0312,2.355012
75,ijpa,andr green,terms_bigram,5423,6741,40,7,0.7376,0.1038,0.6338,6.7122,2.353502
76,ijpa,psychic functioning,terms_bigram,5423,6741,48,19,0.8851,0.2819,0.6033,3.0915,2.347786
77,ijpa,human beings,terms_bigram,5423,6741,64,42,1.1802,0.6231,0.5571,1.8864,2.325575
78,ijpa,der psychoanalyse,terms_bigram,5423,6741,35,0,0.6454,0.0,0.6454,88.2526,2.3128
79,ijpa,paulo brazil,terms_bigram,5423,6741,35,0,0.6454,0.0,0.6454,88.2526,2.3128
80,ijpa,psicoan lisis,terms_bigram,5423,6741,38,5,0.7007,0.0742,0.6265,8.701,2.295391
81,ijpa,infantile sexuality,terms_bigram,5423,6741,48,20,0.8851,0.2967,0.5884,2.9407,2.290052
82,ijpa,object relationship,terms_bigram,5423,6741,57,33,1.0511,0.4895,0.5615,2.1335,2.28009
83,ijpa,part played,terms_bigram,5423,6741,37,4,0.6823,0.0593,0.6229,10.3583,2.266001
84,ijpa,jones ernest,terms_bigram,5423,6741,35,1,0.6454,0.0148,0.6306,29.4175,2.25964
85,ijpa,bear mind,terms_bigram,5423,6741,35,1,0.6454,0.0148,0.6306,29.4175,2.25964
86,ijpa,death drive,terms_bigram,5423,6741,46,18,0.8482,0.267,0.5812,3.1243,2.237768
87,ijpa,give rise,terms_bigram,5423,6741,48,21,0.8851,0.3115,0.5736,2.804,2.232319
88,ijpa,international journal,terms_bigram,5423,6741,85,72,1.5674,1.0681,0.4993,1.4659,2.224088
89,ijpa,transference situation,terms_bigram,5423,6741,39,8,0.7192,0.1187,0.6005,5.7763,2.215107
90,ijpa,ipa congress,terms_bigram,5423,6741,35,2,0.6454,0.0297,0.6157,17.6505,2.20648
91,ijpa,repetition compulsion,terms_bigram,5423,6741,49,23,0.9036,0.3412,0.5624,2.6182,2.199978
92,ijpa,accepted november,terms_bigram,5423,6741,34,1,0.627,0.0148,0.6121,28.5889,2.176316
93,ijpa,very little,terms_bigram,5423,6741,41,12,0.756,0.178,0.578,4.1267,2.160463
94,ijpa,time time,terms_bigram,5423,6741,43,15,0.7929,0.2225,0.5704,3.4884,2.158502
