rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
1,1920-1945,read before,terms_bigram,686,11478,82,23,11.9534,0.2004,11.753,58.6588,51.934499
2,1920-1945,ernest jones,terms_bigram,686,11478,67,74,9.7668,0.6447,9.1221,15.1389,38.49057
3,1920-1945,psycho-analytical society,terms_bigram,686,11478,55,49,8.0175,0.4269,7.5906,18.7342,30.554791
4,1920-1945,international psycho-analytical,terms_bigram,686,11478,55,83,8.0175,0.7231,7.2944,11.1059,29.362405
5,1920-1945,psycho-analytical congress,terms_bigram,686,11478,48,30,6.9971,0.2614,6.7357,26.5699,26.214192
6,1920-1945,point view,terms_bigram,686,11478,54,339,7.8717,2.9535,4.9182,2.6823,19.709042
7,1920-1945,pointed out,terms_bigram,686,11478,44,153,6.414,1.333,5.081,4.8439,19.341688
8,1920-1945,british psycho-analytical,terms_bigram,686,11478,32,42,4.6647,0.3659,4.2988,12.7774,15.030806
9,1920-1945,jones ernest,terms_bigram,686,11478,28,8,4.0816,0.0697,4.0119,56.0239,13.509369
10,1920-1945,edward glover,terms_bigram,686,11478,28,18,4.0816,0.1568,3.9248,25.7407,13.215999
11,1920-1945,zeitschrift psychoanalyse,terms_bigram,686,11478,26,2,3.7901,0.0174,3.7727,177.1141,12.434081
12,1920-1945,internationale zeitschrift,terms_bigram,686,11478,26,5,3.7901,0.0436,3.7465,80.5064,12.347938
13,1920-1945,freud sigmund,terms_bigram,686,11478,26,9,3.7901,0.0784,3.7117,46.609,12.233081
14,1920-1945,oedipus complex,terms_bigram,686,11478,34,207,4.9563,1.8035,3.1528,2.7781,11.209366
15,1920-1945,glover edward,terms_bigram,686,11478,24,6,3.4985,0.0523,3.4463,62.9796,11.09311
16,1920-1945,sigmund freud,terms_bigram,686,11478,31,168,4.519,1.4637,3.0553,3.1236,10.588796
17,1920-1945,before british,terms_bigram,686,11478,23,3,3.3528,0.0261,3.3266,112.1882,10.572218
18,1920-1945,melanie klein,terms_bigram,686,11478,27,156,3.9359,1.3591,2.5767,2.9361,8.586219
19,1920-1945,mental life,terms_bigram,686,11478,27,158,3.9359,1.3765,2.5593,2.899,8.528156
20,1920-1945,sexual intercourse,terms_bigram,686,11478,20,22,2.9155,0.1917,2.7238,15.2236,8.292612
21,1920-1945,journal vol,terms_bigram,686,11478,19,4,2.7697,0.0348,2.7348,72.4051,8.192819
