rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
1,ijpa,freud,terms_unigram,5423,6741,1502,848,27.6968,12.5797,15.1171,2.2011,110.584967
2,ijpa,very,terms_unigram,5423,6741,1118,554,20.6159,8.2184,12.3975,2.5073,87.033025
3,ijpa,accepted,terms_unigram,5423,6741,762,137,14.0513,2.0323,12.0189,6.893,79.772698
4,ijpa,out,terms_unigram,5423,6741,1230,804,22.6812,11.927,10.7542,1.9012,76.522101
5,ijpa,summary,terms_unigram,5423,6741,1091,628,20.118,9.3161,10.8019,2.1587,75.567501
6,ijpa,any,terms_unigram,5423,6741,961,498,17.7208,7.3876,10.3332,2.3975,70.978837
7,ijpa,psycho-analysis,terms_unigram,5423,6741,608,24,11.2115,0.356,10.8555,30.8719,69.603341
8,ijpa,time,terms_unigram,5423,6741,1298,996,23.9351,14.7753,9.1598,1.6197,65.670066
9,ijpa,part,terms_unigram,5423,6741,1100,762,20.284,11.304,8.98,1.794,62.895792
10,ijpa,freud's,terms_unigram,5423,6741,1035,681,19.0854,10.1024,8.983,1.8887,62.370196
11,ijpa,made,terms_unigram,5423,6741,950,605,17.518,8.9749,8.543,1.9512,58.584082
12,ijpa,fact,terms_unigram,5423,6741,750,343,13.83,5.0883,8.7417,2.7158,57.882458
13,ijpa,ego,terms_unigram,5423,6741,935,595,17.2414,8.8266,8.4148,1.9527,57.570797
14,ijpa,unconscious,terms_unigram,5423,6741,1146,883,21.1322,13.0989,8.0333,1.613,56.59361
15,ijpa,life,terms_unigram,5423,6741,1279,1067,23.5847,15.8285,7.7562,1.4898,55.492768
16,ijpa,himself,terms_unigram,5423,6741,642,223,11.8385,3.3081,8.5304,3.5733,55.158486
17,ijpa,psycho-analytic,terms_unigram,5423,6741,486,14,8.9618,0.2077,8.7541,41.7046,54.172961
18,ijpa,even,terms_unigram,5423,6741,895,582,16.5038,8.6337,7.87,1.9109,53.500106
19,ijpa,way,terms_unigram,5423,6741,1148,919,21.1691,13.633,7.5361,1.5526,53.104256
20,ijpa,point,terms_unigram,5423,6741,816,496,15.047,7.358,7.6891,2.0441,51.560083
21,ijpa,view,terms_unigram,5423,6741,942,671,17.3705,9.954,7.4164,1.7446,50.795733
22,ijpa,final,terms_unigram,5423,6741,524,112,9.6625,1.6615,8.0011,5.7951,50.113912
23,ijpa,must,terms_unigram,5423,6741,777,473,14.3279,7.0168,7.3111,2.041,48.667991
24,ijpa,subject,terms_unigram,5423,6741,726,405,13.3874,6.008,7.3794,2.227,48.622411
25,ijpa,psychic,terms_unigram,5423,6741,886,629,16.3378,9.331,7.0069,1.7505,47.561484
26,ijpa,after,terms_unigram,5423,6741,884,632,16.3009,9.3755,6.9255,1.7382,46.99343
27,ijpa,object,terms_unigram,5423,6741,1039,839,19.1591,12.4462,6.7129,1.5391,46.634441
28,ijpa,before,terms_unigram,5423,6741,704,401,12.9817,5.9487,7.0331,2.181,46.124278
29,ijpa,behaviour,terms_unigram,5423,6741,428,39,7.8923,0.5785,7.3138,13.4841,44.332049
