rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
1,1920-1945,psycho-analytical,terms_unigram,686,11478,207,201,30.1749,1.7512,28.4238,17.2064,151.712853
2,1920-1945,psycho-analysis,terms_unigram,686,11478,215,417,31.3411,3.633,27.7081,8.6246,148.938594
3,1920-1945,very,terms_unigram,686,11478,263,1409,38.3382,12.2757,26.0625,3.1237,145.323367
4,1920-1945,before,terms_unigram,686,11478,216,889,31.4869,7.7453,23.7416,4.0669,127.727525
5,1920-1945,any,terms_unigram,686,11478,220,1239,32.07,10.7946,21.2754,2.9724,114.84811
6,1920-1945,time,terms_unigram,686,11478,247,2047,36.0058,17.8341,18.1717,2.0198,100.188447
7,1920-1945,must,terms_unigram,686,11478,181,1069,26.3848,9.3135,17.0714,2.8356,88.839526
8,1920-1945,read,terms_unigram,686,11478,141,364,20.5539,3.1713,17.3827,6.4864,86.145415
9,1920-1945,out,terms_unigram,686,11478,218,1816,31.7784,15.8216,15.9569,2.0098,85.992631
10,1920-1945,fact,terms_unigram,686,11478,163,930,23.7609,8.1025,15.6585,2.936,79.856136
11,1920-1945,made,terms_unigram,686,11478,185,1370,26.9679,11.9359,15.0321,2.2616,78.553699
12,1920-1945,following,terms_unigram,686,11478,158,874,23.0321,7.6146,15.4175,3.0284,78.149846
13,1920-1945,freud,terms_unigram,686,11478,225,2125,32.7988,18.5137,14.2852,1.7727,77.433185
14,1920-1945,far,terms_unigram,686,11478,134,529,19.5335,4.6088,14.9247,4.2443,73.209808
15,1920-1945,little,terms_unigram,686,11478,133,658,19.3878,5.7327,13.655,3.3874,66.880243
16,1920-1945,even,terms_unigram,686,11478,165,1312,24.0525,11.4306,12.6219,2.1069,64.523077
17,1920-1945,quite,terms_unigram,686,11478,116,390,16.9096,3.3978,13.5118,4.9849,64.34562
18,1920-1945,himself,terms_unigram,686,11478,131,734,19.0962,6.3948,12.7014,2.9914,62.018262
19,1920-1945,part,terms_unigram,686,11478,181,1681,26.3848,14.6454,11.7394,1.8035,61.092078
20,1920-1945,man,terms_unigram,686,11478,127,680,18.5131,5.9244,12.5887,3.1306,61.080959
21,1920-1945,sexual,terms_unigram,686,11478,135,834,19.6793,7.2661,12.4132,2.7131,60.981896
22,1920-1945,subject,terms_unigram,686,11478,143,988,20.8455,8.6078,12.2377,2.4256,60.819132
23,1920-1945,psycho-analytic,terms_unigram,686,11478,108,392,15.7434,3.4152,12.3282,4.6189,57.835927
24,1920-1945,every,terms_unigram,686,11478,108,478,15.7434,4.1645,11.579,3.7887,54.32089
25,1920-1945,give,terms_unigram,686,11478,111,536,16.1808,4.6698,11.511,3.4726,54.314428
26,1920-1945,vienna,terms_unigram,686,11478,90,148,13.1195,1.2894,11.8301,10.1829,53.363965
27,1920-1945,shall,terms_unigram,686,11478,105,455,15.3061,3.9641,11.342,3.87,52.892806
28,1920-1945,life,terms_unigram,686,11478,197,2149,28.7172,18.7228,9.9944,1.5352,52.8532
29,1920-1945,great,terms_unigram,686,11478,117,693,17.0554,6.0376,11.0178,2.831,52.562241
30,1920-1945,course,terms_unigram,686,11478,129,926,18.8047,8.0676,10.7371,2.3355,52.262995
31,1920-1945,say,terms_unigram,686,11478,105,531,15.3061,4.6262,10.6799,3.3166,49.804974
32,1920-1945,whole,terms_unigram,686,11478,101,466,14.723,4.0599,10.6631,3.6355,49.316507
33,1920-1945,means,terms_unigram,686,11478,114,720,16.6181,6.2729,10.3452,2.6553,49.0873
34,1920-1945,always,terms_unigram,686,11478,110,691,16.035,6.0202,10.0148,2.67,47.164875
35,1920-1945,said,terms_unigram,686,11478,98,465,14.2857,4.0512,10.2345,3.5356,47.028689
36,1920-1945,now,terms_unigram,686,11478,127,1014,18.5131,8.8343,9.6788,2.0999,46.961966
37,1920-1945,again,terms_unigram,686,11478,92,364,13.4111,3.1713,10.2398,4.2403,46.412887
38,1920-1945,already,terms_unigram,686,11478,94,406,13.7026,3.5372,10.1654,3.8844,46.292082
39,1920-1945,berlin,terms_unigram,686,11478,79,117,11.516,1.0193,10.4967,11.3052,45.996791
40,1920-1945,know,terms_unigram,686,11478,107,664,15.5977,5.785,9.8127,2.7031,45.944291
41,1920-1945,problem,terms_unigram,686,11478,112,765,16.3265,6.6649,9.6616,2.4556,45.67416
42,1920-1945,still,terms_unigram,686,11478,107,676,15.5977,5.8895,9.7081,2.6551,45.454785
43,1920-1945,significance,terms_unigram,686,11478,97,494,14.1399,4.3039,9.8361,3.2945,45.097997
44,1920-1945,after,terms_unigram,686,11478,144,1372,20.9913,11.9533,9.038,1.7591,44.979479
45,1920-1945,present,terms_unigram,686,11478,152,1526,22.1574,13.295,8.8624,1.6692,44.58193
46,1920-1945,since,terms_unigram,686,11478,119,935,17.3469,8.146,9.2009,2.1344,44.04933
47,1920-1945,form,terms_unigram,686,11478,130,1139,18.9504,9.9233,9.0271,1.9136,44.008922
48,1920-1945,find,terms_unigram,686,11478,105,679,15.3061,5.9157,9.3905,2.5942,43.791828
