term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
freud,global_core_terms_after_audit,,,,5390,2350,19.3193,,,pending,,,freud,freud,candidate_concept,protected_theoretical_name,True,discriminative_candidate_terms,,,freud,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
object,global_core_terms_after_audit,,,,4293,1878,15.439,,,pending,,,object,object,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,object,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
ego,global_core_terms_after_audit,,,,4140,1530,12.5781,,,pending,,,ego,ego,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,ego,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
transference,global_core_terms_after_audit,,,,3795,1552,12.759,,,pending,,,transference,transference,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,transference,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
unconscious,global_core_terms_after_audit,,,,3727,2029,16.6804,,,pending,,,unconscious,unconscious,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,unconscious,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
freud's,global_core_terms_after_audit,,,,3486,1716,14.1072,,,pending,,,freud's,freud's,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,freud's,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
relationship,global_core_terms_after_audit,,,,3454,2070,17.0174,,,pending,,,relationship,relationship,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,relationship,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
child,global_core_terms_after_audit,,,,3080,1376,11.3121,,,pending,,,child,child,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,child,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
training,global_core_terms_after_audit,,,,3007,1488,12.2328,,,pending,,,training,training,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,training,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
psychology,global_core_terms_after_audit,,,,2919,1616,13.2851,,,pending,,,psychology,psychology,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,psychology,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
psychic,global_core_terms_after_audit,,,,2910,1515,12.4548,,,pending,,,psychic,psychic,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,psychic,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
