rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
1,ijpa,final version,terms_bigram,5423,6741,369,2,6.8044,0.0297,6.7747,183.7145,40.062106,final version,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,final version,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
2,ijpa,version accepted,terms_bigram,5423,6741,363,0,6.6937,0.0,6.6937,903.6567,39.473849,version accepted,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,version accepted,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
3,ijpa,accepted publication,terms_bigram,5423,6741,225,24,4.149,0.356,3.793,11.4406,20.559898,accepted publication,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,accepted publication,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
5,ijpa,buenos aires,terms_bigram,5423,6741,191,13,3.522,0.1928,3.3292,17.6321,17.50318,buenos aires,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,buenos aires,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
6,ijpa,pointed out,terms_bigram,5423,6741,159,38,2.932,0.5637,2.3682,5.1495,12.019239,pointed out,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,pointed out,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
7,ijpa,melanie klein,terms_bigram,5423,6741,152,31,2.8029,0.4599,2.343,6.0177,11.786337,melanie klein,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,melanie klein,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
8,ijpa,international psycho-analytical,terms_bigram,5423,6741,133,5,2.4525,0.0742,2.3783,30.1709,11.648748,international psycho-analytical,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,international psycho-analytical,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
9,ijpa,ernest jones,terms_bigram,5423,6741,131,10,2.4156,0.1483,2.2673,15.567,11.070734,ernest jones,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,ernest jones,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
10,ijpa,oedipus complex,terms_bigram,5423,6741,166,75,3.061,1.1126,1.9484,2.7412,9.972113,oedipus complex,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,oedipus complex,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
12,ijpa,sigmund freud,terms_bigram,5423,6741,130,69,2.3972,1.0236,1.3736,2.334,6.69662,sigmund freud,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,sigmund freud,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
13,ijpa,mental life,terms_bigram,5423,6741,124,61,2.2866,0.9049,1.3816,2.5163,6.671025,mental life,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,mental life,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
14,ijpa,anna freud,terms_bigram,5423,6741,127,66,2.3419,0.9791,1.3628,2.3832,6.612318,anna freud,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,anna freud,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
15,ijpa,defence against,terms_bigram,5423,6741,86,9,1.5858,0.1335,1.4523,11.3178,6.485958,defence against,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,defence against,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
16,ijpa,put forward,terms_bigram,5423,6741,93,21,1.7149,0.3115,1.4034,5.4056,6.376021,put forward,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,put forward,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
17,ijpa,psycho-analytical congress,terms_bigram,5423,6741,78,0,1.4383,0.0,1.4383,195.1501,6.284657,psycho-analytical congress,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,psycho-analytical congress,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
