rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
1,ijpa,freud,terms_unigram,5423,6741,1502,848,27.6968,12.5797,15.1171,2.2011,110.584967,freud,candidate_concept,protected_theoretical_name,True,key_terms_by_journal,,,freud,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
3,ijpa,accepted,terms_unigram,5423,6741,762,137,14.0513,2.0323,12.0189,6.893,79.772698,accepted,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,accepted,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
6,ijpa,any,terms_unigram,5423,6741,961,498,17.7208,7.3876,10.3332,2.3975,70.978837,any,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,any,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
7,ijpa,psycho-analysis,terms_unigram,5423,6741,608,24,11.2115,0.356,10.8555,30.8719,69.603341,psycho-analysis,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,psycho-analysis,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
10,ijpa,freud's,terms_unigram,5423,6741,1035,681,19.0854,10.1024,8.983,1.8887,62.370196,freud's,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,freud's,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
12,ijpa,fact,terms_unigram,5423,6741,750,343,13.83,5.0883,8.7417,2.7158,57.882458,fact,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,fact,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
13,ijpa,ego,terms_unigram,5423,6741,935,595,17.2414,8.8266,8.4148,1.9527,57.570797,ego,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,ego,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
14,ijpa,unconscious,terms_unigram,5423,6741,1146,883,21.1322,13.0989,8.0333,1.613,56.59361,unconscious,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,unconscious,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
17,ijpa,psycho-analytic,terms_unigram,5423,6741,486,14,8.9618,0.2077,8.7541,41.7046,54.172961,psycho-analytic,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,psycho-analytic,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
22,ijpa,final,terms_unigram,5423,6741,524,112,9.6625,1.6615,8.0011,5.7951,50.113912,final,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,final,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
25,ijpa,psychic,terms_unigram,5423,6741,886,629,16.3378,9.331,7.0069,1.7505,47.561484,psychic,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,psychic,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
27,ijpa,object,terms_unigram,5423,6741,1039,839,19.1591,12.4462,6.7129,1.5391,46.634441,object,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,object,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
29,ijpa,behaviour,terms_unigram,5423,6741,428,39,7.8923,0.5785,7.3138,13.4841,44.332049,behaviour,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,behaviour,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
32,ijpa,situation,terms_unigram,5423,6741,707,444,13.0371,6.5866,6.4505,1.9784,42.331075,situation,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,situation,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
34,ijpa,psycho-analytical,terms_unigram,5423,6741,393,15,7.2469,0.2225,7.0244,31.556,41.980234,psycho-analytical,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,psycho-analytical,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
36,ijpa,shall,terms_unigram,5423,6741,452,108,8.3349,1.6021,6.7327,5.1839,41.176674,shall,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,shall,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
37,ijpa,man,terms_unigram,5423,6741,549,258,10.1235,3.8273,6.2962,2.6423,39.72865,man,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,man,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
40,ijpa,mother,terms_unigram,5423,6741,641,388,11.82,5.7558,6.0642,2.0525,39.202577,mother,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,mother,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
