rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
1,1920-1945,psycho-analytical,terms_unigram,686,11478,207,201,30.1749,1.7512,28.4238,17.2064,151.712853,psycho-analytical,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,psycho-analytical,final_keep,kept_after_final_cleanup,True,key_terms_by_period
2,1920-1945,psycho-analysis,terms_unigram,686,11478,215,417,31.3411,3.633,27.7081,8.6246,148.938594,psycho-analysis,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,psycho-analysis,final_keep,kept_after_final_cleanup,True,key_terms_by_period
5,1920-1945,any,terms_unigram,686,11478,220,1239,32.07,10.7946,21.2754,2.9724,114.84811,any,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,any,final_keep,kept_after_final_cleanup,True,key_terms_by_period
8,1920-1945,read,terms_unigram,686,11478,141,364,20.5539,3.1713,17.3827,6.4864,86.145415,read,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,read,final_keep,kept_after_final_cleanup,True,key_terms_by_period
10,1920-1945,fact,terms_unigram,686,11478,163,930,23.7609,8.1025,15.6585,2.936,79.856136,fact,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,fact,final_keep,kept_after_final_cleanup,True,key_terms_by_period
13,1920-1945,freud,terms_unigram,686,11478,225,2125,32.7988,18.5137,14.2852,1.7727,77.433185,freud,candidate_concept,protected_theoretical_name,True,key_terms_by_period,,,freud,final_keep,kept_after_final_cleanup,True,key_terms_by_period
14,1920-1945,far,terms_unigram,686,11478,134,529,19.5335,4.6088,14.9247,4.2443,73.209808,far,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,far,final_keep,kept_after_final_cleanup,True,key_terms_by_period
15,1920-1945,little,terms_unigram,686,11478,133,658,19.3878,5.7327,13.655,3.3874,66.880243,little,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,little,final_keep,kept_after_final_cleanup,True,key_terms_by_period
17,1920-1945,quite,terms_unigram,686,11478,116,390,16.9096,3.3978,13.5118,4.9849,64.34562,quite,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,quite,final_keep,kept_after_final_cleanup,True,key_terms_by_period
20,1920-1945,man,terms_unigram,686,11478,127,680,18.5131,5.9244,12.5887,3.1306,61.080959,man,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,man,final_keep,kept_after_final_cleanup,True,key_terms_by_period
21,1920-1945,sexual,terms_unigram,686,11478,135,834,19.6793,7.2661,12.4132,2.7131,60.981896,sexual,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,sexual,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
23,1920-1945,psycho-analytic,terms_unigram,686,11478,108,392,15.7434,3.4152,12.3282,4.6189,57.835927,psycho-analytic,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,psycho-analytic,final_keep,kept_after_final_cleanup,True,key_terms_by_period
24,1920-1945,every,terms_unigram,686,11478,108,478,15.7434,4.1645,11.579,3.7887,54.32089,every,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,every,final_keep,kept_after_final_cleanup,True,key_terms_by_period
25,1920-1945,give,terms_unigram,686,11478,111,536,16.1808,4.6698,11.511,3.4726,54.314428,give,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,give,final_keep,kept_after_final_cleanup,True,key_terms_by_period
26,1920-1945,vienna,terms_unigram,686,11478,90,148,13.1195,1.2894,11.8301,10.1829,53.363965,vienna,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,vienna,final_keep,kept_after_final_cleanup,True,key_terms_by_period
27,1920-1945,shall,terms_unigram,686,11478,105,455,15.3061,3.9641,11.342,3.87,52.892806,shall,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,shall,final_keep,kept_after_final_cleanup,True,key_terms_by_period
29,1920-1945,great,terms_unigram,686,11478,117,693,17.0554,6.0376,11.0178,2.831,52.562241,great,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,great,final_keep,kept_after_final_cleanup,True,key_terms_by_period
30,1920-1945,course,terms_unigram,686,11478,129,926,18.8047,8.0676,10.7371,2.3355,52.262995,course,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,course,final_keep,kept_after_final_cleanup,True,key_terms_by_period
31,1920-1945,say,terms_unigram,686,11478,105,531,15.3061,4.6262,10.6799,3.3166,49.804974,say,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,say,final_keep,kept_after_final_cleanup,True,key_terms_by_period
32,1920-1945,whole,terms_unigram,686,11478,101,466,14.723,4.0599,10.6631,3.6355,49.316507,whole,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,whole,final_keep,kept_after_final_cleanup,True,key_terms_by_period
