term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,manual_override,manual_override_note
abbot bronstein,final_keep,kept_after_final_cleanup,True,,
able,final_keep,kept_after_final_cleanup,True,,
abpp,final_keep,kept_after_final_cleanup,True,,
abraham karl,final_keep,kept_after_final_cleanup,True,,
abraham lincoln,final_keep,kept_after_final_cleanup,True,,
abuse,final_keep,kept_after_final_cleanup,True,,
accepted,final_keep,kept_after_final_cleanup,True,,
accepted april,final_keep,kept_after_final_cleanup,True,,
accepted december,final_keep,kept_after_final_cleanup,True,,
accepted february,final_keep,kept_after_final_cleanup,True,,
accepted january,final_keep,kept_after_final_cleanup,True,,
accepted july,final_keep,kept_after_final_cleanup,True,,
accepted june,final_keep,kept_after_final_cleanup,True,,
accepted march,final_keep,kept_after_final_cleanup,True,,
accepted november,final_keep,kept_after_final_cleanup,True,,
accepted october,final_keep,kept_after_final_cleanup,True,,
accepted publication,final_keep,kept_after_final_cleanup,True,,
accepted september,final_keep,kept_after_final_cleanup,True,,
access,final_keep,kept_after_final_cleanup,True,,
according,final_keep,kept_after_final_cleanup,True,,
account,final_keep,kept_after_final_cleanup,True,,
acting out,final_keep,kept_after_final_cleanup,True,,
action,final_keep,kept_after_final_cleanup,True,,
adaptive,final_keep,kept_after_final_cleanup,True,,
address,final_keep,kept_after_final_cleanup,True,,
address american,final_keep,kept_after_final_cleanup,True,,
addressed,final_keep,kept_after_final_cleanup,True,,
addresses,final_keep,kept_after_final_cleanup,True,,
adjunct,final_keep,kept_after_final_cleanup,True,,
adrienne harris,final_keep,kept_after_final_cleanup,True,,
adult,final_keep,kept_after_final_cleanup,True,,
adult attachment,final_keep,kept_after_final_cleanup,True,,
advisory board,final_keep,kept_after_final_cleanup,True,,
affect,final_keep,kept_after_final_cleanup,True,,
affect regulation,final_keep,kept_after_final_cleanup,True,,
affective,final_keep,kept_after_final_cleanup,True,,
affiliated nyu,final_keep,kept_after_final_cleanup,True,,
african american,final_keep,kept_after_final_cleanup,True,,
against,final_keep,kept_after_final_cleanup,True,,
age,final_keep,kept_after_final_cleanup,True,,
aggression,final_keep,protected_psychoanalytic_term,True,,
aggressive,final_keep,protected_psychoanalytic_term,True,,
aggressive drives,final_keep,kept_after_final_cleanup,True,,
aggressive impulses,final_keep,kept_after_final_cleanup,True,,
aim,final_keep,kept_after_final_cleanup,True,,
aim study,final_keep,kept_after_final_cleanup,True,,
aimed,final_keep,kept_after_final_cleanup,True,,
ainsi que,final_keep,kept_after_final_cleanup,True,,
aires,final_keep,kept_after_final_cleanup,True,,
aires argentina,final_keep,kept_after_final_cleanup,True,,
alan sugarman,final_keep,kept_after_final_cleanup,True,,
alanson,final_keep,kept_after_final_cleanup,True,,
alanson white,final_keep,kept_after_final_cleanup,True,,
alerts,final_keep,kept_after_final_cleanup,True,,
alerts notified,final_keep,kept_after_final_cleanup,True,,
alessandra lemma,final_keep,kept_after_final_cleanup,True,,
alexis brook,final_keep,kept_after_final_cleanup,True,,
alla,final_keep,kept_after_final_cleanup,True,,
alliance,final_keep,kept_after_final_cleanup,True,,
alliant international,final_keep,kept_after_final_cleanup,True,,
allows,final_keep,kept_after_final_cleanup,True,,
almost,final_keep,kept_after_final_cleanup,True,,
already,final_keep,kept_after_final_cleanup,True,,
als,final_keep,kept_after_final_cleanup,True,,
als auch,final_keep,kept_after_final_cleanup,True,,
american,final_keep,kept_after_final_cleanup,True,,
american psychological,final_keep,kept_after_final_cleanup,True,,
amy cooney,final_keep,kept_after_final_cleanup,True,,
amy schwartz,final_keep,kept_after_final_cleanup,True,,
anal erotism,final_keep,kept_after_final_cleanup,True,,
analysand's,final_keep,kept_after_final_cleanup,True,,
analyst's,final_keep,kept_after_final_cleanup,True,,
analyst's interpretations,final_keep,kept_after_final_cleanup,True,,
analyst's mind,final_keep,kept_after_final_cleanup,True,,
analyst's subjectivity,final_keep,kept_after_final_cleanup,True,,
analytical,final_keep,kept_after_final_cleanup,True,,
analytical situation,final_keep,kept_after_final_cleanup,True,,
andr green,final_keep,kept_after_final_cleanup,True,,
anger,final_keep,kept_after_final_cleanup,True,,
ann,final_keep,kept_after_final_cleanup,True,,
ann arbor,final_keep,kept_after_final_cleanup,True,,
anna freud,final_keep,kept_after_final_cleanup,True,,
anne erreich,final_keep,kept_after_final_cleanup,True,,
annual,final_keep,kept_after_final_cleanup,True,,
annual essay,final_keep,kept_after_final_cleanup,True,,
annual meeting,final_keep,kept_after_final_cleanup,True,,
anorexia nervosa,final_keep,kept_after_final_cleanup,True,,
anthony bass,final_keep,kept_after_final_cleanup,True,,
antony garelick,final_keep,kept_after_final_cleanup,True,,
anxieties,final_keep,kept_after_final_cleanup,True,,
anxiety,final_keep,protected_psychoanalytic_term,True,,
any,final_keep,kept_after_final_cleanup,True,,
any rate,final_keep,kept_after_final_cleanup,True,,
anyone acp,final_keep,kept_after_final_cleanup,True,,
aol,final_keep,kept_after_final_cleanup,True,,
aol richard,final_keep,kept_after_final_cleanup,True,,
apa,final_keep,kept_after_final_cleanup,True,,
apa journal,final_keep,kept_after_final_cleanup,True,,
apa notified,final_keep,kept_after_final_cleanup,True,,
apa portal,final_keep,kept_after_final_cleanup,True,,
app journal,final_keep,kept_after_final_cleanup,True,,
app offers,final_keep,kept_after_final_cleanup,True,,
apparatus,final_keep,kept_after_final_cleanup,True,,
appear,final_keep,kept_after_final_cleanup,True,,
appears,final_keep,kept_after_final_cleanup,True,,
apperception test,final_keep,kept_after_final_cleanup,True,,
application,final_keep,kept_after_final_cleanup,True,,
application thinking,final_keep,kept_after_final_cleanup,True,,
applied,final_keep,kept_after_final_cleanup,True,,
approved stage,final_keep,kept_after_final_cleanup,True,,
apr s-coup,final_keep,kept_after_final_cleanup,True,,
april,final_keep,kept_after_final_cleanup,True,,
apsaa,final_keep,kept_after_final_cleanup,True,,
apuli rome,final_keep,kept_after_final_cleanup,True,,
arbor,final_keep,kept_after_final_cleanup,True,,
