term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,manual_override,manual_override_note
across,final_exclude,final_stop_term,False,,
after,final_exclude,final_stop_term,False,,
always,final_exclude,final_stop_term,False,,
any time,final_exclude,final_stop_pattern,False,,
around,final_exclude,final_stop_term,False,,
basic,final_exclude,final_stop_term,False,,
before american,final_exclude,final_stop_pattern,False,,
before british,final_exclude,final_stop_pattern,False,,
beyond,final_exclude,final_stop_term,False,,
called,final_exclude,final_stop_term,False,,
common,final_exclude,final_stop_term,False,,
competition following,final_exclude,final_stop_pattern,False,,
complex,final_exclude,final_stop_term,False,,
context,final_exclude,final_stop_term,False,,
context existing,final_exclude,final_stop_pattern,False,,
currently,final_exclude,final_stop_term,False,,
defined,final_exclude,final_stop_term,False,,
developed,final_exclude,final_stop_term,False,,
dialogues issue,final_exclude,final_stop_pattern,False,,
earlier,final_exclude,final_stop_term,False,,
elements,final_exclude,final_stop_term,False,,
etc,final_exclude,final_stop_term,False,,
exploring,final_exclude,final_stop_term,False,,
factors,final_exclude,final_stop_term,False,,
field,final_exclude,final_stop_term,False,,
following,final_exclude,final_stop_term,False,,
form,final_exclude,final_stop_term,False,,
forms,final_exclude,final_stop_term,False,,
future,final_exclude,final_stop_term,False,,
generally,final_exclude,final_stop_term,False,,
group,final_exclude,final_stop_term,False,,
groups,final_exclude,final_stop_term,False,,
himself,final_exclude,final_stop_term,False,,
issue,final_exclude,final_stop_term,False,,
issue dialogues,final_exclude,final_stop_pattern,False,,
issue favorite,final_exclude,final_stop_pattern,False,,
issue japa,final_exclude,final_stop_pattern,False,,
issue online,final_exclude,final_stop_pattern,False,,
issues,final_exclude,final_stop_term,False,,
issues interest,final_exclude,final_stop_pattern,False,,
kind,final_exclude,final_stop_term,False,,
known,final_exclude,final_stop_term,False,,
last,final_exclude,final_stop_term,False,,
latest issue,final_exclude,final_stop_pattern,False,,
level,final_exclude,final_stop_term,False,,
levels,final_exclude,final_stop_term,False,,
matter,final_exclude,final_stop_term,False,,
member,final_exclude,final_stop_term,False,,
members,final_exclude,final_stop_term,False,,
multiple,final_exclude,final_stop_term,False,,
myself,final_exclude,final_stop_term,False,,
never,final_exclude,final_stop_term,False,,
next,final_exclude,final_stop_term,False,,
next issue,final_exclude,all_tokens_final_stop_terms,False,,
noted,final_exclude,final_stop_term,False,,
notified issues,final_exclude,final_stop_pattern,False,,
now,final_exclude,final_stop_term,False,,
number,final_exclude,final_stop_term,False,,
often,final_exclude,final_stop_term,False,,
ourselves,final_exclude,final_stop_term,False,,
past,final_exclude,final_stop_term,False,,
past present,final_exclude,all_tokens_final_stop_terms,False,,
per,final_exclude,final_stop_term,False,,
primary,final_exclude,final_stop_term,False,,
primary secondary,final_exclude,all_tokens_final_stop_terms,False,,
read before,final_exclude,final_stop_pattern,False,,
relation,final_exclude,final_stop_term,False,,
relations,final_exclude,final_stop_term,False,,
shows,final_exclude,final_stop_term,False,,
since,final_exclude,final_stop_term,False,,
submitted before,final_exclude,final_stop_pattern,False,,
themes,final_exclude,final_stop_term,False,,
type,final_exclude,final_stop_term,False,,
types,final_exclude,final_stop_term,False,,
understood,final_exclude,final_stop_term,False,,
variety,final_exclude,final_stop_term,False,,
via,final_exclude,final_stop_term,False,,
whom,final_exclude,final_stop_term,False,,
