semantic_family,semantic_family_label,n_articles_refined,pct_articles_refined,n_articles_any_marker,pct_articles_any_marker,n_weak_only_rows,n_name_only_rows
drive_conflict_defense,Drive / conflict / defense,4268,35.0871,4268,35.0871,0,0
dream_fantasy_unconscious,Dream / fantasy / unconscious,2309,18.9822,3844,31.6014,1535,0
ego_self_narcissism,Ego / self / narcissism,2353,19.344,4910,40.365,2557,0
object_relations,Object relations,2358,19.3851,3462,28.461,1104,0
kleinian_bionian,Kleinian / Bionian,693,5.6971,693,5.6971,0,0
winnicottian_environment_holding,Winnicottian / holding,308,2.5321,2050,16.853,1742,0
attachment_development_infant,Attachment / development / infant,2445,20.1003,4630,38.0631,2185,0
transference_countertransference,Transference / countertransference,2298,18.8918,2298,18.8918,0,0
technique_interpretation_process,Technique / interpretation / process,2427,19.9523,3138,25.7974,711,0
relational_intersubjective_field,Relational / intersubjective / field,2735,22.4844,4409,36.2463,1674,0
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,2031,16.6968,4036,33.1799,2005,0
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,793,6.5192,1196,9.8323,403,0
body_sexuality_gender,Body / sexuality / gender,1893,15.5623,2503,20.5771,610,0
language_narrative_symbolization,Language / narrative / symbolization,1895,15.5788,2838,23.3311,943,0
culture_race_social_ethics,Culture / race / social / ethics,1095,9.002,2667,21.9254,1572,0
empirical_research_measurement,Empirical research / measurement,1333,10.9586,1803,14.8224,470,0
history_theory_schools,History / theory / schools,606,4.9819,3436,28.2473,0,2830
