impact_rank,semantic_family,semantic_family_label,pct_articles_initial,pct_articles_refined,absolute_pct_drop,relative_retention_pct,n_articles_removed_by_refinement,marker_strength_impact_flag
1,history_theory_schools,History / theory / schools,28.2473,4.9819,23.2654,17.64,2830,high_marker_strength_impact
2,ego_self_narcissism,Ego / self / narcissism,40.365,19.344,21.021,47.92,2557,high_marker_strength_impact
3,attachment_development_infant,Attachment / development / infant,38.0631,20.1003,17.9628,52.81,2185,medium_marker_strength_impact
4,trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,33.1799,16.6968,16.4831,50.32,2005,medium_marker_strength_impact
5,winnicottian_environment_holding,Winnicottian / holding,16.9023,2.5321,14.3702,14.98,1748,high_marker_strength_impact
6,relational_intersubjective_field,Relational / intersubjective / field,36.2463,22.4844,13.7619,62.03,1674,medium_marker_strength_impact
7,culture_race_social_ethics,Culture / race / social / ethics,21.9254,9.002,12.9234,41.06,1572,high_marker_strength_impact
8,dream_fantasy_unconscious,Dream / fantasy / unconscious,31.6014,18.9822,12.6192,60.07,1535,medium_marker_strength_impact
9,object_relations,Object relations,28.461,19.3851,9.0759,68.11,1104,medium_marker_strength_impact
10,language_narrative_symbolization,Language / narrative / symbolization,23.3311,15.5788,7.7523,66.77,943,medium_marker_strength_impact
11,technique_interpretation_process,Technique / interpretation / process,25.7974,19.9523,5.8451,77.34,711,low_marker_strength_impact
12,body_sexuality_gender,Body / sexuality / gender,20.5771,15.5623,5.0148,75.63,610,low_marker_strength_impact
13,empirical_research_measurement,Empirical research / measurement,14.8224,10.9586,3.8638,73.93,470,low_marker_strength_impact
14,psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,9.8323,6.5192,3.3131,66.3,403,medium_marker_strength_impact
15,drive_conflict_defense,Drive / conflict / defense,35.0871,35.0871,0.0,100.0,0,minimal_marker_strength_impact
16,kleinian_bionian,Kleinian / Bionian,5.6971,5.6971,0.0,100.0,0,minimal_marker_strength_impact
17,transference_countertransference,Transference / countertransference,18.8918,18.8918,0.0,100.0,0,minimal_marker_strength_impact
