semantic_family,semantic_family_label,family_group,rank_within_family,term_norm,n_articles,pct_all_articles,n_term_hit_rows,marker_strength,marker_strength_reason,semantic_confidence,mapping_rule,review_flag
attachment_development_infant,Attachment / development / infant,Developmental / attachment,1,early,1828,15.028,1828,weak,flagged_by_3c_QA_refinement_queue,medium,development_terms,optional_review_medium_confidence
attachment_development_infant,Attachment / development / infant,Developmental / attachment,2,child,1603,13.1782,1603,weak,flagged_by_3c_QA_refinement_queue,medium,child_adolescent_terms,optional_review_medium_confidence
attachment_development_infant,Attachment / development / infant,Developmental / attachment,3,children,968,7.9579,968,weak,flagged_by_3c_QA_refinement_queue,medium,child_adolescent_terms,optional_review_medium_confidence
attachment_development_infant,Attachment / development / infant,Developmental / attachment,4,childhood,773,6.3548,773,medium,medium_confidence_initial_mapping,medium,child_adolescent_terms,optional_review_medium_confidence
attachment_development_infant,Attachment / development / infant,Developmental / attachment,5,loss,677,5.5656,677,weak,flagged_by_3c_QA_refinement_queue,high,attachment_terms,
attachment_development_infant,Attachment / development / infant,Developmental / attachment,6,family,559,4.5955,559,weak,flagged_by_3c_QA_refinement_queue,medium,family_maternal_overlap,optional_review_medium_confidence
attachment_development_infant,Attachment / development / infant,Developmental / attachment,7,attachment,477,3.9214,477,strong,high_confidence_initial_mapping,high,attachment_terms,
attachment_development_infant,Attachment / development / infant,Developmental / attachment,8,infancy,224,1.8415,224,strong,high_confidence_initial_mapping,high,infant_terms,
attachment_development_infant,Attachment / development / infant,Developmental / attachment,9,early childhood,142,1.1674,142,medium,medium_confidence_initial_mapping,medium,child_adolescent_terms,optional_review_medium_confidence
attachment_development_infant,Attachment / development / infant,Developmental / attachment,10,infants,139,1.1427,139,strong,high_confidence_initial_mapping,high,infant_terms,
attachment_development_infant,Attachment / development / infant,Developmental / attachment,11,very early,89,0.7317,89,medium,medium_confidence_initial_mapping,medium,development_terms,optional_review_medium_confidence
attachment_development_infant,Attachment / development / infant,Developmental / attachment,12,separation-individuation,84,0.6906,84,strong,high_confidence_initial_mapping,high,attachment_terms,
attachment_development_infant,Attachment / development / infant,Developmental / attachment,13,mother-infant,83,0.6823,83,strong,high_confidence_initial_mapping,high,infant_terms,manual_review_multiple_family_matches
attachment_development_infant,Attachment / development / infant,Developmental / attachment,14,early stages,59,0.485,59,medium,medium_confidence_initial_mapping,medium,development_terms,optional_review_medium_confidence
attachment_development_infant,Attachment / development / infant,Developmental / attachment,15,adult attachment,53,0.4357,53,strong,high_confidence_initial_mapping,high,attachment_terms,
attachment_development_infant,Attachment / development / infant,Developmental / attachment,16,separation anxiety,49,0.4028,49,strong,high_confidence_initial_mapping,high,attachment_terms,manual_review_multiple_family_matches
attachment_development_infant,Attachment / development / infant,Developmental / attachment,17,attachment interview,32,0.2631,32,strong,high_confidence_initial_mapping,high,attachment_terms,
attachment_development_infant,Attachment / development / infant,Developmental / attachment,18,child psychiatry,30,0.2466,30,medium,medium_confidence_initial_mapping,medium,child_adolescent_terms,optional_review_medium_confidence
attachment_development_infant,Attachment / development / infant,Developmental / attachment,19,attachment style,25,0.2055,25,strong,high_confidence_initial_mapping,high,attachment_terms,
attachment_development_infant,Attachment / development / infant,Developmental / attachment,20,early psychic,23,0.1891,23,medium,medium_confidence_initial_mapping,medium,development_terms,optional_review_medium_confidence
attachment_development_infant,Attachment / development / infant,Developmental / attachment,21,family romance,22,0.1809,22,medium,medium_confidence_initial_mapping,medium,family_maternal_overlap,optional_review_medium_confidence
attachment_development_infant,Attachment / development / infant,Developmental / attachment,22,attachment styles,19,0.1562,19,strong,high_confidence_initial_mapping,high,attachment_terms,
attachment_development_infant,Attachment / development / infant,Developmental / attachment,23,parent-infant relationship-contributions,14,0.1151,14,strong,high_confidence_initial_mapping,high,infant_terms,manual_review_multiple_family_matches
attachment_development_infant,Attachment / development / infant,Developmental / attachment,24,parent-infant relationshipcontributions,14,0.1151,14,strong,high_confidence_initial_mapping,high,infant_terms,
