journal_key,period,n_ART,n_records,n_with_title,n_with_abstract,pct_with_abstract_all_records,pct_ART_of_records,first_year,last_year,note
ijpa,1920-1945,686,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
ijpa,1946-1969,1205,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
ijpa,1970-1989,915,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
ijpa,1990-2009,1396,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
ijpa,2010-2025,1221,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
japa,1946-1969,538,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
japa,1970-1989,681,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
japa,1990-2009,975,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
japa,2010-2025,730,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
psychoanalytic_dialogues,1990-2009,535,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
psychoanalytic_dialogues,2010-2025,1043,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
psychoanalytic_psychology,1970-1989,123,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
psychoanalytic_psychology,1990-2009,622,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
psychoanalytic_psychology,2010-2025,624,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
psychoanalytic_psychotherapy,1970-1989,39,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
psychoanalytic_psychotherapy,1990-2009,399,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
psychoanalytic_psychotherapy,2010-2025,432,,,,,,,,Fallback from semantic by-journal-period table; no abstract-availability fields available.
