scenario,period,semantic_family,n_hits,n_articles,pct
full_corpus_all_periods,1920-1945,attachment_development_infant,171,686,24.9271
full_corpus_all_periods,1920-1945,body_sexuality_gender,182,686,26.5306
full_corpus_all_periods,1920-1945,culture_race_social_ethics,32,686,4.6647
full_corpus_all_periods,1920-1945,dream_fantasy_unconscious,159,686,23.1778
full_corpus_all_periods,1920-1945,drive_conflict_defense,298,686,43.4402
full_corpus_all_periods,1920-1945,ego_self_narcissism,76,686,11.0787
full_corpus_all_periods,1920-1945,empirical_research_measurement,52,686,7.5802
full_corpus_all_periods,1920-1945,history_theory_schools,73,686,10.6414
full_corpus_all_periods,1920-1945,kleinian_bionian,30,686,4.3732
full_corpus_all_periods,1920-1945,language_narrative_symbolization,110,686,16.035
full_corpus_all_periods,1920-1945,object_relations,99,686,14.4315
full_corpus_all_periods,1920-1945,psychosis_borderline_primitive_states,27,686,3.9359
full_corpus_all_periods,1920-1945,relational_intersubjective_field,39,686,5.6851
full_corpus_all_periods,1920-1945,technique_interpretation_process,124,686,18.0758
full_corpus_all_periods,1920-1945,transference_countertransference,40,686,5.8309
full_corpus_all_periods,1920-1945,trauma_dissociation_affect_regulation,59,686,8.6006
full_corpus_all_periods,1920-1945,winnicottian_environment_holding,24,686,3.4985
full_corpus_all_periods,1946-1969,attachment_development_infant,465,1743,26.6781
full_corpus_all_periods,1946-1969,body_sexuality_gender,289,1743,16.5806
full_corpus_all_periods,1946-1969,culture_race_social_ethics,77,1743,4.4177
full_corpus_all_periods,1946-1969,dream_fantasy_unconscious,482,1743,27.6535
full_corpus_all_periods,1946-1969,drive_conflict_defense,883,1743,50.6598
full_corpus_all_periods,1946-1969,ego_self_narcissism,503,1743,28.8583
full_corpus_all_periods,1946-1969,empirical_research_measurement,158,1743,9.0648
full_corpus_all_periods,1946-1969,history_theory_schools,187,1743,10.7286
full_corpus_all_periods,1946-1969,kleinian_bionian,74,1743,4.2456
full_corpus_all_periods,1946-1969,language_narrative_symbolization,311,1743,17.8428
full_corpus_all_periods,1946-1969,object_relations,456,1743,26.1618
full_corpus_all_periods,1946-1969,psychosis_borderline_primitive_states,163,1743,9.3517
full_corpus_all_periods,1946-1969,relational_intersubjective_field,249,1743,14.2857
full_corpus_all_periods,1946-1969,technique_interpretation_process,426,1743,24.4406
full_corpus_all_periods,1946-1969,transference_countertransference,314,1743,18.0149
full_corpus_all_periods,1946-1969,trauma_dissociation_affect_regulation,253,1743,14.5152
full_corpus_all_periods,1946-1969,winnicottian_environment_holding,84,1743,4.8193
full_corpus_all_periods,1970-1989,attachment_development_infant,418,1758,23.777
