scenario,period,attachment_development_infant,body_sexuality_gender,culture_race_social_ethics,dream_fantasy_unconscious,drive_conflict_defense,ego_self_narcissism,empirical_research_measurement,history_theory_schools,kleinian_bionian,language_narrative_symbolization,object_relations,psychosis_borderline_primitive_states,relational_intersubjective_field,technique_interpretation_process,transference_countertransference,trauma_dissociation_affect_regulation,winnicottian_environment_holding,n_articles,classical_drive_conflict_index,classical_metapsychology_index,relational_shift_index,contemporary_contextualization_index,narrative_reframing_index,research_psychology_index,relational_to_drive_conflict_ratio,contemporary_to_classical_ratio
excluding_psychoanalytic_dialogues_all_periods,1920-1945,24.9271,26.5306,4.6647,23.1778,43.4402,11.0787,7.5802,10.6414,4.3732,16.035,14.4315,3.9359,5.6851,18.0758,5.8309,8.6006,3.4985,686,43.4402,90.5247,-37.7551,18.9504,-17.0554,7.5802,0.1309,0.2093
excluding_psychoanalytic_dialogues_all_periods,1946-1969,26.6781,16.5806,4.4177,27.6535,50.6598,28.8583,9.0648,10.7286,4.2456,17.8428,26.1618,9.3517,14.2857,24.4406,18.0149,14.5152,4.8193,1743,50.6598,120.7688,-36.3741,33.2186,-14.1136,9.0648,0.282,0.2751
excluding_psychoanalytic_dialogues_all_periods,1970-1989,23.777,14.562,3.0832,24.4596,49.1468,30.3185,9.3288,5.347,3.0148,15.6486,27.4175,9.727,13.9363,21.1604,22.2412,13.9932,2.7341,1758,49.1468,117.008,-35.2105,31.0127,-16.4787,9.3288,0.2836,0.265
excluding_psychoanalytic_dialogues_all_periods,1990-2009,17.6297,14.0035,5.7783,18.9858,33.4021,15.625,12.2936,3.4198,6.1026,14.4752,19.0743,6.4269,20.1651,22.0519,22.4351,15.0354,2.0047,3392,33.4021,96.8749,-13.237,40.9788,7.0165,12.2936,0.6037,0.423
excluding_psychoanalytic_dialogues_all_periods,2010-2025,17.6255,12.5707,13.4353,13.5018,26.4383,13.8011,15.4972,4.0572,8.0811,15.73,15.5637,6.1856,22.5474,16.8939,15.9295,16.6611,1.7958,3007,26.4383,72.7635,-3.8909,52.6438,25.2744,15.4972,0.8528,0.7235
excluding_psychoanalytic_dialogues_post_1990,1990-2009,17.6297,14.0035,5.7783,18.9858,33.4021,15.625,12.2936,3.4198,6.1026,14.4752,19.0743,6.4269,20.1651,22.0519,22.4351,15.0354,2.0047,3392,33.4021,96.8749,-13.237,40.9788,7.0165,12.2936,0.6037,0.423
excluding_psychoanalytic_dialogues_post_1990,2010-2025,17.6255,12.5707,13.4353,13.5018,26.4383,13.8011,15.4972,4.0572,8.0811,15.73,15.5637,6.1856,22.5474,16.8939,15.9295,16.6611,1.7958,3007,26.4383,72.7635,-3.8909,52.6438,25.2744,15.4972,0.8528,0.7235
full_corpus_all_periods,1920-1945,24.9271,26.5306,4.6647,23.1778,43.4402,11.0787,7.5802,10.6414,4.3732,16.035,14.4315,3.9359,5.6851,18.0758,5.8309,8.6006,3.4985,686,43.4402,90.5247,-37.7551,18.9504,-17.0554,7.5802,0.1309,0.2093
full_corpus_all_periods,1946-1969,26.6781,16.5806,4.4177,27.6535,50.6598,28.8583,9.0648,10.7286,4.2456,17.8428,26.1618,9.3517,14.2857,24.4406,18.0149,14.5152,4.8193,1743,50.6598,120.7688,-36.3741,33.2186,-14.1136,9.0648,0.282,0.2751
full_corpus_all_periods,1970-1989,23.777,14.562,3.0832,24.4596,49.1468,30.3185,9.3288,5.347,3.0148,15.6486,27.4175,9.727,13.9363,21.1604,22.2412,13.9932,2.7341,1758,49.1468,117.008,-35.2105,31.0127,-16.4787,9.3288,0.2836,0.265
full_corpus_all_periods,1990-2009,17.0868,14.6168,6.5954,18.411,31.7545,16.0682,11.0772,3.0558,5.9333,14.413,18.2327,5.7041,24.4716,22.2307,23.2238,15.5844,2.0626,3927,31.7545,95.62,-7.2829,46.6514,13.7255,11.0772,0.7706,0.4879
full_corpus_all_periods,2010-2025,17.7778,14.6173,16.642,12.716,24.0988,15.0617,12.9383,3.2593,7.4815,15.7778,14.9383,5.1358,30.642,15.6049,15.8272,21.2593,1.7778,4050,24.0988,68.2469,6.5432,68.5433,38.963,12.9383,1.2715,1.0043
full_corpus_post_1990,1990-2009,17.0868,14.6168,6.5954,18.411,31.7545,16.0682,11.0772,3.0558,5.9333,14.413,18.2327,5.7041,24.4716,22.2307,23.2238,15.5844,2.0626,3927,31.7545,95.62,-7.2829,46.6514,13.7255,11.0772,0.7706,0.4879
full_corpus_post_1990,2010-2025,17.7778,14.6173,16.642,12.716,24.0988,15.0617,12.9383,3.2593,7.4815,15.7778,14.9383,5.1358,30.642,15.6049,15.8272,21.2593,1.7778,4050,24.0988,68.2469,6.5432,68.5433,38.963,12.9383,1.2715,1.0043
