term,term_norm,semantic_family,semantic_action,semantic_confidence,mapping_rule,matched_pattern,n_family_matches,all_family_matches,review_flag,manual_override_family,manual_note,candidate_sources,candidate_journals,candidate_periods,max_keyness_score,max_pct_point_lift,max_doc_count,max_doc_pct
abbot bronstein,abbot bronstein,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,ijpa,2010-2025,4.606912,1.5378,19.0,1.5561
able,able,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period | key_terms_by_period,ijpa,1920-1945,42.38372,9.1448,484.0,14.8688
abpp,abpp,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychology,1990-2009,11.992738,3.5784,50.0,4.3408
abraham karl,abraham karl,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period | key_bigrams_by_period,ijpa,1920-1945,5.50304,2.0321,14.0,2.0408
abraham lincoln,abraham lincoln,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,japa,1970-1989,2.119349,1.0192,7.0,1.0279
abuse,abuse,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,psychoanalytic_psychology,1990-2009,7.786651,2.4501,23.0,3.6977
accepted,accepted,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period | key_terms_by_period,ijpa,1990-2009 | 2010-2025,161.658204,27.1076,762.0,31.7772
accepted april,accepted april,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,ijpa,1990-2009,3.994221,1.3119,20.0,1.4327
accepted december,accepted december,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,ijpa,1990-2009,2.773155,1.0002,15.0,1.0745
accepted february,accepted february,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period | key_bigrams_by_period,ijpa,1990-2009,5.562385,1.7072,25.0,1.7908
accepted january,accepted january,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal | key_bigrams_by_journal_period,ijpa,1990-2009,3.994221,1.3119,33.0,1.4327
accepted july,accepted july,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,ijpa,2010-2025,3.45374,1.219,16.0,1.3104
accepted june,accepted june,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,ijpa,1990-2009,2.901897,1.0466,15.0,1.0745
accepted march,accepted march,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal | key_bigrams_by_journal_period | key_bigrams_by_period,ijpa,1990-2009,5.648655,1.7139,39.0,1.8625
accepted november,accepted november,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal | key_bigrams_by_journal_period,ijpa,1990-2009 | 2010-2025,3.883276,1.3189,34.0,1.4742
accepted october,accepted october,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal | key_bigrams_by_journal_period,ijpa,1990-2009,3.659976,1.2217,33.0,1.361
accepted publication,accepted publication,,unmapped,none,,,0,,manual_review_unmapped,,,global_core_bigrams_after_audit | key_bigrams_by_journal | key_bigrams_by_journal_period | key_bigrams_by_period,ijpa,2010-2025,98.124367,18.1172,249.0,18.3456
accepted september,accepted september,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal | key_bigrams_by_journal_period,ijpa,1990-2009 | 2010-2025,4.987498,1.5308,47.0,1.8018
access,access,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychotherapy,2010-2025,20.114395,5.704,40.0,7.6389
according,according,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period | key_terms_by_period,ijpa,1920-1945,37.189631,8.4162,82.0,11.9534
account,account,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period | key_terms_by_period,ijpa | psychoanalytic_psychotherapy,1920-1945 | 1970-1989 | 1990-2009,40.182849,8.7447,98.0,14.2857
acting out,acting out,,unmapped,none,,,0,,manual_review_unmapped,,,global_core_bigrams_after_audit | key_bigrams_by_journal | key_bigrams_by_journal_period | key_bigrams_by_period,ijpa | japa,1946-1969 | 1970-1989 | 1990-2009,10.682214,2.5783,164.0,3.5685
action,action,,unmapped,none,,,0,,manual_review_unmapped,,,global_core_terms_after_audit,,,,,620.0,5.097
adaptive,adaptive,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,psychoanalytic_psychology,1990-2009,5.410751,1.7772,20.0,3.2154
address,address,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,japa,1990-2009 | 2010-2025,11.364523,2.9517,138.0,6.3014
address american,address american,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal | key_bigrams_by_journal_period,japa,2010-2025,7.404108,2.4716,31.0,2.6027
addressed,addressed,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period | key_terms_by_period,psychoanalytic_dialogues,2010-2025,206.546367,34.6948,469.0,36.8169
addresses,addresses,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period | key_terms_by_period,psychoanalytic_psychology,1990-2009,6.244708,1.9649,101.0,3.6977
adjunct,adjunct,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_dialogues,2010-2025,28.956785,6.6662,98.0,7.2867
adrienne harris,adrienne harris,,unmapped,none,,,0,,manual_review_unmapped,,,global_core_bigrams_after_audit | key_bigrams_by_journal | key_bigrams_by_journal_period | key_bigrams_by_period,japa | psychoanalytic_dialogues,1990-2009 | 2010-2025,9.715283,2.5522,69.0,2.9907
adult,adult,,unmapped,none,,,0,,manual_review_unmapped,,,global_core_terms_after_audit | key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychology,1990-2009 | 2010-2025,18.397318,4.4072,739.0,10.2564
adult attachment,adult attachment,attachment_development_infant,mapped_initial,high,attachment_terms,\battachment\b|\bbowlby\b|\bsecure base\b|\bseparation\b|\bloss\b,1,attachment_development_infant,,,,global_core_bigrams_after_audit | key_bigrams_by_journal | key_bigrams_by_journal_period,psychoanalytic_psychology,2010-2025,12.262745,3.7638,53.0,4.0064
advisory board,advisory board,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal | key_bigrams_by_journal_period,psychoanalytic_dialogues,2010-2025,5.509494,1.8096,26.0,1.9175
affect,affect,trauma_dissociation_affect_regulation,mapped_initial,medium,affect_emotion_terms,\baffect(s|ive)?\b|\bemotion(s|al)?\b|\bfeeling(s)?\b,1,trauma_dissociation_affect_regulation,optional_review_medium_confidence,,,global_core_terms_after_audit | key_terms_by_journal | key_terms_by_journal_period | key_terms_by_period,japa | psychoanalytic_psychology,1970-1989 | 1990-2009,12.349327,4.8146,607.0,9.7561
affect regulation,affect regulation,trauma_dissociation_affect_regulation,mapped_initial,high,regulation_terms,\bregulation\b|\bdysregulation\b|\baffect regulation\b,1,trauma_dissociation_affect_regulation,,,,key_bigrams_by_journal | key_bigrams_by_journal_period,psychoanalytic_psychology,1990-2009 | 2010-2025,4.468941,1.6934,23.0,2.0833
affective,affective,trauma_dissociation_affect_regulation,mapped_initial,medium,affect_emotion_terms,\baffect(s|ive)?\b|\bemotion(s|al)?\b|\bfeeling(s)?\b,1,trauma_dissociation_affect_regulation,optional_review_medium_confidence,,,key_terms_by_journal_period,psychoanalytic_psychology,1970-1989,4.770923,2.2943,7.0,5.6911
affiliated nyu,affiliated nyu,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,japa,2010-2025,2.818665,1.2241,9.0,1.2329
african american,african american,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal | key_bigrams_by_journal_period,psychoanalytic_psychology,1990-2009,2.237127,0.8477,13.0,0.9646
against,against,,unmapped,none,,,0,,manual_review_unmapped,,,global_core_terms_after_audit | key_terms_by_journal | key_terms_by_journal_period | key_terms_by_period,ijpa | japa,1920-1945 | 1946-1969,46.110996,8.6705,1099.0,16.8465
age,age,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,psychoanalytic_psychotherapy,1970-1989,5.164359,3.7253,3.0,7.6923
aggression,aggression,drive_conflict_defense,mapped_initial,medium,aggression_terms,\baggression\b|\baggressive\b|\bhostility\b|\brage\b|\bdestructiveness\b,1,drive_conflict_defense,optional_review_medium_confidence,,,key_terms_by_journal_period | key_terms_by_period,ijpa,1970-1989,14.646054,3.5919,88.0,6.3388
aggressive,aggressive,drive_conflict_defense,mapped_initial,medium,aggression_terms,\baggression\b|\baggressive\b|\bhostility\b|\brage\b|\bdestructiveness\b,1,drive_conflict_defense,optional_review_medium_confidence,,,key_terms_by_journal_period | key_terms_by_period,ijpa | psychoanalytic_psychology,1970-1989,13.775047,4.0707,84.0,6.5041
aggressive drives,aggressive drives,drive_conflict_defense,mapped_initial,high,drive_libido_instinct,\bdrive(s)?\b|\binstinct(s|ual)?\b|\blibido\b|\blibidinal\b,1,drive_conflict_defense,,,,key_bigrams_by_journal_period | key_bigrams_by_period,ijpa,1970-1989,4.052279,1.4616,18.0,1.6393
aggressive impulses,aggressive impulses,drive_conflict_defense,mapped_initial,medium,aggression_terms,\baggression\b|\baggressive\b|\bhostility\b|\brage\b|\bdestructiveness\b,1,drive_conflict_defense,optional_review_medium_confidence,,,key_bigrams_by_journal_period | key_bigrams_by_period,psychoanalytic_psychology,1946-1969 | 1970-1989,2.943707,2.1234,19.0,2.439
aim,aim,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychotherapy,2010-2025,15.52839,4.2689,63.0,8.5648
aim study,aim study,empirical_research_measurement,mapped_initial,medium,empirical_terms,\bempirical\b|\bresearch\b|\bstudy\b|\bdata\b|\bevidence\b,1,empirical_research_measurement,optional_review_medium_confidence,,,key_bigrams_by_journal_period,psychoanalytic_psychology,2010-2025,3.44798,1.4379,10.0,1.6026
