journal_key,period,semantic_family,n_articles,n_family_hits,n_articles_group,pct_articles_group
ijpa,1920-1945,drive_conflict_defense,298,298,686,43.4402
ijpa,1920-1945,dream_fantasy_unconscious,297,297,686,43.2945
ijpa,1920-1945,ego_self_narcissism,206,206,686,30.0292
ijpa,1920-1945,object_relations,182,182,686,26.5306
ijpa,1920-1945,kleinian_bionian,30,30,686,4.3732
ijpa,1920-1945,winnicottian_environment_holding,164,164,686,23.9067
ijpa,1920-1945,attachment_development_infant,309,309,686,45.0437
ijpa,1920-1945,transference_countertransference,40,40,686,5.8309
ijpa,1920-1945,technique_interpretation_process,137,137,686,19.9708
ijpa,1920-1945,relational_intersubjective_field,72,72,686,10.4956
ijpa,1920-1945,trauma_dissociation_affect_regulation,197,197,686,28.7172
ijpa,1920-1945,psychosis_borderline_primitive_states,61,61,686,8.8921
ijpa,1920-1945,body_sexuality_gender,224,224,686,32.6531
ijpa,1920-1945,language_narrative_symbolization,155,155,686,22.5948
ijpa,1920-1945,culture_race_social_ethics,123,123,686,17.93
ijpa,1920-1945,empirical_research_measurement,95,95,686,13.8484
ijpa,1920-1945,history_theory_schools,276,276,686,40.2332
ijpa,1946-1969,drive_conflict_defense,631,631,1205,52.3651
ijpa,1946-1969,dream_fantasy_unconscious,535,535,1205,44.3983
ijpa,1946-1969,ego_self_narcissism,599,599,1205,49.7095
ijpa,1946-1969,object_relations,472,472,1205,39.1701
ijpa,1946-1969,kleinian_bionian,72,72,1205,5.9751
ijpa,1946-1969,winnicottian_environment_holding,346,346,1205,28.7137
ijpa,1946-1969,attachment_development_infant,599,599,1205,49.7095
ijpa,1946-1969,transference_countertransference,225,225,1205,18.6722
ijpa,1946-1969,technique_interpretation_process,367,367,1205,30.4564
ijpa,1946-1969,relational_intersubjective_field,378,378,1205,31.3693
ijpa,1946-1969,trauma_dissociation_affect_regulation,439,439,1205,36.4315
ijpa,1946-1969,psychosis_borderline_primitive_states,199,199,1205,16.5145
ijpa,1946-1969,body_sexuality_gender,282,282,1205,23.4025
ijpa,1946-1969,language_narrative_symbolization,333,333,1205,27.6349
ijpa,1946-1969,culture_race_social_ethics,234,234,1205,19.4191
ijpa,1946-1969,empirical_research_measurement,200,200,1205,16.5975
ijpa,1946-1969,history_theory_schools,523,523,1205,43.4025
ijpa,1970-1989,drive_conflict_defense,475,475,915,51.9126
ijpa,1970-1989,dream_fantasy_unconscious,369,369,915,40.3279
ijpa,1970-1989,ego_self_narcissism,469,469,915,51.2568
ijpa,1970-1989,object_relations,392,392,915,42.8415
ijpa,1970-1989,kleinian_bionian,46,46,915,5.0273
ijpa,1970-1989,winnicottian_environment_holding,189,189,915,20.6557
ijpa,1970-1989,attachment_development_infant,410,410,915,44.8087
ijpa,1970-1989,transference_countertransference,224,224,915,24.4809
ijpa,1970-1989,technique_interpretation_process,254,254,915,27.7596
ijpa,1970-1989,relational_intersubjective_field,296,296,915,32.3497
ijpa,1970-1989,trauma_dissociation_affect_regulation,310,310,915,33.8798
ijpa,1970-1989,psychosis_borderline_primitive_states,166,166,915,18.1421
