period,semantic_family,n_articles,n_family_hits,n_articles_group,pct_articles_group
1920-1945,drive_conflict_defense,298,298,686,43.4402
1920-1945,dream_fantasy_unconscious,297,297,686,43.2945
1920-1945,ego_self_narcissism,206,206,686,30.0292
1920-1945,object_relations,182,182,686,26.5306
1920-1945,kleinian_bionian,30,30,686,4.3732
1920-1945,winnicottian_environment_holding,164,164,686,23.9067
1920-1945,attachment_development_infant,309,309,686,45.0437
1920-1945,transference_countertransference,40,40,686,5.8309
1920-1945,technique_interpretation_process,137,137,686,19.9708
1920-1945,relational_intersubjective_field,72,72,686,10.4956
1920-1945,trauma_dissociation_affect_regulation,197,197,686,28.7172
1920-1945,psychosis_borderline_primitive_states,61,61,686,8.8921
1920-1945,body_sexuality_gender,224,224,686,32.6531
1920-1945,language_narrative_symbolization,155,155,686,22.5948
1920-1945,culture_race_social_ethics,123,123,686,17.93
1920-1945,empirical_research_measurement,95,95,686,13.8484
1920-1945,history_theory_schools,276,276,686,40.2332
1946-1969,drive_conflict_defense,883,883,1743,50.6598
1946-1969,dream_fantasy_unconscious,757,757,1743,43.4309
1946-1969,ego_self_narcissism,855,855,1743,49.0534
1946-1969,object_relations,628,628,1743,36.0298
1946-1969,kleinian_bionian,74,74,1743,4.2456
1946-1969,winnicottian_environment_holding,465,465,1743,26.6781
1946-1969,attachment_development_infant,836,836,1743,47.9633
1946-1969,transference_countertransference,314,314,1743,18.0149
1946-1969,technique_interpretation_process,501,501,1743,28.7435
1946-1969,relational_intersubjective_field,528,528,1743,30.2926
1946-1969,trauma_dissociation_affect_regulation,608,608,1743,34.8824
1946-1969,psychosis_borderline_primitive_states,261,261,1743,14.9742
1946-1969,body_sexuality_gender,412,412,1743,23.6374
1946-1969,language_narrative_symbolization,453,453,1743,25.9897
1946-1969,culture_race_social_ethics,314,314,1743,18.0149
1946-1969,empirical_research_measurement,270,270,1743,15.4905
1946-1969,history_theory_schools,731,731,1743,41.9392
1970-1989,drive_conflict_defense,864,864,1758,49.1468
1970-1989,dream_fantasy_unconscious,621,621,1758,35.3242
1970-1989,ego_self_narcissism,851,851,1758,48.4073
1970-1989,object_relations,660,660,1758,37.5427
1970-1989,kleinian_bionian,53,53,1758,3.0148
1970-1989,winnicottian_environment_holding,311,311,1758,17.6906
1970-1989,attachment_development_infant,738,738,1758,41.9795
1970-1989,transference_countertransference,391,391,1758,22.2412
1970-1989,technique_interpretation_process,467,467,1758,26.5643
1970-1989,relational_intersubjective_field,492,492,1758,27.9863
1970-1989,trauma_dissociation_affect_regulation,528,528,1758,30.0341
1970-1989,psychosis_borderline_primitive_states,253,253,1758,14.3914
1970-1989,body_sexuality_gender,327,327,1758,18.6007
1970-1989,language_narrative_symbolization,399,399,1758,22.6962
1970-1989,culture_race_social_ethics,226,226,1758,12.8555
1970-1989,empirical_research_measurement,243,243,1758,13.8225
1970-1989,history_theory_schools,603,603,1758,34.3003
1990-2009,drive_conflict_defense,1247,1247,3927,31.7545
1990-2009,dream_fantasy_unconscious,1198,1198,3927,30.5067
1990-2009,ego_self_narcissism,1489,1489,3927,37.917
1990-2009,object_relations,1044,1044,3927,26.5852
1990-2009,kleinian_bionian,233,233,3927,5.9333
1990-2009,winnicottian_environment_holding,530,530,3927,13.4963
1990-2009,attachment_development_infant,1311,1311,3927,33.3843
1990-2009,transference_countertransference,912,912,3927,23.2238
1990-2009,technique_interpretation_process,1145,1145,3927,29.1571
1990-2009,relational_intersubjective_field,1508,1508,3927,38.4008
1990-2009,trauma_dissociation_affect_regulation,1272,1272,3927,32.3911
1990-2009,psychosis_borderline_primitive_states,320,320,3927,8.1487
1990-2009,body_sexuality_gender,727,727,3927,18.5129
1990-2009,language_narrative_symbolization,894,894,3927,22.7655
1990-2009,culture_race_social_ethics,749,749,3927,19.0731
1990-2009,empirical_research_measurement,583,583,3927,14.8459
1990-2009,history_theory_schools,988,988,3927,25.1592
2010-2025,drive_conflict_defense,976,976,4050,24.0988
2010-2025,dream_fantasy_unconscious,971,971,4050,23.9753
2010-2025,ego_self_narcissism,1511,1511,4050,37.3086
2010-2025,object_relations,948,948,4050,23.4074
2010-2025,kleinian_bionian,303,303,4050,7.4815
2010-2025,winnicottian_environment_holding,586,586,4050,14.4691
2010-2025,attachment_development_infant,1436,1436,4050,35.4568
2010-2025,transference_countertransference,641,641,4050,15.8272
2010-2025,technique_interpretation_process,888,888,4050,21.9259
2010-2025,relational_intersubjective_field,1809,1809,4050,44.6667
2010-2025,trauma_dissociation_affect_regulation,1431,1431,4050,35.3333
2010-2025,psychosis_borderline_primitive_states,301,301,4050,7.4321
2010-2025,body_sexuality_gender,813,813,4050,20.0741
2010-2025,language_narrative_symbolization,937,937,4050,23.1358
2010-2025,culture_race_social_ethics,1267,1267,4050,31.284
2010-2025,empirical_research_measurement,612,612,4050,15.1111
2010-2025,history_theory_schools,838,838,4050,20.6914
