semantic_family,n_family_articles,n_unique_terms_hit,top1_term,top1_n_articles,top1_share_of_family_articles_pct,top3_share_of_family_articles_pct_sum,top5_share_of_family_articles_pct_sum,concentration_flag
drive_conflict_defense,4268,40,conflict,1367,32.03,70.24,99.18,
dream_fantasy_unconscious,3844,13,unconscious,2037,52.99,92.92,123.8,medium_top1_concentration
ego_self_narcissism,4910,22,self,2612,53.2,102.28,124.01,medium_top1_concentration
object_relations,3462,29,object,2449,70.74,119.35,156.5,high_top1_concentration
kleinian_bionian,693,6,bion,394,56.85,122.37,149.49,medium_top1_concentration
winnicottian_environment_holding,2056,7,mother,1343,65.32,108.51,112.55,high_top1_concentration
attachment_development_infant,4630,26,early,1828,39.48,95.01,126.33,
transference_countertransference,2298,10,transference,1764,76.76,130.77,144.26,high_top1_concentration
technique_interpretation_process,3138,9,interpretation,1206,38.43,94.04,124.44,
relational_intersubjective_field,4409,20,relationship,2625,59.54,99.09,127.08,medium_top1_concentration
trauma_dissociation_affect_regulation,4036,9,emotional,1015,25.15,72.79,114.92,
psychosis_borderline_primitive_states,1196,8,primitive,523,43.73,114.55,125.84,medium_top1_concentration
body_sexuality_gender,2503,21,sexual,988,39.47,98.8,137.75,
language_narrative_symbolization,2838,7,meaning,1268,44.68,96.09,120.97,medium_top1_concentration
culture_race_social_ethics,2667,14,social,1191,44.66,86.2,114.66,medium_top1_concentration
empirical_research_measurement,1803,15,evidence,653,36.22,86.13,114.81,
history_theory_schools,3436,19,freud,3099,90.19,152.65,165.6,high_top1_concentration
