semantic_family,n_article_family_rows,n_articles,n_single_term_hit_rows,n_multi_term_hit_rows,pct_single_term_hit_rows,single_hit_flag
drive_conflict_defense,4268,4268,1908,2360,44.7,
dream_fantasy_unconscious,3844,3844,2376,1468,61.81,
ego_self_narcissism,4910,4910,2978,1932,60.65,
object_relations,3462,3462,1314,2148,37.95,
kleinian_bionian,693,693,375,318,54.11,
winnicottian_environment_holding,2056,2056,1806,250,87.84,high_single_term_dependence
attachment_development_infant,4630,4630,2673,1957,57.73,
transference_countertransference,2298,2298,1379,919,60.01,
technique_interpretation_process,3138,3138,2207,931,70.33,
relational_intersubjective_field,4409,4409,2457,1952,55.73,
trauma_dissociation_affect_regulation,4036,4036,2891,1145,71.63,
psychosis_borderline_primitive_states,1196,1196,910,286,76.09,high_single_term_dependence
body_sexuality_gender,2503,2503,1515,988,60.53,
language_narrative_symbolization,2838,2838,2296,542,80.9,high_single_term_dependence
culture_race_social_ethics,2667,2667,1720,947,64.49,
empirical_research_measurement,1803,1803,1204,599,66.78,
history_theory_schools,3436,3436,1296,2140,37.72,
