semantic_family,term,n_articles,pct_all_articles,n_term_hit_rows,rank_within_family
drive_conflict_defense,conflict,1367,11.2381,1367,1
drive_conflict_defense,drive,967,7.9497,967,2
drive_conflict_defense,conflicts,664,5.4587,664,3
drive_conflict_defense,defence,624,5.1299,624,4
drive_conflict_defense,resistance,611,5.023,611,5
drive_conflict_defense,oedipal,548,4.5051,548,6
drive_conflict_defense,defense,497,4.0858,497,7
drive_conflict_defense,aggression,379,3.1158,379,8
drive_conflict_defense,instinctual,354,2.9102,354,9
drive_conflict_defense,drives,347,2.8527,347,10
drive_conflict_defense,libidinal,315,2.5896,315,11
drive_conflict_defense,aggressive,312,2.5649,312,12
drive_conflict_defense,libido,262,2.1539,262,13
drive_conflict_defense,oedipus complex,246,2.0224,246,14
drive_conflict_defense,defenses,215,1.7675,215,15
drive_conflict_defense,death instinct,100,0.8221,100,16
drive_conflict_defense,defence against,93,0.7646,93,17
drive_conflict_defense,defence mechanisms,90,0.7399,90,18
drive_conflict_defense,castration anxiety,86,0.707,86,19
drive_conflict_defense,incest,72,0.5919,72,20
drive_conflict_defense,defense against,66,0.5426,66,21
drive_conflict_defense,death drive,65,0.5344,65,22
drive_conflict_defense,castration complex,64,0.5261,64,23
drive_conflict_defense,defense mechanisms,64,0.5261,64,24
drive_conflict_defense,instinctual drives,62,0.5097,62,25
drive_conflict_defense,intrapsychic conflict,56,0.4604,56,26
drive_conflict_defense,defences against,48,0.3946,48,27
drive_conflict_defense,aggressive impulses,42,0.3453,42,28
drive_conflict_defense,oedipal phase,42,0.3453,42,29
drive_conflict_defense,defenses against,41,0.3371,41,30
drive_conflict_defense,riverside drive,39,0.3206,39,31
drive_conflict_defense,instinctual drive,37,0.3042,37,32
drive_conflict_defense,aggressive drives,34,0.2795,34,33
drive_conflict_defense,defence mechanism,31,0.2549,31,34
drive_conflict_defense,drive beverly,30,0.2466,30,35
drive_conflict_defense,instinctual impulses,21,0.1726,21,36
drive_conflict_defense,transference resistance,20,0.1644,20,37
drive_conflict_defense,oedipus situation,19,0.1562,19,38
drive_conflict_defense,drive ann,17,0.1398,17,39
drive_conflict_defense,libidinal aggressive,1,0.0082,1,40
dream_fantasy_unconscious,unconscious,2037,16.7461,2037,1
dream_fantasy_unconscious,dream,917,7.5386,917,2
dream_fantasy_unconscious,wish,618,5.0806,618,3
dream_fantasy_unconscious,fantasy,596,4.8997,596,4
dream_fantasy_unconscious,dreams,591,4.8586,591,5
dream_fantasy_unconscious,fantasies,576,4.7353,576,6
dream_fantasy_unconscious,wishes,404,3.3213,404,7
dream_fantasy_unconscious,psychic reality,150,1.2331,150,8
dream_fantasy_unconscious,unconscious fantasy,95,0.781,95,9
dream_fantasy_unconscious,unconscious fantasies,93,0.7646,93,10
dream_fantasy_unconscious,unconscious phantasy,54,0.4439,54,11
dream_fantasy_unconscious,unconscious phantasies,44,0.3617,44,12
dream_fantasy_unconscious,conscious unconscious,1,0.0082,1,13
ego_self_narcissism,self,2612,21.4732,2612,1
ego_self_narcissism,ego,1721,14.1483,1721,2
ego_self_narcissism,narcissistic,689,5.6643,689,3
ego_self_narcissism,identity,627,5.1546,627,4
ego_self_narcissism,superego,440,3.6172,440,5
ego_self_narcissism,narcissism,371,3.05,371,6
ego_self_narcissism,subjectivity,369,3.0335,369,7
ego_self_narcissism,shame,235,1.9319,235,8
ego_self_narcissism,self psychology,167,1.3729,167,9
ego_self_narcissism,ego psychology,156,1.2825,156,10
ego_self_narcissism,ego ideal,111,0.9125,111,11
ego_self_narcissism,ego functions,105,0.8632,105,12
ego_self_narcissism,self-esteem,100,0.8221,100,13
ego_self_narcissism,narcissistic personality,62,0.5097,62,14
ego_self_narcissism,ego function,47,0.3864,47,15
ego_self_narcissism,self-report,44,0.3617,44,16
ego_self_narcissism,early ego,38,0.3124,38,17
ego_self_narcissism,self psychological,36,0.296,36,18
ego_self_narcissism,analyst's subjectivity,34,0.2795,34,19
ego_self_narcissism,narcissistic pathology,17,0.1398,17,20
ego_self_narcissism,ego superego,11,0.0904,11,21
ego_self_narcissism,part ego,1,0.0082,1,22
object_relations,object,2449,20.1332,2449,1
object_relations,internal,942,7.7442,942,2
object_relations,objects,741,6.0917,741,3
object_relations,external,730,6.0013,730,4
object_relations,object relations,556,4.5709,556,5
object_relations,splitting,268,2.2032,268,6
object_relations,projective identification,216,1.7757,216,7
object_relations,object relationships,147,1.2085,147,8
object_relations,external world,120,0.9865,120,9
object_relations,external reality,119,0.9783,119,10
object_relations,internal objects,102,0.8385,102,11
object_relations,object relationship,102,0.8385,102,12
object_relations,object representations,101,0.8303,101,13
object_relations,internal world,94,0.7728,94,14
object_relations,internal object,91,0.7481,91,15
object_relations,depressive position,74,0.6084,74,16
object_relations,love object,70,0.5755,70,17
object_relations,object loss,57,0.4686,57,18
object_relations,early object,51,0.4193,51,19
object_relations,object choice,47,0.3864,47,20
object_relations,object constancy,44,0.3617,44,21
object_relations,patient's internal,43,0.3535,43,22
object_relations,self object,37,0.3042,37,23
object_relations,external objects,36,0.296,36,24
object_relations,internalized object,35,0.2877,35,25
object_relations,selfand object,35,0.2877,35,26
object_relations,self-object differentiation,15,0.1233,15,27
object_relations,self objects,6,0.0493,6,28
object_relations,internal external,2,0.0164,2,29
kleinian_bionian,bion,394,3.2391,394,1
kleinian_bionian,melanie klein,234,1.9237,234,2
kleinian_bionian,bion's,220,1.8086,220,3
kleinian_bionian,containment,121,0.9947,121,4
kleinian_bionian,melanie klein's,67,0.5508,67,5
kleinian_bionian,klein melanie,20,0.1644,20,6
winnicottian_environment_holding,mother,1343,11.0408,1343,1
winnicottian_environment_holding,play,805,6.6179,805,2
winnicottian_environment_holding,mother child,83,0.6823,83,3
winnicottian_environment_holding,potential space,49,0.4028,49,4
winnicottian_environment_holding,external environment,34,0.2795,34,5
winnicottian_environment_holding,winnicott's collected,8,0.0658,8,6
winnicottian_environment_holding,father mother,2,0.0164,2,7
attachment_development_infant,early,1828,15.028,1828,1
attachment_development_infant,child,1603,13.1782,1603,2
attachment_development_infant,children,968,7.9579,968,3
attachment_development_infant,childhood,773,6.3548,773,4
attachment_development_infant,loss,677,5.5656,677,5
attachment_development_infant,family,559,4.5955,559,6
attachment_development_infant,attachment,477,3.9214,477,7
attachment_development_infant,infancy,224,1.8415,224,8
