article_id,journal_key,year_for_analysis,period,title_clean,family_drive_conflict_defense,terms_drive_conflict_defense,family_dream_fantasy_unconscious,terms_dream_fantasy_unconscious,family_ego_self_narcissism,terms_ego_self_narcissism,family_object_relations,terms_object_relations,family_kleinian_bionian,terms_kleinian_bionian,family_winnicottian_environment_holding,terms_winnicottian_environment_holding,family_attachment_development_infant,terms_attachment_development_infant,family_transference_countertransference,terms_transference_countertransference,family_technique_interpretation_process,terms_technique_interpretation_process,family_relational_intersubjective_field,terms_relational_intersubjective_field,family_trauma_dissociation_affect_regulation,terms_trauma_dissociation_affect_regulation,family_psychosis_borderline_primitive_states,terms_psychosis_borderline_primitive_states,family_body_sexuality_gender,terms_body_sexuality_gender,family_language_narrative_symbolization,terms_language_narrative_symbolization,family_culture_race_social_ethics,terms_culture_race_social_ethics,family_empirical_research_measurement,terms_empirical_research_measurement,family_history_theory_schools,terms_history_theory_schools,n_semantic_families_hit,n_semantic_terms_hit
IJP.001.0420A,ijpa,1920,1920-1945,A Trivial Incident,1,castration complex,0,,0,,0,,0,,0,,1,child | early,0,,0,,0,,1,feelings,0,,0,,1,meaning,0,,0,,0,,4,5
IJP.001.0340A,ijpa,1920,1920-1945,Notes,0,,1,unconscious,0,,0,,0,,0,,0,,0,,0,,1,recognition,0,,0,,0,,0,,0,,0,,1,freud | freud's,3,4
IJP.001.0273A,ijpa,1920,1920-1945,A Substitutive Memory,0,,1,wish,0,,0,,0,,0,,1,childhood,0,,0,,1,relationship,0,,0,,0,,1,meaning | words,0,,0,,0,,4,5
IJP.001.0445A,ijpa,1920,1920-1945,The Literature in Dutch,1,libido,1,unconscious,1,ego,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,freud | freudian,4,5
IJP.001.0455A,ijpa,1920,1920-1945,Italian Literature,1,conflict | conflicts,1,wishes,0,,0,,0,,0,,0,,0,,1,psycho-analytic technique | technique,0,,0,,0,,1,sexual,0,,0,,0,,1,freud,5,7
IJP.001.0457A,ijpa,1920,1920-1945,The Literature in Spanish,1,libido,1,dream | dreams,0,,0,,0,,1,mother,0,,0,,1,interpretation,0,,0,,0,,0,,0,,0,,0,,1,freudian,5,6
IJP.001.0196A,ijpa,1920,1920-1945,A Note on William Blake's Lyrics,0,,0,,0,,0,,0,,0,,1,early,0,,0,,0,,0,,0,,0,,1,meaning,0,,1,evidence,0,,3,3
IJP.001.0056A,ijpa,1920,1920-1945,Freud's Psychology,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,words,0,,0,,1,freud | freud's | freudian,2,4
IJP.001.0204A,ijpa,1920,1920-1945,Ambivalence in a Slip of the Tongue,0,,1,wish,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,sexual | sexual intercourse,1,meaning,0,,0,,1,freud,4,5
IJP.001.0423A,ijpa,1920,1920-1945,Word-Play in Dreams,0,,1,dream | dreams,0,,0,,0,,1,mother | play,1,child,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,5
IJP.001.0396A,ijpa,1920,1920-1945,Erotism as Portrayed in Literature,0,,1,unconscious,0,,0,,0,,0,,1,early,0,,1,interpretation,0,,1,feelings,0,,0,,0,,0,,1,effectiveness,0,,5,5
IJP.001.0271A,ijpa,1920,1920-1945,A Revived Sensation-Memory,0,,0,,0,,0,,0,,0,,1,childhood,0,,0,,0,,0,,0,,0,,1,words,0,,0,,0,,2,2
IJP.001.0268A,ijpa,1920,1920-1945,An Instance of the Care Needed in Drawing Conclusions,0,,1,dream,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1
IJP.001.0203A,ijpa,1920,1920-1945,The Symbolism of Being Run Over,0,,1,dream | dreams | unconscious,0,,1,object | objects,0,,0,,0,,0,,0,,0,,0,,0,,1,sexual | sexual intercourse,0,,0,,0,,0,,3,7
IJP.001.0280A,ijpa,1920,1920-1945,Special Pathology and Therapy of the Neuroses and Psychoses,1,libido,1,unconscious,1,narcissism,0,,0,,1,mother,0,,0,,0,,0,,1,anxiety,0,,1,body | female | sexual | sexual intercourse,0,,0,,0,,0,,6,9
IJP.001.0262A,ijpa,1920,1920-1945,The Wish to be a Man,0,,1,wish,0,,0,,0,,0,,1,children | family,0,,0,,0,,1,anxiety,0,,1,sexual | sexual intercourse,0,,0,,0,,0,,4,6
IJP.001.0125A,ijpa,1920,1920-1945,The Psychogenesis of a Case of Female Homosexuality,0,,0,,0,,0,,0,,0,,1,family,0,,1,interpretation,0,,0,,0,,1,female,0,,0,,0,,1,freud | freud sigmund | sigmund freud,4,6
IJP.001.0200A,ijpa,1920,1920-1945,Three Notes,0,,1,dream | dreams,0,,0,,0,,1,mother,1,child,0,,0,,0,,1,anxiety,0,,0,,1,meaning,0,,0,,0,,5,6
IJP.001.0068A,ijpa,1920,1920-1945,Review of the Recent Psycho-Analytical Literature in English,0,,1,dream,0,,0,,0,,0,,0,,0,,0,,0,,1,anxiety,0,,0,,0,,1,social | war,0,,1,freud | freudian,4,6
IJP.001.0371A,ijpa,1920,1920-1945,A Child is Being Beaten-A Contribution to the Study of the Origin of Sexual Perversions,1,resistance,0,,1,shame,0,,0,,0,,1,child,0,,0,,0,,1,feelings,0,,1,sexual | sexual life,0,,0,,0,,1,freud | freud sigmund | freud vienna | sigmund freud,6,10
IJP.001.0161A,ijpa,1920,1920-1945,Recent Advances in Psycho-Analysis,0,,0,,0,,1,external,0,,0,,0,,0,,1,technical | technique,0,,0,,0,,0,,0,,0,,0,,1,freud | freud himself,3,5
IJP.001.0223A,ijpa,1920,1920-1945,Reaction to Personal Names,0,,1,unconscious,0,,0,,0,,0,,0,,0,,0,,0,,1,emotional,0,,0,,0,,0,,0,,0,,2,2
IJP.001.0245A,ijpa,1920,1920-1945,Dreams on the Symbolism of Water and Fire,0,,1,dream | dreams,0,,0,,0,,1,mother,1,children,0,,0,,0,,0,,0,,0,,0,,0,,1,measure | measures,0,,4,6
IJP.001.0424A,ijpa,1920,1920-1945,Litterature Française,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,freud,1,1
IJP.001.0186A,ijpa,1920,1920-1945,The Relation of the Elder Sister to the Development of the Electra Complex-(A Case of Simple Phobia and Obsession),1,resistance,1,unconscious,1,self,0,,0,,1,play,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,evidence,1,freud | freud's | freudian,6,8
IJP.001.0017A,ijpa,1920,1920-1945,One of the Difficulties of Psycho-Analysis,1,libido,0,,1,ego | self,0,,0,,0,,0,,0,,0,,0,,1,affective | feelings,0,,1,sexual,0,,0,,0,,1,freud | freud sigmund | sigmund freud,5,9
IJP.001.0459A,ijpa,1920,1920-1945,Psycho-Analytical Literature in Hungarian,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,freud | freud's,1,2
