journal_key,period,semantic_family,n_articles,n_family_hits,total_terms_hit,n_articles_group,pct_articles_group
ijpa,1920-1945,drive_conflict_defense,298,298,557,686,43.4402
ijpa,1920-1945,dream_fantasy_unconscious,297,297,465,686,43.2945
ijpa,1920-1945,ego_self_narcissism,206,206,279,686,30.0292
ijpa,1920-1945,object_relations,182,182,313,686,26.5306
ijpa,1920-1945,kleinian_bionian,30,30,47,686,4.3732
ijpa,1920-1945,winnicottian_environment_holding,164,164,187,686,23.9067
ijpa,1920-1945,attachment_development_infant,309,309,560,686,45.0437
ijpa,1920-1945,transference_countertransference,40,40,47,686,5.8309
ijpa,1920-1945,technique_interpretation_process,137,137,198,686,19.9708
ijpa,1920-1945,relational_intersubjective_field,72,72,94,686,10.4956
ijpa,1920-1945,trauma_dissociation_affect_regulation,197,197,242,686,28.7172
ijpa,1920-1945,psychosis_borderline_primitive_states,61,61,73,686,8.8921
ijpa,1920-1945,body_sexuality_gender,224,224,369,686,32.6531
ijpa,1920-1945,language_narrative_symbolization,155,155,198,686,22.5948
ijpa,1920-1945,culture_race_social_ethics,123,123,159,686,17.93
ijpa,1920-1945,empirical_research_measurement,95,95,117,686,13.8484
ijpa,1920-1945,history_theory_schools,276,276,517,686,40.2332
ijpa,1946-1969,drive_conflict_defense,631,631,1652,1205,52.3651
ijpa,1946-1969,dream_fantasy_unconscious,535,535,903,1205,44.3983
ijpa,1946-1969,ego_self_narcissism,599,599,1086,1205,49.7095
ijpa,1946-1969,object_relations,472,472,1153,1205,39.1701
ijpa,1946-1969,kleinian_bionian,72,72,103,1205,5.9751
ijpa,1946-1969,winnicottian_environment_holding,346,346,405,1205,28.7137
ijpa,1946-1969,attachment_development_infant,599,599,1131,1205,49.7095
ijpa,1946-1969,transference_countertransference,225,225,314,1205,18.6722
ijpa,1946-1969,technique_interpretation_process,367,367,562,1205,30.4564
ijpa,1946-1969,relational_intersubjective_field,378,378,549,1205,31.3693
ijpa,1946-1969,trauma_dissociation_affect_regulation,439,439,626,1205,36.4315
ijpa,1946-1969,psychosis_borderline_primitive_states,199,199,244,1205,16.5145
ijpa,1946-1969,body_sexuality_gender,282,282,408,1205,23.4025
ijpa,1946-1969,language_narrative_symbolization,333,333,444,1205,27.6349
ijpa,1946-1969,culture_race_social_ethics,233,233,300,1205,19.3361
ijpa,1946-1969,empirical_research_measurement,200,200,252,1205,16.5975
ijpa,1946-1969,history_theory_schools,523,523,948,1205,43.4025
ijpa,1970-1989,drive_conflict_defense,475,475,1134,915,51.9126
ijpa,1970-1989,dream_fantasy_unconscious,369,369,640,915,40.3279
ijpa,1970-1989,ego_self_narcissism,469,469,917,915,51.2568
ijpa,1970-1989,object_relations,392,392,990,915,42.8415
ijpa,1970-1989,kleinian_bionian,46,46,73,915,5.0273
ijpa,1970-1989,winnicottian_environment_holding,189,189,211,915,20.6557
ijpa,1970-1989,attachment_development_infant,410,410,707,915,44.8087
ijpa,1970-1989,transference_countertransference,224,224,330,915,24.4809
ijpa,1970-1989,technique_interpretation_process,254,254,395,915,27.7596
ijpa,1970-1989,relational_intersubjective_field,296,296,420,915,32.3497
ijpa,1970-1989,trauma_dissociation_affect_regulation,310,310,433,915,33.8798
ijpa,1970-1989,psychosis_borderline_primitive_states,166,166,203,915,18.1421
ijpa,1970-1989,body_sexuality_gender,194,194,310,915,21.2022
ijpa,1970-1989,language_narrative_symbolization,244,244,308,915,26.6667
ijpa,1970-1989,culture_race_social_ethics,122,122,162,915,13.3333
ijpa,1970-1989,empirical_research_measurement,117,117,140,915,12.7869
ijpa,1970-1989,history_theory_schools,354,354,659,915,38.6885
ijpa,1990-2009,drive_conflict_defense,481,481,879,1396,34.4556
ijpa,1990-2009,dream_fantasy_unconscious,524,524,853,1396,37.5358
ijpa,1990-2009,ego_self_narcissism,532,532,775,1396,38.1089
ijpa,1990-2009,object_relations,484,484,996,1396,34.6705
ijpa,1990-2009,kleinian_bionian,148,148,237,1396,10.6017
ijpa,1990-2009,winnicottian_environment_holding,222,222,251,1396,15.9026
ijpa,1990-2009,attachment_development_infant,452,452,694,1396,32.3782
ijpa,1990-2009,transference_countertransference,374,374,655,1396,26.7908
ijpa,1990-2009,technique_interpretation_process,468,468,674,1396,33.5244
ijpa,1990-2009,relational_intersubjective_field,485,485,724,1396,34.7421
ijpa,1990-2009,trauma_dissociation_affect_regulation,460,460,632,1396,32.9513
ijpa,1990-2009,psychosis_borderline_primitive_states,147,147,184,1396,10.5301
