semantic_family,n_mapped_terms
attachment_development_infant,30
body_sexuality_gender,22
culture_race_social_ethics,15
dream_fantasy_unconscious,16
drive_conflict_defense,40
ego_self_narcissism,27
empirical_research_measurement,25
history_theory_schools,21
kleinian_bionian,6
language_narrative_symbolization,7
object_relations,31
psychosis_borderline_primitive_states,9
relational_intersubjective_field,24
technique_interpretation_process,11
transference_countertransference,10
trauma_dissociation_affect_regulation,9
winnicottian_environment_holding,7
