level,journal_key,period,semantic_family,pct,n_articles
global,,,drive_conflict_defense,35.0871,4268
global,,,dream_fantasy_unconscious,18.9822,2309
global,,,ego_self_narcissism,19.344,2353
global,,,object_relations,19.3851,2358
global,,,kleinian_bionian,5.6971,693
global,,,winnicottian_environment_holding,2.5321,308
global,,,attachment_development_infant,20.1003,2445
global,,,transference_countertransference,18.8918,2298
global,,,technique_interpretation_process,19.9523,2427
global,,,relational_intersubjective_field,22.4844,2735
global,,,trauma_dissociation_affect_regulation,16.6968,2031
global,,,psychosis_borderline_primitive_states,6.5192,793
global,,,body_sexuality_gender,15.5623,1893
global,,,language_narrative_symbolization,15.5788,1895
global,,,culture_race_social_ethics,9.002,1095
global,,,empirical_research_measurement,10.9586,1333
global,,,history_theory_schools,4.9819,606
period,,1920-1945,drive_conflict_defense,43.4402,298
period,,1920-1945,dream_fantasy_unconscious,23.1778,159
period,,1920-1945,ego_self_narcissism,11.0787,76
period,,1920-1945,object_relations,14.4315,99
period,,1920-1945,kleinian_bionian,4.3732,30
period,,1920-1945,winnicottian_environment_holding,3.4985,24
period,,1920-1945,attachment_development_infant,24.9271,171
period,,1920-1945,transference_countertransference,5.8309,40
period,,1920-1945,technique_interpretation_process,18.0758,124
period,,1920-1945,relational_intersubjective_field,5.6851,39
period,,1920-1945,trauma_dissociation_affect_regulation,8.6006,59
period,,1920-1945,psychosis_borderline_primitive_states,3.9359,27
period,,1920-1945,body_sexuality_gender,26.5306,182
period,,1920-1945,language_narrative_symbolization,16.035,110
period,,1920-1945,culture_race_social_ethics,4.6647,32
period,,1920-1945,empirical_research_measurement,7.5802,52
period,,1920-1945,history_theory_schools,10.6414,73
period,,1946-1969,drive_conflict_defense,50.6598,883
period,,1946-1969,dream_fantasy_unconscious,27.6535,482
period,,1946-1969,ego_self_narcissism,28.8583,503
period,,1946-1969,object_relations,26.1618,456
period,,1946-1969,kleinian_bionian,4.2456,74
period,,1946-1969,winnicottian_environment_holding,4.8193,84
period,,1946-1969,attachment_development_infant,26.6781,465
period,,1946-1969,transference_countertransference,18.0149,314
period,,1946-1969,technique_interpretation_process,24.4406,426
period,,1946-1969,relational_intersubjective_field,14.2857,249
period,,1946-1969,trauma_dissociation_affect_regulation,14.5152,253
period,,1946-1969,psychosis_borderline_primitive_states,9.3517,163
period,,1946-1969,body_sexuality_gender,16.5806,289
period,,1946-1969,language_narrative_symbolization,17.8428,311
period,,1946-1969,culture_race_social_ethics,4.4177,77
period,,1946-1969,empirical_research_measurement,9.0648,158
period,,1946-1969,history_theory_schools,10.7286,187
period,,1970-1989,drive_conflict_defense,49.1468,864
period,,1970-1989,dream_fantasy_unconscious,24.4596,430
period,,1970-1989,ego_self_narcissism,30.3185,533
period,,1970-1989,object_relations,27.4175,482
period,,1970-1989,kleinian_bionian,3.0148,53
period,,1970-1989,winnicottian_environment_holding,2.6735,47
period,,1970-1989,attachment_development_infant,23.777,418
period,,1970-1989,transference_countertransference,22.2412,391
period,,1970-1989,technique_interpretation_process,21.1604,372
