journal_key,period,drive_conflict_defense,dream_fantasy_unconscious,ego_self_narcissism,object_relations,kleinian_bionian,winnicottian_environment_holding,attachment_development_infant,transference_countertransference,technique_interpretation_process,relational_intersubjective_field,trauma_dissociation_affect_regulation,psychosis_borderline_primitive_states,body_sexuality_gender,language_narrative_symbolization,culture_race_social_ethics,empirical_research_measurement,history_theory_schools,classical_drive_conflict_index,classical_metapsychology_index,object_relations_tradition_index,relational_shift_index,relational_process_index,contemporary_contextualization_index,social_ethical_turn_index,trauma_affect_regulation_index,clinical_severity_continuity_index,developmental_attachment_index,body_sexuality_gender_index,language_narrative_index,narrative_reframing_index,research_psychology_index,relational_to_drive_conflict_ratio,contemporary_to_classical_ratio,contextualization_minus_classical_metapsychology,culture_plus_trauma_index
ijpa,1920-1945,43.4402,23.1778,11.0787,14.4315,4.3732,3.4985,24.9271,5.8309,18.0758,5.6851,8.6006,3.9359,26.5306,16.035,4.6647,7.5802,10.6414,43.4402,90.5247,22.3032,-37.7551,29.5918,18.9504,4.6647,8.6006,37.4636,24.9271,26.5306,16.035,-17.0554,7.5802,0.1309,0.2093,-71.5743,13.2653
ijpa,1946-1969,52.3651,27.1369,28.5477,28.5477,5.9751,5.8921,27.7178,18.6722,25.9751,15.8506,15.9336,10.6224,16.3485,19.5851,4.6473,10.1245,11.4523,52.3651,124.1493,40.4149,-36.5145,60.4979,36.4315,4.6473,15.9336,54.2738,27.7178,16.3485,19.5851,-12.2821,10.1245,0.3027,0.2934,-87.7178,20.5809
ijpa,1970-1989,51.9126,27.2131,31.9126,31.3661,5.0273,3.388,24.2623,24.4809,21.7486,14.2077,16.5027,12.5683,15.6284,19.4536,3.7158,8.5246,6.776,51.9126,125.3552,39.7814,-37.7049,60.4372,34.4262,3.7158,16.5027,53.3333,24.2623,15.6284,19.4536,-14.5355,8.5246,0.2737,0.2746,-90.929,20.2185
ijpa,1990-2009,34.4556,23.4957,16.3324,23.4241,10.6017,2.3639,14.5415,26.7908,25.2149,17.1203,15.7593,6.8052,14.1117,17.6218,6.3754,7.8797,3.8682,34.4556,109.957,36.3897,-17.3353,69.126,39.255,6.3754,15.7593,37.106,14.5415,14.1117,17.6218,6.6619,7.8797,0.4969,0.357,-70.702,22.1347
ijpa,2010-2025,32.3505,18.5913,15.6429,20.8026,13.5954,2.1294,16.1343,20.3112,21.1302,17.3628,15.0696,6.6339,13.5135,18.2637,13.8411,5.733,6.3882,32.3505,92.3832,36.5274,-14.9877,58.8042,46.2735,13.8411,15.0696,37.8378,16.1343,13.5135,18.2637,17.1171,5.733,0.5367,0.5009,-46.1097,28.9107
japa,1946-1969,46.8401,28.8104,29.5539,20.8178,0.3717,2.4164,24.3494,16.5428,21.0037,10.7807,11.3383,6.5056,17.1004,13.9405,3.9033,6.6914,9.1078,46.8401,113.197,23.6059,-36.0594,48.3272,26.0223,3.9033,11.3383,42.1933,24.3494,17.1004,13.9405,-18.2156,6.6914,0.2302,0.2299,-87.1747,15.2416
japa,1970-1989,48.7518,24.2291,30.5433,22.467,0.7342,2.0558,23.348,19.6769,22.3201,10.8664,11.0132,5.1395,14.0969,11.0132,1.7621,9.1043,4.1116,48.7518,114.9779,25.257,-37.8854,52.8634,23.6417,1.7621,11.0132,39.5007,23.348,14.0969,11.0132,-25.1101,9.1043,0.2229,0.2056,-91.3362,12.7753
japa,1990-2009,36.1026,19.6923,13.3333,13.4359,1.7436,1.8462,19.0769,20.5128,24.5128,19.6923,13.5385,3.5897,14.9744,14.7692,5.5385,15.2821,4.1026,36.1026,100.8205,17.0257,-16.4103,64.7179,38.7693,5.5385,13.5385,36.2051,19.0769,14.9744,14.7692,3.8974,15.2821,0.5455,0.3845,-62.0512,19.077
japa,2010-2025,23.8356,15.2055,11.2329,12.3288,4.5205,1.7808,13.9726,13.6986,16.7123,20.274,13.4247,3.6986,11.5068,20.274,12.1918,12.1918,3.4247,23.8356,69.452,18.6301,-3.5616,50.6849,45.8905,12.1918,13.4247,31.0959,13.9726,11.5068,20.274,28.9042,12.1918,0.8506,0.6608,-23.5615,25.6165
psychoanalytic_dialogues,1990-2009,21.3084,14.7664,18.8785,12.8972,4.8598,2.4299,13.6449,28.2243,23.3645,51.7757,19.0654,1.1215,18.5047,14.0187,11.7757,3.3645,0.7477,21.3084,87.6636,20.1869,30.4673,103.3645,82.6168,11.7757,19.0654,33.8318,13.6449,18.5047,14.0187,56.2617,3.3645,2.4298,0.9424,-5.0468,30.8411
psychoanalytic_dialogues,2010-2025,17.3538,10.4506,18.6961,13.1352,5.7526,1.7258,18.2167,15.5321,11.8888,53.9789,34.5158,2.1093,20.5177,15.9156,25.8869,5.5609,0.9588,17.3538,55.2253,20.6136,36.6251,81.3998,114.3816,25.8869,34.5158,54.8418,18.2167,20.5177,15.9156,78.4276,5.5609,3.1105,2.0712,59.1563,60.4027
