panel,index,n_journals,n_increase,n_decrease,n_no_change,pct_increase,pct_decrease,dominant_direction,direction_consistency_flag
all_available_per_journal,classical_drive_conflict_index,5,0,5,0,0.0,100.0,decrease,high_consistency
all_available_per_journal,classical_metapsychology_index,5,1,4,0,20.0,80.0,decrease,high_consistency
all_available_per_journal,object_relations_tradition_index,5,2,3,0,40.0,60.0,decrease,moderate_consistency
all_available_per_journal,relational_shift_index,5,5,0,0,100.0,0.0,increase,high_consistency
all_available_per_journal,relational_process_index,5,3,2,0,60.0,40.0,increase,moderate_consistency
all_available_per_journal,contemporary_contextualization_index,5,5,0,0,100.0,0.0,increase,high_consistency
all_available_per_journal,social_ethical_turn_index,5,5,0,0,100.0,0.0,increase,high_consistency
all_available_per_journal,trauma_affect_regulation_index,5,5,0,0,100.0,0.0,increase,high_consistency
all_available_per_journal,clinical_severity_continuity_index,5,4,1,0,80.0,20.0,increase,high_consistency
all_available_per_journal,developmental_attachment_index,5,2,3,0,40.0,60.0,decrease,moderate_consistency
all_available_per_journal,body_sexuality_gender_index,5,3,2,0,60.0,40.0,increase,moderate_consistency
all_available_per_journal,language_narrative_index,5,4,1,0,80.0,20.0,increase,high_consistency
all_available_per_journal,narrative_reframing_index,5,5,0,0,100.0,0.0,increase,high_consistency
all_available_per_journal,research_psychology_index,5,4,1,0,80.0,20.0,increase,high_consistency
common_period_panel,classical_drive_conflict_index,5,0,5,0,0.0,100.0,decrease,high_consistency
common_period_panel,classical_metapsychology_index,5,0,5,0,0.0,100.0,decrease,high_consistency
common_period_panel,object_relations_tradition_index,5,1,4,0,20.0,80.0,decrease,high_consistency
common_period_panel,relational_shift_index,5,5,0,0,100.0,0.0,increase,high_consistency
common_period_panel,relational_process_index,5,1,4,0,20.0,80.0,decrease,high_consistency
common_period_panel,contemporary_contextualization_index,5,5,0,0,100.0,0.0,increase,high_consistency
common_period_panel,social_ethical_turn_index,5,5,0,0,100.0,0.0,increase,high_consistency
common_period_panel,trauma_affect_regulation_index,5,4,1,0,80.0,20.0,increase,high_consistency
common_period_panel,clinical_severity_continuity_index,5,3,2,0,60.0,40.0,increase,moderate_consistency
common_period_panel,developmental_attachment_index,5,2,3,0,40.0,60.0,decrease,moderate_consistency
common_period_panel,body_sexuality_gender_index,5,3,2,0,60.0,40.0,increase,moderate_consistency
common_period_panel,language_narrative_index,5,3,2,0,60.0,40.0,increase,moderate_consistency
common_period_panel,narrative_reframing_index,5,5,0,0,100.0,0.0,increase,high_consistency
common_period_panel,research_psychology_index,5,4,1,0,80.0,20.0,increase,high_consistency
long_journal_panel,classical_drive_conflict_index,2,0,2,0,0.0,100.0,decrease,high_consistency
long_journal_panel,classical_metapsychology_index,2,1,1,0,50.0,50.0,mixed_or_tied,high_consistency
long_journal_panel,object_relations_tradition_index,2,1,1,0,50.0,50.0,mixed_or_tied,high_consistency
long_journal_panel,relational_shift_index,2,2,0,0,100.0,0.0,increase,high_consistency
long_journal_panel,relational_process_index,2,2,0,0,100.0,0.0,increase,high_consistency
long_journal_panel,contemporary_contextualization_index,2,2,0,0,100.0,0.0,increase,high_consistency
long_journal_panel,social_ethical_turn_index,2,2,0,0,100.0,0.0,increase,high_consistency
long_journal_panel,trauma_affect_regulation_index,2,2,0,0,100.0,0.0,increase,high_consistency
long_journal_panel,clinical_severity_continuity_index,2,1,1,0,50.0,50.0,mixed_or_tied,high_consistency
long_journal_panel,developmental_attachment_index,2,0,2,0,0.0,100.0,decrease,high_consistency
long_journal_panel,body_sexuality_gender_index,2,0,2,0,0.0,100.0,decrease,high_consistency
long_journal_panel,language_narrative_index,2,2,0,0,100.0,0.0,increase,high_consistency
long_journal_panel,narrative_reframing_index,2,2,0,0,100.0,0.0,increase,high_consistency
long_journal_panel,research_psychology_index,2,1,1,0,50.0,50.0,mixed_or_tied,high_consistency
post1990_panel,classical_drive_conflict_index,5,0,5,0,0.0,100.0,decrease,high_consistency
post1990_panel,classical_metapsychology_index,5,0,5,0,0.0,100.0,decrease,high_consistency
post1990_panel,object_relations_tradition_index,5,3,2,0,60.0,40.0,increase,moderate_consistency
post1990_panel,relational_shift_index,5,5,0,0,100.0,0.0,increase,high_consistency
post1990_panel,relational_process_index,5,1,4,0,20.0,80.0,decrease,high_consistency
post1990_panel,contemporary_contextualization_index,5,5,0,0,100.0,0.0,increase,high_consistency
post1990_panel,social_ethical_turn_index,5,5,0,0,100.0,0.0,increase,high_consistency
post1990_panel,trauma_affect_regulation_index,5,3,2,0,60.0,40.0,increase,moderate_consistency
post1990_panel,clinical_severity_continuity_index,5,4,1,0,80.0,20.0,increase,high_consistency
post1990_panel,developmental_attachment_index,5,4,1,0,80.0,20.0,increase,high_consistency
post1990_panel,body_sexuality_gender_index,5,2,3,0,40.0,60.0,decrease,moderate_consistency
post1990_panel,language_narrative_index,5,4,1,0,80.0,20.0,increase,high_consistency
post1990_panel,narrative_reframing_index,5,5,0,0,100.0,0.0,increase,high_consistency
post1990_panel,research_psychology_index,5,3,2,0,60.0,40.0,increase,moderate_consistency
