panel,journal_key,first_period,last_period,n_periods_compared,classical_drive_conflict_index_first,classical_drive_conflict_index_last,classical_drive_conflict_index_change,classical_metapsychology_index_first,classical_metapsychology_index_last,classical_metapsychology_index_change,object_relations_tradition_index_first,object_relations_tradition_index_last,object_relations_tradition_index_change,relational_shift_index_first,relational_shift_index_last,relational_shift_index_change,relational_process_index_first,relational_process_index_last,relational_process_index_change,contemporary_contextualization_index_first,contemporary_contextualization_index_last,contemporary_contextualization_index_change,social_ethical_turn_index_first,social_ethical_turn_index_last,social_ethical_turn_index_change,trauma_affect_regulation_index_first,trauma_affect_regulation_index_last,trauma_affect_regulation_index_change,clinical_severity_continuity_index_first,clinical_severity_continuity_index_last,clinical_severity_continuity_index_change,developmental_attachment_index_first,developmental_attachment_index_last,developmental_attachment_index_change,body_sexuality_gender_index_first,body_sexuality_gender_index_last,body_sexuality_gender_index_change,language_narrative_index_first,language_narrative_index_last,language_narrative_index_change,narrative_reframing_index_first,narrative_reframing_index_last,narrative_reframing_index_change,research_psychology_index_first,research_psychology_index_last,research_psychology_index_change
all_available_per_journal,ijpa,1920-1945,2010-2025,5,43.4402,32.3505,-11.0897,90.5247,92.3832,1.8585,22.3032,36.5274,14.2242,-37.7551,-14.9877,22.7674,29.5918,58.8042,29.2124,18.9504,46.2735,27.3231,4.6647,13.8411,9.1764,8.6006,15.0696,6.469,37.4636,37.8378,0.3742,24.9271,16.1343,-8.7928,26.5306,13.5135,-13.0171,16.035,18.2637,2.2287,-17.0554,17.1171,34.1725,7.5802,5.733,-1.8472
all_available_per_journal,japa,1946-1969,2010-2025,4,46.8401,23.8356,-23.0045,113.197,69.452,-43.745,23.6059,18.6301,-4.9758,-36.0594,-3.5616,32.4978,48.3272,50.6849,2.3577,26.0223,45.8905,19.8682,3.9033,12.1918,8.2885,11.3383,13.4247,2.0864,42.1933,31.0959,-11.0974,24.3494,13.9726,-10.3768,17.1004,11.5068,-5.5936,13.9405,20.274,6.3335,-18.2156,28.9042,47.1198,6.6914,12.1918,5.5004
all_available_per_journal,psychoanalytic_dialogues,1990-2009,2010-2025,2,21.3084,17.3538,-3.9546,87.6636,55.2253,-32.4383,20.1869,20.6136,0.4267,30.4673,36.6251,6.1578,103.3645,81.3998,-21.9647,82.6168,114.3816,31.7648,11.7757,25.8869,14.1112,19.0654,34.5158,15.4504,33.8318,54.8418,21.01,13.6449,18.2167,4.5718,18.5047,20.5177,2.013,14.0187,15.9156,1.8969,56.2617,78.4276,22.1659,3.3645,5.5609,2.1964
all_available_per_journal,psychoanalytic_psychology,1970-1989,2010-2025,3,35.7724,22.5962,-13.1762,82.9269,55.1283,-27.7986,28.4553,15.3846,-13.0707,-7.3171,8.8141,16.1312,65.8537,56.5706,-9.2831,49.5936,66.827,17.2334,5.6911,12.8205,7.1294,15.4472,22.5962,7.149,49.5935,50.4808,0.8873,21.9512,22.7564,0.8052,12.1951,12.8205,0.6254,13.0081,10.5769,-2.4312,11.3821,32.2115,20.8294,15.4472,29.0064,13.5592
all_available_per_journal,psychoanalytic_psychotherapy,1970-1989,2010-2025,3,33.3333,19.6759,-13.6574,64.1025,48.3796,-15.7229,28.2051,20.1389,-8.0662,-17.9487,8.5648,26.5135,35.8974,51.8518,15.9544,17.9487,61.5741,43.6254,0.0,15.2778,15.2778,2.5641,18.0556,15.4915,43.5897,49.3056,5.7159,25.641,20.6019,-5.0391,5.1282,11.3426,6.2144,0.0,8.3333,8.3333,-17.9487,32.1759,50.1246,12.8205,29.1667,16.3462
long_journal_panel,ijpa,1920-1945,2010-2025,5,43.4402,32.3505,-11.0897,90.5247,92.3832,1.8585,22.3032,36.5274,14.2242,-37.7551,-14.9877,22.7674,29.5918,58.8042,29.2124,18.9504,46.2735,27.3231,4.6647,13.8411,9.1764,8.6006,15.0696,6.469,37.4636,37.8378,0.3742,24.9271,16.1343,-8.7928,26.5306,13.5135,-13.0171,16.035,18.2637,2.2287,-17.0554,17.1171,34.1725,7.5802,5.733,-1.8472
long_journal_panel,japa,1946-1969,2010-2025,4,46.8401,23.8356,-23.0045,113.197,69.452,-43.745,23.6059,18.6301,-4.9758,-36.0594,-3.5616,32.4978,48.3272,50.6849,2.3577,26.0223,45.8905,19.8682,3.9033,12.1918,8.2885,11.3383,13.4247,2.0864,42.1933,31.0959,-11.0974,24.3494,13.9726,-10.3768,17.1004,11.5068,-5.5936,13.9405,20.274,6.3335,-18.2156,28.9042,47.1198,6.6914,12.1918,5.5004
common_period_panel,ijpa,1970-1989,2010-2025,3,51.9126,32.3505,-19.5621,125.3552,92.3832,-32.972,39.7814,36.5274,-3.254,-37.7049,-14.9877,22.7172,60.4372,58.8042,-1.633,34.4262,46.2735,11.8473,3.7158,13.8411,10.1253,16.5027,15.0696,-1.4331,53.3333,37.8378,-15.4955,24.2623,16.1343,-8.128,15.6284,13.5135,-2.1149,19.4536,18.2637,-1.1899,-14.5355,17.1171,31.6526,8.5246,5.733,-2.7916
common_period_panel,japa,1970-1989,2010-2025,3,48.7518,23.8356,-24.9162,114.9779,69.452,-45.5259,25.257,18.6301,-6.6269,-37.8854,-3.5616,34.3238,52.8634,50.6849,-2.1785,23.6417,45.8905,22.2488,1.7621,12.1918,10.4297,11.0132,13.4247,2.4115,39.5007,31.0959,-8.4048,23.348,13.9726,-9.3754,14.0969,11.5068,-2.5901,11.0132,20.274,9.2608,-25.1101,28.9042,54.0143,9.1043,12.1918,3.0875
common_period_panel,psychoanalytic_dialogues,1990-2009,2010-2025,2,21.3084,17.3538,-3.9546,87.6636,55.2253,-32.4383,20.1869,20.6136,0.4267,30.4673,36.6251,6.1578,103.3645,81.3998,-21.9647,82.6168,114.3816,31.7648,11.7757,25.8869,14.1112,19.0654,34.5158,15.4504,33.8318,54.8418,21.01,13.6449,18.2167,4.5718,18.5047,20.5177,2.013,14.0187,15.9156,1.8969,56.2617,78.4276,22.1659,3.3645,5.5609,2.1964
