index,n_journals,n_increase,n_decrease,n_no_change,pct_increase,pct_decrease,dominant_direction,direction_consistency_flag
classical_drive_conflict_index,5,0,5,0,0.0,100.0,decrease,high_consistency
classical_metapsychology_index,5,1,4,0,20.0,80.0,decrease,high_consistency
object_relations_tradition_index,5,2,3,0,40.0,60.0,decrease,moderate_consistency
relational_shift_index,5,5,0,0,100.0,0.0,increase,high_consistency
relational_process_index,5,3,2,0,60.0,40.0,increase,moderate_consistency
contemporary_contextualization_index,5,5,0,0,100.0,0.0,increase,high_consistency
social_ethical_turn_index,5,5,0,0,100.0,0.0,increase,high_consistency
trauma_affect_regulation_index,5,5,0,0,100.0,0.0,increase,high_consistency
clinical_severity_continuity_index,5,4,1,0,80.0,20.0,increase,high_consistency
developmental_attachment_index,5,2,3,0,40.0,60.0,decrease,moderate_consistency
body_sexuality_gender_index,5,3,2,0,60.0,40.0,increase,moderate_consistency
language_narrative_index,5,4,1,0,80.0,20.0,increase,high_consistency
narrative_reframing_index,5,5,0,0,100.0,0.0,increase,high_consistency
research_psychology_index,5,4,1,0,80.0,20.0,increase,high_consistency
