distinctiveness_rank,journal_key,period,classical_drive_conflict_index,classical_metapsychology_index,object_relations_tradition_index,relational_shift_index,relational_process_index,contemporary_contextualization_index,social_ethical_turn_index,trauma_affect_regulation_index,clinical_severity_continuity_index,developmental_attachment_index,body_sexuality_gender_index,language_narrative_index,narrative_reframing_index,research_psychology_index,global_classical_drive_conflict_index,global_classical_metapsychology_index,global_object_relations_tradition_index,global_relational_shift_index,global_relational_process_index,global_contemporary_contextualization_index,global_social_ethical_turn_index,global_trauma_affect_regulation_index,global_clinical_severity_continuity_index,global_developmental_attachment_index,global_body_sexuality_gender_index,global_language_narrative_index,global_narrative_reframing_index,global_research_psychology_index,delta_from_global_classical_drive_conflict_index,delta_from_global_classical_metapsychology_index,delta_from_global_object_relations_tradition_index,delta_from_global_relational_shift_index,delta_from_global_relational_process_index,delta_from_global_contemporary_contextualization_index,delta_from_global_social_ethical_turn_index,delta_from_global_trauma_affect_regulation_index,delta_from_global_clinical_severity_continuity_index,delta_from_global_developmental_attachment_index,delta_from_global_body_sexuality_gender_index,delta_from_global_language_narrative_index,delta_from_global_narrative_reframing_index,delta_from_global_research_psychology_index,mean_abs_focus_deviation,mean_signed_focus_deviation
1,psychoanalytic_dialogues,2010-2025,17.3538,55.2253,20.6136,36.6251,81.3998,114.3816,25.8869,34.5158,54.8418,18.2167,20.5177,15.9156,78.4276,5.5609,24.0988,68.2469,24.1976,6.5432,62.0741,68.5433,16.642,21.2593,44.1729,17.7778,14.6173,15.7778,38.963,12.9383,-6.745,-13.0216,-3.584,30.0819,19.3257,45.8383,9.2449,13.2565,10.6689,0.4389,5.9004,0.1378,39.4646,-7.3774,20.6288,13.8428
2,psychoanalytic_dialogues,1990-2009,21.3084,87.6636,20.1869,30.4673,103.3645,82.6168,11.7757,19.0654,33.8318,13.6449,18.5047,14.0187,56.2617,3.3645,31.7545,95.62,26.2286,-7.2829,69.9261,46.6514,6.5954,15.5844,38.3753,17.0868,14.6168,14.413,13.7255,11.0772,-10.4461,-7.9564,-6.0417,37.7502,33.4384,35.9654,5.1803,3.481,-4.5435,-3.4419,3.8879,-0.3943,42.5362,-7.7127,18.8785,12.3497
3,psychoanalytic_psychology,1970-1989,35.7724,82.9269,28.4553,-7.3171,65.8537,49.5936,5.6911,15.4472,49.5935,21.9512,12.1951,13.0081,11.3821,15.4472,49.1468,117.008,33.1058,-35.2105,57.3379,30.9443,3.0148,13.9932,47.4972,23.777,14.562,15.3015,-16.8942,9.3288,-13.3744,-34.0811,-4.6505,27.8934,8.5158,18.6493,2.6763,1.454,2.0963,-1.8258,-2.3669,-2.2934,28.2763,6.1184,16.5654,4.7015
4,psychoanalytic_psychotherapy,1970-1989,33.3333,64.1025,28.2051,-17.9487,35.8974,17.9487,0.0,2.5641,43.5897,25.641,5.1282,0.0,-17.9487,12.8205,49.1468,117.008,33.1058,-35.2105,57.3379,30.9443,3.0148,13.9932,47.4972,23.777,14.562,15.3015,-16.8942,9.3288,-15.8135,-52.9055,-4.9007,17.2618,-21.4405,-12.9956,-3.0148,-11.4291,-3.9075,1.864,-9.4338,-15.3015,-1.0545,3.4917,14.7458,-9.5574
5,ijpa,2010-2025,32.3505,92.3832,36.5274,-14.9877,58.8042,46.2735,13.8411,15.0696,37.8378,16.1343,13.5135,18.2637,17.1171,5.733,24.0988,68.2469,24.1976,6.5432,62.0741,68.5433,16.642,21.2593,44.1729,17.7778,14.6173,15.7778,38.963,12.9383,8.2517,24.1363,12.3298,-21.5309,-3.2699,-22.2698,-2.8009,-6.1897,-6.3351,-1.6435,-1.1038,2.4859,-21.8459,-7.2053,14.2788,-6.1818
6,psychoanalytic_psychotherapy,1990-2009,24.0602,58.3961,28.3208,-9.2732,42.356,32.0803,6.2657,11.0276,45.3635,19.5489,7.7694,6.015,3.0075,16.2907,31.7545,95.62,26.2286,-7.2829,69.9261,46.6514,6.5954,15.5844,38.3753,17.0868,14.6168,14.413,13.7255,11.0772,-7.6943,-37.2239,2.0922,-1.9903,-27.5701,-14.5711,-0.3297,-4.5568,6.9882,2.4621,-6.8474,-8.398,-10.718,5.2135,10.2872,-8.9838
7,psychoanalytic_psychotherapy,2010-2025,19.6759,48.3796,20.1389,8.5648,51.8518,61.5741,15.2778,18.0556,49.3056,20.6019,11.3426,8.3333,32.1759,29.1667,24.0988,68.2469,24.1976,6.5432,62.0741,68.5433,16.642,21.2593,44.1729,17.7778,14.6173,15.7778,38.963,12.9383,-4.4229,-19.8673,-4.0587,2.0216,-10.2223,-6.9692,-1.3642,-3.2037,5.1327,2.8241,-3.2747,-7.4445,-6.7871,16.2284,7.608,-3.0455
8,japa,2010-2025,23.8356,69.452,18.6301,-3.5616,50.6849,45.8905,12.1918,13.4247,31.0959,13.9726,11.5068,20.274,28.9042,12.1918,24.0988,68.2469,24.1976,6.5432,62.0741,68.5433,16.642,21.2593,44.1729,17.7778,14.6173,15.7778,38.963,12.9383,-0.2632,1.2051,-5.5675,-10.1048,-11.3892,-22.6528,-4.4502,-7.8346,-13.077,-3.8052,-3.1105,4.4962,-10.0588,-0.7465,7.1645,-6.8632
9,psychoanalytic_psychology,2010-2025,22.5962,55.1283,15.3846,8.8141,56.5706,66.827,12.8205,22.5962,50.4808,22.7564,12.8205,10.5769,32.2115,29.0064,24.0988,68.2469,24.1976,6.5432,62.0741,68.5433,16.642,21.2593,44.1729,17.7778,14.6173,15.7778,38.963,12.9383,-1.5026,-13.1186,-8.813,2.2709,-5.5035,-1.7163,-3.8215,1.3369,6.3079,4.9786,-1.7968,-5.2009,-6.7515,16.0681,5.8233,-0.9043
10,ijpa,1990-2009,34.4556,109.957,36.3897,-17.3353,69.126,39.255,6.3754,15.7593,37.106,14.5415,14.1117,17.6218,6.6619,7.8797,31.7545,95.62,26.2286,-7.2829,69.9261,46.6514,6.5954,15.5844,38.3753,17.0868,14.6168,14.413,13.7255,11.0772,2.7011,14.337,10.1611,-10.0524,-0.8001,-7.3964,-0.22,0.1749,-1.2693,-2.5453,-0.5051,3.2088,-7.0636,-3.1975,5.6429,-1.3396
11,japa,1990-2009,36.1026,100.8205,17.0257,-16.4103,64.7179,38.7693,5.5385,13.5385,36.2051,19.0769,14.9744,14.7692,3.8974,15.2821,31.7545,95.62,26.2286,-7.2829,69.9261,46.6514,6.5954,15.5844,38.3753,17.0868,14.6168,14.413,13.7255,11.0772,4.3481,5.2005,-9.2029,-9.1274,-5.2082,-7.8821,-1.0569,-2.0459,-2.1702,1.9901,0.3576,0.3562,-9.8281,4.2049,5.4617,-2.0234
12,psychoanalytic_psychology,1990-2009,32.7974,86.0129,21.7042,-1.6077,68.8103,54.0193,4.5016,18.328,44.0515,21.0611,16.2379,12.3794,15.2733,14.9518,31.7545,95.62,26.2286,-7.2829,69.9261,46.6514,6.5954,15.5844,38.3753,17.0868,14.6168,14.413,13.7255,11.0772,1.0429,-9.6071,-4.5244,5.6752,-1.1158,7.3679,-2.0938,2.7436,5.6762,3.9743,1.6211,-2.0336,1.5478,3.8746,4.2441,1.3189
13,japa,1946-1969,46.8401,113.197,23.6059,-36.0594,48.3272,26.0223,3.9033,11.3383,42.1933,24.3494,17.1004,13.9405,-18.2156,6.6914,50.6598,120.7688,35.2267,-36.3741,56.7412,33.2186,4.4177,14.5152,50.545,26.6781,16.5806,17.8428,-14.1136,9.0648,-3.8197,-7.5718,-11.6208,0.3147,-8.414,-7.1963,-0.5144,-3.1769,-8.3517,-2.3287,0.5198,-3.9023,-4.102,-2.3734,3.6336,-3.555
14,japa,1970-1989,48.7518,114.9779,25.257,-37.8854,52.8634,23.6417,1.7621,11.0132,39.5007,23.348,14.0969,11.0132,-25.1101,9.1043,49.1468,117.008,33.1058,-35.2105,57.3379,30.9443,3.0148,13.9932,47.4972,23.777,14.562,15.3015,-16.8942,9.3288,-0.395,-2.0301,-7.8488,-2.6749,-4.4745,-7.3026,-1.2527,-2.98,-7.9965,-0.429,-0.4651,-4.2883,-8.2159,-0.2245,3.1345,-3.1345
15,ijpa,1970-1989,51.9126,125.3552,39.7814,-37.7049,60.4372,34.4262,3.7158,16.5027,53.3333,24.2623,15.6284,19.4536,-14.5355,8.5246,49.1468,117.008,33.1058,-35.2105,57.3379,30.9443,3.0148,13.9932,47.4972,23.777,14.562,15.3015,-16.8942,9.3288,2.7658,8.3472,6.6756,-2.4944,3.0993,3.4819,0.701,2.5095,5.8361,0.4853,1.0664,4.1521,2.3587,-0.8042,2.9328,2.1082
16,ijpa,1946-1969,52.3651,124.1493,40.4149,-36.5145,60.4979,36.4315,4.6473,15.9336,54.2738,27.7178,16.3485,19.5851,-12.2821,10.1245,50.6598,120.7688,35.2267,-36.3741,56.7412,33.2186,4.4177,14.5152,50.545,26.6781,16.5806,17.8428,-14.1136,9.0648,1.7053,3.3805,5.1882,-0.1404,3.7567,3.2129,0.2296,1.4184,3.7288,1.0397,-0.2321,1.7423,1.8315,1.0597,1.6223,1.5872
17,ijpa,1920-1945,43.4402,90.5247,22.3032,-37.7551,29.5918,18.9504,4.6647,8.6006,37.4636,24.9271,26.5306,16.035,-17.0554,7.5802,43.4402,90.5247,22.3032,-37.7551,29.5918,18.9504,4.6647,8.6006,37.4636,24.9271,26.5306,16.035,-17.0554,7.5802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
