impact_rank,semantic_family,n_articles_initial,pct_articles_initial,n_family_hits_initial,n_articles_refined,pct_articles_refined,n_articles_any_marker,pct_articles_any_marker,n_weak_only_rows,n_name_only_rows,delta_pct_refined_minus_initial,absolute_pct_drop,relative_retention_pct,n_articles_removed_by_refinement,marker_strength_impact_flag
1,history_theory_schools,3436,28.2473,3436,606,4.9819,3436,28.2473,0,2830,-23.2654,23.2654,17.64,2830,high_marker_strength_impact
2,ego_self_narcissism,4910,40.365,4910,2353,19.344,4910,40.365,2557,0,-21.021,21.021,47.92,2557,high_marker_strength_impact
3,attachment_development_infant,4630,38.0631,4630,2445,20.1003,4630,38.0631,2185,0,-17.9628,17.9628,52.81,2185,medium_marker_strength_impact
4,trauma_dissociation_affect_regulation,4036,33.1799,4036,2031,16.6968,4036,33.1799,2005,0,-16.4831,16.4831,50.32,2005,medium_marker_strength_impact
5,winnicottian_environment_holding,2056,16.9023,2056,308,2.5321,2050,16.853,1742,0,-14.3702,14.3702,14.98,1748,high_marker_strength_impact
6,relational_intersubjective_field,4409,36.2463,4409,2735,22.4844,4409,36.2463,1674,0,-13.7619,13.7619,62.03,1674,medium_marker_strength_impact
7,culture_race_social_ethics,2667,21.9254,2667,1095,9.002,2667,21.9254,1572,0,-12.9234,12.9234,41.06,1572,high_marker_strength_impact
8,dream_fantasy_unconscious,3844,31.6014,3844,2309,18.9822,3844,31.6014,1535,0,-12.6192,12.6192,60.07,1535,medium_marker_strength_impact
9,object_relations,3462,28.461,3462,2358,19.3851,3462,28.461,1104,0,-9.0759,9.0759,68.11,1104,medium_marker_strength_impact
10,language_narrative_symbolization,2838,23.3311,2838,1895,15.5788,2838,23.3311,943,0,-7.7523,7.7523,66.77,943,medium_marker_strength_impact
11,technique_interpretation_process,3138,25.7974,3138,2427,19.9523,3138,25.7974,711,0,-5.8451,5.8451,77.34,711,low_marker_strength_impact
12,body_sexuality_gender,2503,20.5771,2503,1893,15.5623,2503,20.5771,610,0,-5.0148,5.0148,75.63,610,low_marker_strength_impact
13,empirical_research_measurement,1803,14.8224,1803,1333,10.9586,1803,14.8224,470,0,-3.8638,3.8638,73.93,470,low_marker_strength_impact
14,psychosis_borderline_primitive_states,1196,9.8323,1196,793,6.5192,1196,9.8323,403,0,-3.3131,3.3131,66.3,403,medium_marker_strength_impact
15,drive_conflict_defense,4268,35.0871,4268,4268,35.0871,4268,35.0871,0,0,0.0,0.0,100.0,0,minimal_marker_strength_impact
16,kleinian_bionian,693,5.6971,693,693,5.6971,693,5.6971,0,0,0.0,0.0,100.0,0,minimal_marker_strength_impact
17,transference_countertransference,2298,18.8918,2298,2298,18.8918,2298,18.8918,0,0,0.0,0.0,100.0,0,minimal_marker_strength_impact
