journal_key,semantic_family,n_articles_initial,pct_articles_group_initial,n_articles_group_initial,n_articles_refined,pct_articles_group_refined,n_articles_group_refined,delta_pct_refined_minus_initial,absolute_pct_drop,relative_retention_pct
ijpa,drive_conflict_defense,2280,42.0431,5423,2280,42.0431,5423,0.0,0.0,100.0
ijpa,dream_fantasy_unconscious,2132,39.314,5423,1290,23.7876,5423,-15.5264,15.5264,60.51
ijpa,ego_self_narcissism,2230,41.1212,5423,1131,20.8556,5423,-20.2656,20.2656,50.72
ijpa,object_relations,1938,35.7367,5423,1311,24.1748,5423,-11.5619,11.5619,67.65
ijpa,kleinian_bionian,462,8.5193,5423,462,8.5193,5423,0.0,0.0,100.0
ijpa,winnicottian_environment_holding,1135,20.9294,5423,185,3.4114,5423,-17.518,17.518,16.3
ijpa,attachment_development_infant,2206,40.6786,5423,1127,20.7819,5423,-19.8967,19.8967,51.09
ijpa,transference_countertransference,1111,20.4868,5423,1111,20.4868,5423,0.0,0.0,100.0
ijpa,technique_interpretation_process,1584,29.2089,5423,1246,22.9762,5423,-6.2327,6.2327,78.66
ijpa,relational_intersubjective_field,1656,30.5366,5423,811,14.9548,5423,-15.5818,15.5818,48.97
ijpa,trauma_dissociation_affect_regulation,1779,32.8047,5423,806,14.8626,5423,-17.9421,17.9421,45.31
ijpa,psychosis_borderline_primitive_states,704,12.9817,5423,446,8.2242,5423,-4.7575,4.7575,63.35
ijpa,body_sexuality_gender,1217,22.4415,5423,884,16.3009,5423,-6.1406,6.1406,72.64
ijpa,language_narrative_symbolization,1465,27.0146,5423,993,18.3109,5423,-8.7037,8.7037,67.78
ijpa,culture_race_social_ethics,1058,19.5095,5423,380,7.0072,5423,-12.5023,12.5023,35.92
ijpa,empirical_research_measurement,674,12.4285,5423,432,7.9661,5423,-4.4624,4.4624,64.1
ijpa,history_theory_schools,2045,37.7098,5423,405,7.4682,5423,-30.2416,30.2416,19.8
japa,drive_conflict_defense,1110,37.9617,2924,1110,37.9617,2924,0.0,0.0,100.0
japa,dream_fantasy_unconscious,934,31.9425,2924,623,21.3064,2924,-10.6361,10.6361,66.7
japa,ego_self_narcissism,1152,39.3981,2924,579,19.8016,2924,-19.5965,19.5965,50.26
japa,object_relations,708,24.2134,2924,486,16.6211,2924,-7.5923,7.5923,68.64
japa,kleinian_bionian,57,1.9494,2924,57,1.9494,2924,0.0,0.0,100.0
japa,winnicottian_environment_holding,460,15.7319,2924,58,1.9836,2924,-13.7483,13.7483,12.61
japa,attachment_development_infant,1079,36.9015,2924,578,19.7674,2924,-17.1341,17.1341,53.57
japa,transference_countertransference,523,17.8865,2924,523,17.8865,2924,0.0,0.0,100.0
japa,technique_interpretation_process,765,26.1628,2924,626,21.409,2924,-4.7538,4.7538,81.83
japa,relational_intersubjective_field,817,27.9412,2924,472,16.1423,2924,-11.7989,11.7989,57.77
japa,trauma_dissociation_affect_regulation,846,28.933,2924,366,12.5171,2924,-16.4159,16.4159,43.26
japa,psychosis_borderline_primitive_states,216,7.3871,2924,132,4.5144,2924,-2.8727,2.8727,61.11
japa,body_sexuality_gender,531,18.1601,2924,418,14.2955,2924,-3.8646,3.8646,78.72
japa,language_narrative_symbolization,651,22.264,2924,442,15.1163,2924,-7.1477,7.1477,67.9
japa,culture_race_social_ethics,511,17.4761,2924,176,6.0192,2924,-11.4569,11.4569,34.44
japa,empirical_research_measurement,474,16.2107,2924,336,11.4911,2924,-4.7196,4.7196,70.89
japa,history_theory_schools,876,29.959,2924,142,4.8564,2924,-25.1026,25.1026,16.21
psychoanalytic_dialogues,drive_conflict_defense,295,18.6946,1578,295,18.6946,1578,0.0,0.0,100.0
psychoanalytic_dialogues,dream_fantasy_unconscious,371,23.5108,1578,188,11.9138,1578,-11.597,11.597,50.67
psychoanalytic_dialogues,ego_self_narcissism,748,47.4018,1578,296,18.7579,1578,-28.6439,28.6439,39.57
psychoanalytic_dialogues,object_relations,338,21.4195,1578,206,13.0545,1578,-8.365,8.365,60.95
psychoanalytic_dialogues,kleinian_bionian,86,5.4499,1578,86,5.4499,1578,0.0,0.0,100.0
psychoanalytic_dialogues,winnicottian_environment_holding,205,12.9911,1578,31,1.9645,1578,-11.0266,11.0266,15.12
psychoanalytic_dialogues,attachment_development_infant,550,34.8542,1578,263,16.6667,1578,-18.1875,18.1875,47.82
psychoanalytic_dialogues,transference_countertransference,313,19.8352,1578,313,19.8352,1578,0.0,0.0,100.0
psychoanalytic_dialogues,technique_interpretation_process,318,20.1521,1578,249,15.7795,1578,-4.3726,4.3726,78.3
psychoanalytic_dialogues,relational_intersubjective_field,1072,67.9341,1578,840,53.2319,1578,-14.7022,14.7022,78.36
psychoanalytic_dialogues,trauma_dissociation_affect_regulation,648,41.0646,1578,462,29.2776,1578,-11.787,11.787,71.3
psychoanalytic_dialogues,psychosis_borderline_primitive_states,49,3.1052,1578,28,1.7744,1578,-1.3308,1.3308,57.14
psychoanalytic_dialogues,body_sexuality_gender,399,25.2852,1578,313,19.8352,1578,-5.45,5.45,78.45
psychoanalytic_dialogues,language_narrative_symbolization,384,24.3346,1578,241,15.2725,1578,-9.0621,9.0621,62.76
psychoanalytic_dialogues,culture_race_social_ethics,604,38.2763,1578,333,21.1027,1578,-17.1736,17.1736,55.13
psychoanalytic_dialogues,empirical_research_measurement,93,5.8935,1578,76,4.8162,1578,-1.0773,1.0773,81.72
psychoanalytic_dialogues,history_theory_schools,186,11.7871,1578,14,0.8872,1578,-10.8999,10.8999,7.53
psychoanalytic_psychology,drive_conflict_defense,389,28.4149,1369,389,28.4149,1369,0.0,0.0,100.0
psychoanalytic_psychology,dream_fantasy_unconscious,275,20.0877,1369,155,11.3221,1369,-8.7656,8.7656,56.36
psychoanalytic_psychology,ego_self_narcissism,568,41.4901,1369,267,19.5033,1369,-21.9868,21.9868,47.01
psychoanalytic_psychology,object_relations,287,20.9642,1369,221,16.1432,1369,-4.821,4.821,77.0
psychoanalytic_psychology,kleinian_bionian,20,1.4609,1369,20,1.4609,1369,0.0,0.0,100.0
psychoanalytic_psychology,winnicottian_environment_holding,168,12.2717,1369,25,1.8262,1369,-10.4455,10.4455,14.88
psychoanalytic_psychology,attachment_development_infant,485,35.4273,1369,300,21.9138,1369,-13.5135,13.5135,61.86
psychoanalytic_psychology,transference_countertransference,223,16.2893,1369,223,16.2893,1369,0.0,0.0,100.0
