journal_key,period,semantic_family,n_articles_initial,pct_articles_group_initial,n_articles_group_initial,n_articles_refined,pct_articles_group_refined,n_articles_group_refined,delta_pct_refined_minus_initial,absolute_pct_drop,relative_retention_pct
ijpa,1920-1945,drive_conflict_defense,298,43.4402,686,298.0,43.4402,686.0,0.0,0.0,100.0
ijpa,1920-1945,dream_fantasy_unconscious,297,43.2945,686,159.0,23.1778,686.0,-20.1167,20.1167,53.54
ijpa,1920-1945,ego_self_narcissism,206,30.0292,686,76.0,11.0787,686.0,-18.9505,18.9505,36.89
ijpa,1920-1945,object_relations,182,26.5306,686,99.0,14.4315,686.0,-12.0991,12.0991,54.4
ijpa,1920-1945,kleinian_bionian,30,4.3732,686,30.0,4.3732,686.0,0.0,0.0,100.0
ijpa,1920-1945,winnicottian_environment_holding,164,23.9067,686,24.0,3.4985,686.0,-20.4082,20.4082,14.63
ijpa,1920-1945,attachment_development_infant,309,45.0437,686,171.0,24.9271,686.0,-20.1166,20.1166,55.34
ijpa,1920-1945,transference_countertransference,40,5.8309,686,40.0,5.8309,686.0,0.0,0.0,100.0
ijpa,1920-1945,technique_interpretation_process,137,19.9708,686,124.0,18.0758,686.0,-1.895,1.895,90.51
ijpa,1920-1945,relational_intersubjective_field,72,10.4956,686,39.0,5.6851,686.0,-4.8105,4.8105,54.17
ijpa,1920-1945,trauma_dissociation_affect_regulation,197,28.7172,686,59.0,8.6006,686.0,-20.1166,20.1166,29.95
ijpa,1920-1945,psychosis_borderline_primitive_states,61,8.8921,686,27.0,3.9359,686.0,-4.9562,4.9562,44.26
ijpa,1920-1945,body_sexuality_gender,224,32.6531,686,182.0,26.5306,686.0,-6.1225,6.1225,81.25
ijpa,1920-1945,language_narrative_symbolization,155,22.5948,686,110.0,16.035,686.0,-6.5598,6.5598,70.97
ijpa,1920-1945,culture_race_social_ethics,123,17.93,686,32.0,4.6647,686.0,-13.2653,13.2653,26.02
ijpa,1920-1945,empirical_research_measurement,95,13.8484,686,52.0,7.5802,686.0,-6.2682,6.2682,54.74
ijpa,1920-1945,history_theory_schools,276,40.2332,686,73.0,10.6414,686.0,-29.5918,29.5918,26.45
ijpa,1946-1969,drive_conflict_defense,631,52.3651,1205,631.0,52.3651,1205.0,0.0,0.0,100.0
ijpa,1946-1969,dream_fantasy_unconscious,535,44.3983,1205,327.0,27.1369,1205.0,-17.2614,17.2614,61.12
ijpa,1946-1969,ego_self_narcissism,599,49.7095,1205,344.0,28.5477,1205.0,-21.1618,21.1618,57.43
ijpa,1946-1969,object_relations,472,39.1701,1205,344.0,28.5477,1205.0,-10.6224,10.6224,72.88
ijpa,1946-1969,kleinian_bionian,72,5.9751,1205,72.0,5.9751,1205.0,0.0,0.0,100.0
ijpa,1946-1969,winnicottian_environment_holding,346,28.7137,1205,71.0,5.8921,1205.0,-22.8216,22.8216,20.52
ijpa,1946-1969,attachment_development_infant,599,49.7095,1205,334.0,27.7178,1205.0,-21.9917,21.9917,55.76
ijpa,1946-1969,transference_countertransference,225,18.6722,1205,225.0,18.6722,1205.0,0.0,0.0,100.0
ijpa,1946-1969,technique_interpretation_process,367,30.4564,1205,313.0,25.9751,1205.0,-4.4813,4.4813,85.29
ijpa,1946-1969,relational_intersubjective_field,378,31.3693,1205,191.0,15.8506,1205.0,-15.5187,15.5187,50.53
ijpa,1946-1969,trauma_dissociation_affect_regulation,439,36.4315,1205,192.0,15.9336,1205.0,-20.4979,20.4979,43.74
ijpa,1946-1969,psychosis_borderline_primitive_states,199,16.5145,1205,128.0,10.6224,1205.0,-5.8921,5.8921,64.32
ijpa,1946-1969,body_sexuality_gender,282,23.4025,1205,197.0,16.3485,1205.0,-7.054,7.054,69.86
ijpa,1946-1969,language_narrative_symbolization,333,27.6349,1205,236.0,19.5851,1205.0,-8.0498,8.0498,70.87
ijpa,1946-1969,culture_race_social_ethics,233,19.3361,1205,56.0,4.6473,1205.0,-14.6888,14.6888,24.03
ijpa,1946-1969,empirical_research_measurement,200,16.5975,1205,122.0,10.1245,1205.0,-6.473,6.473,61.0
ijpa,1946-1969,history_theory_schools,523,43.4025,1205,138.0,11.4523,1205.0,-31.9502,31.9502,26.39
