period,semantic_family,n_articles_initial,pct_articles_group_initial,n_articles_group_initial,n_articles_refined,pct_articles_group_refined,n_articles_group_refined,delta_pct_refined_minus_initial,absolute_pct_drop,relative_retention_pct
1920-1945,drive_conflict_defense,298,43.4402,686,298,43.4402,686,0.0,0.0,100.0
1920-1945,dream_fantasy_unconscious,297,43.2945,686,159,23.1778,686,-20.1167,20.1167,53.54
1920-1945,ego_self_narcissism,206,30.0292,686,76,11.0787,686,-18.9505,18.9505,36.89
1920-1945,object_relations,182,26.5306,686,99,14.4315,686,-12.0991,12.0991,54.4
1920-1945,kleinian_bionian,30,4.3732,686,30,4.3732,686,0.0,0.0,100.0
1920-1945,winnicottian_environment_holding,164,23.9067,686,24,3.4985,686,-20.4082,20.4082,14.63
1920-1945,attachment_development_infant,309,45.0437,686,171,24.9271,686,-20.1166,20.1166,55.34
1920-1945,transference_countertransference,40,5.8309,686,40,5.8309,686,0.0,0.0,100.0
1920-1945,technique_interpretation_process,137,19.9708,686,124,18.0758,686,-1.895,1.895,90.51
1920-1945,relational_intersubjective_field,72,10.4956,686,39,5.6851,686,-4.8105,4.8105,54.17
1920-1945,trauma_dissociation_affect_regulation,197,28.7172,686,59,8.6006,686,-20.1166,20.1166,29.95
1920-1945,psychosis_borderline_primitive_states,61,8.8921,686,27,3.9359,686,-4.9562,4.9562,44.26
1920-1945,body_sexuality_gender,224,32.6531,686,182,26.5306,686,-6.1225,6.1225,81.25
1920-1945,language_narrative_symbolization,155,22.5948,686,110,16.035,686,-6.5598,6.5598,70.97
1920-1945,culture_race_social_ethics,123,17.93,686,32,4.6647,686,-13.2653,13.2653,26.02
1920-1945,empirical_research_measurement,95,13.8484,686,52,7.5802,686,-6.2682,6.2682,54.74
1920-1945,history_theory_schools,276,40.2332,686,73,10.6414,686,-29.5918,29.5918,26.45
1946-1969,drive_conflict_defense,883,50.6598,1743,883,50.6598,1743,0.0,0.0,100.0
1946-1969,dream_fantasy_unconscious,757,43.4309,1743,482,27.6535,1743,-15.7774,15.7774,63.67
1946-1969,ego_self_narcissism,854,48.996,1743,503,28.8583,1743,-20.1377,20.1377,58.9
1946-1969,object_relations,628,36.0298,1743,456,26.1618,1743,-9.868,9.868,72.61
1946-1969,kleinian_bionian,74,4.2456,1743,74,4.2456,1743,0.0,0.0,100.0
1946-1969,winnicottian_environment_holding,465,26.6781,1743,84,4.8193,1743,-21.8588,21.8588,18.06
1946-1969,attachment_development_infant,836,47.9633,1743,465,26.6781,1743,-21.2852,21.2852,55.62
1946-1969,transference_countertransference,314,18.0149,1743,314,18.0149,1743,0.0,0.0,100.0
1946-1969,technique_interpretation_process,501,28.7435,1743,426,24.4406,1743,-4.3029,4.3029,85.03
1946-1969,relational_intersubjective_field,528,30.2926,1743,249,14.2857,1743,-16.0069,16.0069,47.16
1946-1969,trauma_dissociation_affect_regulation,608,34.8824,1743,253,14.5152,1743,-20.3672,20.3672,41.61
1946-1969,psychosis_borderline_primitive_states,261,14.9742,1743,163,9.3517,1743,-5.6225,5.6225,62.45
1946-1969,body_sexuality_gender,412,23.6374,1743,289,16.5806,1743,-7.0568,7.0568,70.15
1946-1969,language_narrative_symbolization,453,25.9897,1743,311,17.8428,1743,-8.1469,8.1469,68.65
1946-1969,culture_race_social_ethics,313,17.9575,1743,77,4.4177,1743,-13.5398,13.5398,24.6
1946-1969,empirical_research_measurement,270,15.4905,1743,158,9.0648,1743,-6.4257,6.4257,58.52
1946-1969,history_theory_schools,731,41.9392,1743,187,10.7286,1743,-31.2106,31.2106,25.58
1970-1989,drive_conflict_defense,864,49.1468,1758,864,49.1468,1758,0.0,0.0,100.0
1970-1989,dream_fantasy_unconscious,621,35.3242,1758,430,24.4596,1758,-10.8646,10.8646,69.24
1970-1989,ego_self_narcissism,850,48.3504,1758,533,30.3185,1758,-18.0319,18.0319,62.71
1970-1989,object_relations,660,37.5427,1758,482,27.4175,1758,-10.1252,10.1252,73.03
1970-1989,kleinian_bionian,53,3.0148,1758,53,3.0148,1758,0.0,0.0,100.0
1970-1989,winnicottian_environment_holding,311,17.6906,1758,47,2.6735,1758,-15.0171,15.0171,15.11
1970-1989,attachment_development_infant,738,41.9795,1758,418,23.777,1758,-18.2025,18.2025,56.64
1970-1989,transference_countertransference,391,22.2412,1758,391,22.2412,1758,0.0,0.0,100.0
1970-1989,technique_interpretation_process,467,26.5643,1758,372,21.1604,1758,-5.4039,5.4039,79.66
1970-1989,relational_intersubjective_field,492,27.9863,1758,245,13.9363,1758,-14.05,14.05,49.8
1970-1989,trauma_dissociation_affect_regulation,528,30.0341,1758,246,13.9932,1758,-16.0409,16.0409,46.59
1970-1989,psychosis_borderline_primitive_states,253,14.3914,1758,171,9.727,1758,-4.6644,4.6644,67.59
1970-1989,body_sexuality_gender,327,18.6007,1758,256,14.562,1758,-4.0387,4.0387,78.29
1970-1989,language_narrative_symbolization,399,22.6962,1758,269,15.3015,1758,-7.3947,7.3947,67.42
1970-1989,culture_race_social_ethics,225,12.7986,1758,53,3.0148,1758,-9.7838,9.7838,23.56
1970-1989,empirical_research_measurement,243,13.8225,1758,164,9.3288,1758,-4.4937,4.4937,67.49
1970-1989,history_theory_schools,603,34.3003,1758,94,5.347,1758,-28.9533,28.9533,15.59
1990-2009,drive_conflict_defense,1247,31.7545,3927,1247,31.7545,3927,0.0,0.0,100.0
1990-2009,dream_fantasy_unconscious,1198,30.5067,3927,723,18.411,3927,-12.0957,12.0957,60.35
1990-2009,ego_self_narcissism,1489,37.917,3927,631,16.0682,3927,-21.8488,21.8488,42.38
1990-2009,object_relations,1044,26.5852,3927,716,18.2327,3927,-8.3525,8.3525,68.58
1990-2009,kleinian_bionian,233,5.9333,3927,233,5.9333,3927,0.0,0.0,100.0
1990-2009,winnicottian_environment_holding,530,13.4963,3927,81,2.0626,3927,-11.4337,11.4337,15.28
1990-2009,attachment_development_infant,1311,33.3843,3927,671,17.0868,3927,-16.2975,16.2975,51.18
1990-2009,transference_countertransference,912,23.2238,3927,912,23.2238,3927,0.0,0.0,100.0
1990-2009,technique_interpretation_process,1145,29.1571,3927,873,22.2307,3927,-6.9264,6.9264,76.24
1990-2009,relational_intersubjective_field,1508,38.4008,3927,961,24.4716,3927,-13.9292,13.9292,63.73
1990-2009,trauma_dissociation_affect_regulation,1272,32.3911,3927,612,15.5844,3927,-16.8067,16.8067,48.11
1990-2009,psychosis_borderline_primitive_states,320,8.1487,3927,224,5.7041,3927,-2.4446,2.4446,70.0
1990-2009,body_sexuality_gender,727,18.5129,3927,574,14.6168,3927,-3.8961,3.8961,78.95
1990-2009,language_narrative_symbolization,894,22.7655,3927,566,14.413,3927,-8.3525,8.3525,63.31
1990-2009,culture_race_social_ethics,743,18.9203,3927,259,6.5954,3927,-12.3249,12.3249,34.86
1990-2009,empirical_research_measurement,583,14.8459,3927,435,11.0772,3927,-3.7687,3.7687,74.61
1990-2009,history_theory_schools,988,25.1592,3927,120,3.0558,3927,-22.1034,22.1034,12.15
2010-2025,drive_conflict_defense,976,24.0988,4050,976,24.0988,4050,0.0,0.0,100.0
2010-2025,dream_fantasy_unconscious,971,23.9753,4050,515,12.716,4050,-11.2593,11.2593,53.04
2010-2025,ego_self_narcissism,1511,37.3086,4050,610,15.0617,4050,-22.2469,22.2469,40.37
2010-2025,object_relations,948,23.4074,4050,605,14.9383,4050,-8.4691,8.4691,63.82
2010-2025,kleinian_bionian,303,7.4815,4050,303,7.4815,4050,0.0,0.0,100.0
2010-2025,winnicottian_environment_holding,586,14.4691,4050,72,1.7778,4050,-12.6913,12.6913,12.29
2010-2025,attachment_development_infant,1436,35.4568,4050,720,17.7778,4050,-17.679,17.679,50.14
2010-2025,transference_countertransference,641,15.8272,4050,641,15.8272,4050,0.0,0.0,100.0
2010-2025,technique_interpretation_process,888,21.9259,4050,632,15.6049,4050,-6.321,6.321,71.17
