journal_key,semantic_family,n_articles_initial,pct_articles_group_initial,n_articles_group_initial,n_articles_refined,pct_articles_group_refined,n_articles_group_refined,delta_pct_refined_minus_initial,absolute_pct_drop,relative_retention_pct
ijpa,history_theory_schools,2045,37.7098,5423,405,7.4682,5423,-30.2416,30.2416,19.8
ijpa,ego_self_narcissism,2230,41.1212,5423,1131,20.8556,5423,-20.2656,20.2656,50.72
ijpa,attachment_development_infant,2206,40.6786,5423,1127,20.7819,5423,-19.8967,19.8967,51.09
ijpa,trauma_dissociation_affect_regulation,1779,32.8047,5423,806,14.8626,5423,-17.9421,17.9421,45.31
ijpa,winnicottian_environment_holding,1135,20.9294,5423,185,3.4114,5423,-17.518,17.518,16.3
japa,history_theory_schools,876,29.959,2924,142,4.8564,2924,-25.1026,25.1026,16.21
japa,ego_self_narcissism,1152,39.3981,2924,579,19.8016,2924,-19.5965,19.5965,50.26
japa,attachment_development_infant,1079,36.9015,2924,578,19.7674,2924,-17.1341,17.1341,53.57
japa,trauma_dissociation_affect_regulation,846,28.933,2924,366,12.5171,2924,-16.4159,16.4159,43.26
japa,winnicottian_environment_holding,460,15.7319,2924,58,1.9836,2924,-13.7483,13.7483,12.61
psychoanalytic_dialogues,ego_self_narcissism,748,47.4018,1578,296,18.7579,1578,-28.6439,28.6439,39.57
psychoanalytic_dialogues,attachment_development_infant,550,34.8542,1578,263,16.6667,1578,-18.1875,18.1875,47.82
psychoanalytic_dialogues,culture_race_social_ethics,604,38.2763,1578,333,21.1027,1578,-17.1736,17.1736,55.13
psychoanalytic_dialogues,relational_intersubjective_field,1072,67.9341,1578,840,53.2319,1578,-14.7022,14.7022,78.36
psychoanalytic_dialogues,trauma_dissociation_affect_regulation,648,41.0646,1578,462,29.2776,1578,-11.787,11.787,71.3
psychoanalytic_psychology,ego_self_narcissism,568,41.4901,1369,267,19.5033,1369,-21.9868,21.9868,47.01
psychoanalytic_psychology,history_theory_schools,254,18.5537,1369,28,2.0453,1369,-16.5084,16.5084,11.02
psychoanalytic_psychology,trauma_dissociation_affect_regulation,470,34.3316,1369,274,20.0146,1369,-14.317,14.317,58.3
psychoanalytic_psychology,attachment_development_infant,485,35.4273,1369,300,21.9138,1369,-13.5135,13.5135,61.86
psychoanalytic_psychology,culture_race_social_ethics,273,19.9416,1369,115,8.4003,1369,-11.5413,11.5413,42.12
psychoanalytic_psychotherapy,trauma_dissociation_affect_regulation,293,33.6782,870,123,14.1379,870,-19.5403,19.5403,41.98
psychoanalytic_psychotherapy,attachment_development_infant,310,35.6322,870,177,20.3448,870,-15.2874,15.2874,57.1
psychoanalytic_psychotherapy,ego_self_narcissism,212,24.3678,870,80,9.1954,870,-15.1724,15.1724,37.74
psychoanalytic_psychotherapy,culture_race_social_ethics,221,25.4023,870,91,10.4598,870,-14.9425,14.9425,41.18
psychoanalytic_psychotherapy,technique_interpretation_process,208,23.908,870,92,10.5747,870,-13.3333,13.3333,44.23
