period,semantic_family,n_articles_initial,pct_articles_group_initial,n_articles_group_initial,n_articles_refined,pct_articles_group_refined,n_articles_group_refined,delta_pct_refined_minus_initial,absolute_pct_drop,relative_retention_pct
1920-1945,history_theory_schools,276,40.2332,686,73,10.6414,686,-29.5918,29.5918,26.45
1920-1945,winnicottian_environment_holding,164,23.9067,686,24,3.4985,686,-20.4082,20.4082,14.63
1920-1945,dream_fantasy_unconscious,297,43.2945,686,159,23.1778,686,-20.1167,20.1167,53.54
1920-1945,trauma_dissociation_affect_regulation,197,28.7172,686,59,8.6006,686,-20.1166,20.1166,29.95
1920-1945,attachment_development_infant,309,45.0437,686,171,24.9271,686,-20.1166,20.1166,55.34
1946-1969,history_theory_schools,731,41.9392,1743,187,10.7286,1743,-31.2106,31.2106,25.58
1946-1969,winnicottian_environment_holding,465,26.6781,1743,84,4.8193,1743,-21.8588,21.8588,18.06
1946-1969,attachment_development_infant,836,47.9633,1743,465,26.6781,1743,-21.2852,21.2852,55.62
1946-1969,trauma_dissociation_affect_regulation,608,34.8824,1743,253,14.5152,1743,-20.3672,20.3672,41.61
1946-1969,ego_self_narcissism,854,48.996,1743,503,28.8583,1743,-20.1377,20.1377,58.9
1970-1989,history_theory_schools,603,34.3003,1758,94,5.347,1758,-28.9533,28.9533,15.59
1970-1989,attachment_development_infant,738,41.9795,1758,418,23.777,1758,-18.2025,18.2025,56.64
1970-1989,ego_self_narcissism,850,48.3504,1758,533,30.3185,1758,-18.0319,18.0319,62.71
1970-1989,trauma_dissociation_affect_regulation,528,30.0341,1758,246,13.9932,1758,-16.0409,16.0409,46.59
1970-1989,winnicottian_environment_holding,311,17.6906,1758,47,2.6735,1758,-15.0171,15.0171,15.11
1990-2009,history_theory_schools,988,25.1592,3927,120,3.0558,3927,-22.1034,22.1034,12.15
1990-2009,ego_self_narcissism,1489,37.917,3927,631,16.0682,3927,-21.8488,21.8488,42.38
1990-2009,trauma_dissociation_affect_regulation,1272,32.3911,3927,612,15.5844,3927,-16.8067,16.8067,48.11
1990-2009,attachment_development_infant,1311,33.3843,3927,671,17.0868,3927,-16.2975,16.2975,51.18
1990-2009,relational_intersubjective_field,1508,38.4008,3927,961,24.4716,3927,-13.9292,13.9292,63.73
2010-2025,ego_self_narcissism,1511,37.3086,4050,610,15.0617,4050,-22.2469,22.2469,40.37
2010-2025,attachment_development_infant,1436,35.4568,4050,720,17.7778,4050,-17.679,17.679,50.14
2010-2025,history_theory_schools,838,20.6914,4050,132,3.2593,4050,-17.4321,17.4321,15.75
2010-2025,culture_race_social_ethics,1263,31.1852,4050,674,16.642,4050,-14.5432,14.5432,53.37
2010-2025,trauma_dissociation_affect_regulation,1431,35.3333,4050,861,21.2593,4050,-14.074,14.074,60.17
