semantic_family,marker_strength,n_terms
attachment_development_infant,medium,12
attachment_development_infant,strong,13
attachment_development_infant,weak,5
body_sexuality_gender,strong,21
body_sexuality_gender,weak,1
culture_race_social_ethics,medium,4
culture_race_social_ethics,strong,4
culture_race_social_ethics,weak,7
dream_fantasy_unconscious,medium,2
dream_fantasy_unconscious,strong,12
dream_fantasy_unconscious,weak,2
drive_conflict_defense,medium,3
drive_conflict_defense,strong,37
ego_self_narcissism,medium,9
ego_self_narcissism,strong,14
ego_self_narcissism,weak,4
empirical_research_measurement,medium,16
empirical_research_measurement,strong,8
empirical_research_measurement,weak,1
history_theory_schools,name_marker,4
history_theory_schools,strong,17
kleinian_bionian,name_marker,1
kleinian_bionian,strong,5
language_narrative_symbolization,medium,2
language_narrative_symbolization,strong,4
language_narrative_symbolization,weak,1
object_relations,strong,21
object_relations,weak,10
psychosis_borderline_primitive_states,medium,1
psychosis_borderline_primitive_states,strong,7
psychosis_borderline_primitive_states,weak,1
relational_intersubjective_field,medium,3
relational_intersubjective_field,strong,17
relational_intersubjective_field,weak,4
technique_interpretation_process,medium,5
technique_interpretation_process,strong,4
technique_interpretation_process,weak,2
transference_countertransference,strong,10
trauma_dissociation_affect_regulation,medium,1
trauma_dissociation_affect_regulation,strong,4
trauma_dissociation_affect_regulation,weak,4
winnicottian_environment_holding,medium,3
winnicottian_environment_holding,strong,2
winnicottian_environment_holding,weak,2
