journal_key,period,semantic_family,n_articles_refined,n_family_hit_rows_refined,n_articles_group,pct_articles_group_refined
ijpa,1920-1945,drive_conflict_defense,298,298,686,43.4402
ijpa,1920-1945,dream_fantasy_unconscious,159,159,686,23.1778
ijpa,1920-1945,ego_self_narcissism,76,76,686,11.0787
ijpa,1920-1945,object_relations,99,99,686,14.4315
ijpa,1920-1945,kleinian_bionian,30,30,686,4.3732
ijpa,1920-1945,winnicottian_environment_holding,24,24,686,3.4985
ijpa,1920-1945,attachment_development_infant,171,171,686,24.9271
ijpa,1920-1945,transference_countertransference,40,40,686,5.8309
ijpa,1920-1945,technique_interpretation_process,124,124,686,18.0758
ijpa,1920-1945,relational_intersubjective_field,39,39,686,5.6851
ijpa,1920-1945,trauma_dissociation_affect_regulation,59,59,686,8.6006
ijpa,1920-1945,psychosis_borderline_primitive_states,27,27,686,3.9359
ijpa,1920-1945,body_sexuality_gender,182,182,686,26.5306
ijpa,1920-1945,language_narrative_symbolization,110,110,686,16.035
ijpa,1920-1945,culture_race_social_ethics,32,32,686,4.6647
ijpa,1920-1945,empirical_research_measurement,52,52,686,7.5802
ijpa,1920-1945,history_theory_schools,73,73,686,10.6414
ijpa,1946-1969,drive_conflict_defense,631,631,1205,52.3651
ijpa,1946-1969,dream_fantasy_unconscious,327,327,1205,27.1369
ijpa,1946-1969,ego_self_narcissism,344,344,1205,28.5477
ijpa,1946-1969,object_relations,344,344,1205,28.5477
ijpa,1946-1969,kleinian_bionian,72,72,1205,5.9751
ijpa,1946-1969,winnicottian_environment_holding,71,71,1205,5.8921
ijpa,1946-1969,attachment_development_infant,334,334,1205,27.7178
ijpa,1946-1969,transference_countertransference,225,225,1205,18.6722
ijpa,1946-1969,technique_interpretation_process,313,313,1205,25.9751
ijpa,1946-1969,relational_intersubjective_field,191,191,1205,15.8506
ijpa,1946-1969,trauma_dissociation_affect_regulation,192,192,1205,15.9336
ijpa,1946-1969,psychosis_borderline_primitive_states,128,128,1205,10.6224
ijpa,1946-1969,body_sexuality_gender,197,197,1205,16.3485
ijpa,1946-1969,language_narrative_symbolization,236,236,1205,19.5851
ijpa,1946-1969,culture_race_social_ethics,56,56,1205,4.6473
ijpa,1946-1969,empirical_research_measurement,122,122,1205,10.1245
ijpa,1946-1969,history_theory_schools,138,138,1205,11.4523
ijpa,1970-1989,drive_conflict_defense,475,475,915,51.9126
ijpa,1970-1989,dream_fantasy_unconscious,249,249,915,27.2131
ijpa,1970-1989,ego_self_narcissism,292,292,915,31.9126
ijpa,1970-1989,object_relations,287,287,915,31.3661
ijpa,1970-1989,kleinian_bionian,46,46,915,5.0273
ijpa,1970-1989,winnicottian_environment_holding,31,31,915,3.388
ijpa,1970-1989,attachment_development_infant,222,222,915,24.2623
ijpa,1970-1989,transference_countertransference,224,224,915,24.4809
ijpa,1970-1989,technique_interpretation_process,199,199,915,21.7486
ijpa,1970-1989,relational_intersubjective_field,130,130,915,14.2077
ijpa,1970-1989,trauma_dissociation_affect_regulation,151,151,915,16.5027
ijpa,1970-1989,psychosis_borderline_primitive_states,115,115,915,12.5683
ijpa,1970-1989,body_sexuality_gender,143,143,915,15.6284
ijpa,1970-1989,language_narrative_symbolization,178,178,915,19.4536
ijpa,1970-1989,culture_race_social_ethics,34,34,915,3.7158
ijpa,1970-1989,empirical_research_measurement,78,78,915,8.5246
ijpa,1970-1989,history_theory_schools,62,62,915,6.776
ijpa,1990-2009,drive_conflict_defense,481,481,1396,34.4556
ijpa,1990-2009,dream_fantasy_unconscious,328,328,1396,23.4957
ijpa,1990-2009,ego_self_narcissism,228,228,1396,16.3324
ijpa,1990-2009,object_relations,327,327,1396,23.4241
ijpa,1990-2009,kleinian_bionian,148,148,1396,10.6017
ijpa,1990-2009,winnicottian_environment_holding,33,33,1396,2.3639
ijpa,1990-2009,attachment_development_infant,203,203,1396,14.5415
ijpa,1990-2009,transference_countertransference,374,374,1396,26.7908
ijpa,1990-2009,technique_interpretation_process,352,352,1396,25.2149
ijpa,1990-2009,relational_intersubjective_field,239,239,1396,17.1203
ijpa,1990-2009,trauma_dissociation_affect_regulation,220,220,1396,15.7593
ijpa,1990-2009,psychosis_borderline_primitive_states,95,95,1396,6.8052
ijpa,1990-2009,body_sexuality_gender,197,197,1396,14.1117
ijpa,1990-2009,language_narrative_symbolization,246,246,1396,17.6218
ijpa,1990-2009,culture_race_social_ethics,89,89,1396,6.3754
ijpa,1990-2009,empirical_research_measurement,110,110,1396,7.8797
ijpa,1990-2009,history_theory_schools,54,54,1396,3.8682
