journal_key,semantic_family,n_articles_refined,n_family_hit_rows_refined,n_articles_group,pct_articles_group_refined
ijpa,drive_conflict_defense,2280,2280,5423,42.0431
ijpa,dream_fantasy_unconscious,1290,1290,5423,23.7876
ijpa,ego_self_narcissism,1131,1131,5423,20.8556
ijpa,object_relations,1311,1311,5423,24.1748
ijpa,kleinian_bionian,462,462,5423,8.5193
ijpa,winnicottian_environment_holding,185,185,5423,3.4114
ijpa,attachment_development_infant,1127,1127,5423,20.7819
ijpa,transference_countertransference,1111,1111,5423,20.4868
ijpa,technique_interpretation_process,1246,1246,5423,22.9762
ijpa,relational_intersubjective_field,811,811,5423,14.9548
ijpa,trauma_dissociation_affect_regulation,806,806,5423,14.8626
ijpa,psychosis_borderline_primitive_states,446,446,5423,8.2242
ijpa,body_sexuality_gender,884,884,5423,16.3009
ijpa,language_narrative_symbolization,993,993,5423,18.3109
ijpa,culture_race_social_ethics,380,380,5423,7.0072
ijpa,empirical_research_measurement,432,432,5423,7.9661
ijpa,history_theory_schools,405,405,5423,7.4682
japa,drive_conflict_defense,1110,1110,2924,37.9617
japa,dream_fantasy_unconscious,623,623,2924,21.3064
japa,ego_self_narcissism,579,579,2924,19.8016
japa,object_relations,486,486,2924,16.6211
japa,kleinian_bionian,57,57,2924,1.9494
japa,winnicottian_environment_holding,58,58,2924,1.9836
japa,attachment_development_infant,578,578,2924,19.7674
japa,transference_countertransference,523,523,2924,17.8865
japa,technique_interpretation_process,626,626,2924,21.409
japa,relational_intersubjective_field,472,472,2924,16.1423
japa,trauma_dissociation_affect_regulation,366,366,2924,12.5171
japa,psychosis_borderline_primitive_states,132,132,2924,4.5144
japa,body_sexuality_gender,418,418,2924,14.2955
japa,language_narrative_symbolization,442,442,2924,15.1163
japa,culture_race_social_ethics,176,176,2924,6.0192
japa,empirical_research_measurement,336,336,2924,11.4911
japa,history_theory_schools,142,142,2924,4.8564
psychoanalytic_dialogues,drive_conflict_defense,295,295,1578,18.6946
psychoanalytic_dialogues,dream_fantasy_unconscious,188,188,1578,11.9138
psychoanalytic_dialogues,ego_self_narcissism,296,296,1578,18.7579
psychoanalytic_dialogues,object_relations,206,206,1578,13.0545
psychoanalytic_dialogues,kleinian_bionian,86,86,1578,5.4499
psychoanalytic_dialogues,winnicottian_environment_holding,31,31,1578,1.9645
psychoanalytic_dialogues,attachment_development_infant,263,263,1578,16.6667
psychoanalytic_dialogues,transference_countertransference,313,313,1578,19.8352
psychoanalytic_dialogues,technique_interpretation_process,249,249,1578,15.7795
psychoanalytic_dialogues,relational_intersubjective_field,840,840,1578,53.2319
psychoanalytic_dialogues,trauma_dissociation_affect_regulation,462,462,1578,29.2776
psychoanalytic_dialogues,psychosis_borderline_primitive_states,28,28,1578,1.7744
psychoanalytic_dialogues,body_sexuality_gender,313,313,1578,19.8352
psychoanalytic_dialogues,language_narrative_symbolization,241,241,1578,15.2725
psychoanalytic_dialogues,culture_race_social_ethics,333,333,1578,21.1027
psychoanalytic_dialogues,empirical_research_measurement,76,76,1578,4.8162
psychoanalytic_dialogues,history_theory_schools,14,14,1578,0.8872
psychoanalytic_psychology,drive_conflict_defense,389,389,1369,28.4149
psychoanalytic_psychology,dream_fantasy_unconscious,155,155,1369,11.3221
psychoanalytic_psychology,ego_self_narcissism,267,267,1369,19.5033
psychoanalytic_psychology,object_relations,221,221,1369,16.1432
psychoanalytic_psychology,kleinian_bionian,20,20,1369,1.4609
psychoanalytic_psychology,winnicottian_environment_holding,25,25,1369,1.8262
psychoanalytic_psychology,attachment_development_infant,300,300,1369,21.9138
psychoanalytic_psychology,transference_countertransference,223,223,1369,16.2893
psychoanalytic_psychology,technique_interpretation_process,214,214,1369,15.6318
psychoanalytic_psychology,relational_intersubjective_field,425,425,1369,31.0446
psychoanalytic_psychology,trauma_dissociation_affect_regulation,274,274,1369,20.0146
psychoanalytic_psychology,psychosis_borderline_primitive_states,76,76,1369,5.5515
psychoanalytic_psychology,body_sexuality_gender,196,196,1369,14.317
psychoanalytic_psychology,language_narrative_symbolization,159,159,1369,11.6143
psychoanalytic_psychology,culture_race_social_ethics,115,115,1369,8.4003
psychoanalytic_psychology,empirical_research_measurement,293,293,1369,21.4025
psychoanalytic_psychology,history_theory_schools,28,28,1369,2.0453
psychoanalytic_psychotherapy,drive_conflict_defense,194,194,870,22.2989
psychoanalytic_psychotherapy,dream_fantasy_unconscious,53,53,870,6.092
psychoanalytic_psychotherapy,ego_self_narcissism,80,80,870,9.1954
psychoanalytic_psychotherapy,object_relations,134,134,870,15.4023
psychoanalytic_psychotherapy,kleinian_bionian,68,68,870,7.8161
psychoanalytic_psychotherapy,winnicottian_environment_holding,9,9,870,1.0345
psychoanalytic_psychotherapy,attachment_development_infant,177,177,870,20.3448
psychoanalytic_psychotherapy,transference_countertransference,128,128,870,14.7126
psychoanalytic_psychotherapy,technique_interpretation_process,92,92,870,10.5747
psychoanalytic_psychotherapy,relational_intersubjective_field,187,187,870,21.4943
psychoanalytic_psychotherapy,trauma_dissociation_affect_regulation,123,123,870,14.1379
psychoanalytic_psychotherapy,psychosis_borderline_primitive_states,111,111,870,12.7586
psychoanalytic_psychotherapy,body_sexuality_gender,82,82,870,9.4253
psychoanalytic_psychotherapy,language_narrative_symbolization,60,60,870,6.8966
psychoanalytic_psychotherapy,culture_race_social_ethics,91,91,870,10.4598
psychoanalytic_psychotherapy,empirical_research_measurement,196,196,870,22.5287
psychoanalytic_psychotherapy,history_theory_schools,17,17,870,1.954
