period,semantic_family,n_articles_refined,n_family_hit_rows_refined,n_articles_group,pct_articles_group_refined
1920-1945,drive_conflict_defense,298,298,686,43.4402
1920-1945,dream_fantasy_unconscious,159,159,686,23.1778
1920-1945,ego_self_narcissism,76,76,686,11.0787
1920-1945,object_relations,99,99,686,14.4315
1920-1945,kleinian_bionian,30,30,686,4.3732
1920-1945,winnicottian_environment_holding,24,24,686,3.4985
1920-1945,attachment_development_infant,171,171,686,24.9271
1920-1945,transference_countertransference,40,40,686,5.8309
1920-1945,technique_interpretation_process,124,124,686,18.0758
1920-1945,relational_intersubjective_field,39,39,686,5.6851
1920-1945,trauma_dissociation_affect_regulation,59,59,686,8.6006
1920-1945,psychosis_borderline_primitive_states,27,27,686,3.9359
1920-1945,body_sexuality_gender,182,182,686,26.5306
1920-1945,language_narrative_symbolization,110,110,686,16.035
1920-1945,culture_race_social_ethics,32,32,686,4.6647
1920-1945,empirical_research_measurement,52,52,686,7.5802
1920-1945,history_theory_schools,73,73,686,10.6414
1946-1969,drive_conflict_defense,883,883,1743,50.6598
1946-1969,dream_fantasy_unconscious,482,482,1743,27.6535
1946-1969,ego_self_narcissism,503,503,1743,28.8583
1946-1969,object_relations,456,456,1743,26.1618
1946-1969,kleinian_bionian,74,74,1743,4.2456
1946-1969,winnicottian_environment_holding,84,84,1743,4.8193
1946-1969,attachment_development_infant,465,465,1743,26.6781
1946-1969,transference_countertransference,314,314,1743,18.0149
1946-1969,technique_interpretation_process,426,426,1743,24.4406
1946-1969,relational_intersubjective_field,249,249,1743,14.2857
1946-1969,trauma_dissociation_affect_regulation,253,253,1743,14.5152
1946-1969,psychosis_borderline_primitive_states,163,163,1743,9.3517
1946-1969,body_sexuality_gender,289,289,1743,16.5806
1946-1969,language_narrative_symbolization,311,311,1743,17.8428
1946-1969,culture_race_social_ethics,77,77,1743,4.4177
1946-1969,empirical_research_measurement,158,158,1743,9.0648
1946-1969,history_theory_schools,187,187,1743,10.7286
1970-1989,drive_conflict_defense,864,864,1758,49.1468
1970-1989,dream_fantasy_unconscious,430,430,1758,24.4596
1970-1989,ego_self_narcissism,533,533,1758,30.3185
1970-1989,object_relations,482,482,1758,27.4175
1970-1989,kleinian_bionian,53,53,1758,3.0148
1970-1989,winnicottian_environment_holding,47,47,1758,2.6735
1970-1989,attachment_development_infant,418,418,1758,23.777
1970-1989,transference_countertransference,391,391,1758,22.2412
1970-1989,technique_interpretation_process,372,372,1758,21.1604
1970-1989,relational_intersubjective_field,245,245,1758,13.9363
1970-1989,trauma_dissociation_affect_regulation,246,246,1758,13.9932
1970-1989,psychosis_borderline_primitive_states,171,171,1758,9.727
1970-1989,body_sexuality_gender,256,256,1758,14.562
1970-1989,language_narrative_symbolization,269,269,1758,15.3015
1970-1989,culture_race_social_ethics,53,53,1758,3.0148
1970-1989,empirical_research_measurement,164,164,1758,9.3288
1970-1989,history_theory_schools,94,94,1758,5.347
1990-2009,drive_conflict_defense,1247,1247,3927,31.7545
1990-2009,dream_fantasy_unconscious,723,723,3927,18.411
1990-2009,ego_self_narcissism,631,631,3927,16.0682
1990-2009,object_relations,716,716,3927,18.2327
1990-2009,kleinian_bionian,233,233,3927,5.9333
1990-2009,winnicottian_environment_holding,81,81,3927,2.0626
1990-2009,attachment_development_infant,671,671,3927,17.0868
1990-2009,transference_countertransference,912,912,3927,23.2238
1990-2009,technique_interpretation_process,873,873,3927,22.2307
1990-2009,relational_intersubjective_field,961,961,3927,24.4716
1990-2009,trauma_dissociation_affect_regulation,612,612,3927,15.5844
1990-2009,psychosis_borderline_primitive_states,224,224,3927,5.7041
1990-2009,body_sexuality_gender,574,574,3927,14.6168
1990-2009,language_narrative_symbolization,566,566,3927,14.413
1990-2009,culture_race_social_ethics,259,259,3927,6.5954
1990-2009,empirical_research_measurement,435,435,3927,11.0772
1990-2009,history_theory_schools,120,120,3927,3.0558
2010-2025,drive_conflict_defense,976,976,4050,24.0988
2010-2025,dream_fantasy_unconscious,515,515,4050,12.716
2010-2025,ego_self_narcissism,610,610,4050,15.0617
2010-2025,object_relations,605,605,4050,14.9383
2010-2025,kleinian_bionian,303,303,4050,7.4815
2010-2025,winnicottian_environment_holding,72,72,4050,1.7778
2010-2025,attachment_development_infant,720,720,4050,17.7778
2010-2025,transference_countertransference,641,641,4050,15.8272
2010-2025,technique_interpretation_process,632,632,4050,15.6049
2010-2025,relational_intersubjective_field,1241,1241,4050,30.642
2010-2025,trauma_dissociation_affect_regulation,861,861,4050,21.2593
2010-2025,psychosis_borderline_primitive_states,208,208,4050,5.1358
2010-2025,body_sexuality_gender,592,592,4050,14.6173
2010-2025,language_narrative_symbolization,639,639,4050,15.7778
2010-2025,culture_race_social_ethics,674,674,4050,16.642
2010-2025,empirical_research_measurement,524,524,4050,12.9383
2010-2025,history_theory_schools,132,132,4050,3.2593
