semantic_family,n_articles_any_marker,n_any_marker_rows,n_weak_only_rows,n_name_only_rows,n_articles_refined,n_family_hit_rows_refined,pct_articles_refined,pct_articles_any_marker
drive_conflict_defense,4268,4268,0,0,4268,4268,35.0871,35.0871
dream_fantasy_unconscious,3844,3844,1535,0,2309,2309,18.9822,31.6014
ego_self_narcissism,4910,4910,2557,0,2353,2353,19.344,40.365
object_relations,3462,3462,1104,0,2358,2358,19.3851,28.461
kleinian_bionian,693,693,0,0,693,693,5.6971,5.6971
winnicottian_environment_holding,2050,2050,1742,0,308,308,2.5321,16.853
attachment_development_infant,4630,4630,2185,0,2445,2445,20.1003,38.0631
transference_countertransference,2298,2298,0,0,2298,2298,18.8918,18.8918
technique_interpretation_process,3138,3138,711,0,2427,2427,19.9523,25.7974
relational_intersubjective_field,4409,4409,1674,0,2735,2735,22.4844,36.2463
trauma_dissociation_affect_regulation,4036,4036,2005,0,2031,2031,16.6968,33.1799
psychosis_borderline_primitive_states,1196,1196,403,0,793,793,6.5192,9.8323
body_sexuality_gender,2503,2503,610,0,1893,1893,15.5623,20.5771
language_narrative_symbolization,2838,2838,943,0,1895,1895,15.5788,23.3311
culture_race_social_ethics,2667,2667,1572,0,1095,1095,9.002,21.9254
empirical_research_measurement,1803,1803,470,0,1333,1333,10.9586,14.8224
history_theory_schools,3436,3436,0,2830,606,606,4.9819,28.2473
