documentID,PEPCode,year,title,authorMast,sourceTitle,keywords,art_kwds_count
TVPA.010.0148A,TVPA,2004,Johanna en de poezenwinkel,Christine Franckx,Tijdschrift voor psychoanalyse,,0
TVPA.025.0276A,TVPA,2019,"Liefde en haat in het werk van Freud, Klein en Bion: Klinische consequenties",Jan Cambien,Tijdschrift voor psychoanalyse,,0
CJP.019.0329A,CJP,2011,AU SUJET DE L'EMPRISE,Wilfrid Reid,Canadian Journal of Psychoanalysis,,1
PSU.039.0151A,PSU,2005,ATTACCAMENTO E SESSUALITÀ,Morris N. Eagle,Psicoterapia e Scienze Umane,,1
APM.001.0025A,APM,1985,LOS SUEÑOS COMO UNIDAD Y CONTINUIDAD DE LA VIDA PSIQUICA,"José Rallo Romero,  María Teresa Ruiz de Bascones and  Carolina Zamora de Pellicer",Revista de Psicoanálisis (APM),,0
RFP.050.1339A,RFP,1986,QUELQUES NOTES SUR LA« PHOBIE DU FONCTIONNEMENT MENTAL»,Evelyne Kestemberg,Revue française de psychanalyse,,0
PY.040.0055A,PY,2020,yeniden bulunan çocukluk: rüyalar,Ayça Gürdal Küey,Psikanaliz Yazıları,,0
APM.007.0007A,APM,1988,ALGUNOS ASPECTOS DEL PSICOANALISIS INFANTIL,M. Utrilla Robles,Revista de Psicoanálisis (APM),,0
LU-AM.023A.0021A,LU-AM,2010,Vierzehnhundert Stunden Analyse bei Freud: Viktor von Dirsztay. Eine biographische Skizze,Ulrike May,Luzifer-Amor: Zeitschrift zur Geschichte der Psychoanalyse,,0
LU-AM.020B.0007A,LU-AM,2007,K. R. Eissler und August Aichhorn. Aus ihrem Briefwechsel 1945-1949,Thomas Aichhorn and  Michael Schröter,Luzifer-Amor: Zeitschrift zur Geschichte der Psychoanalyse,,0
PAQ.073.0047A,PAQ,2004,"Subjectivity, Objectivity, and Triangular Space",Ronald Britton,Psychoanalytic Quarterly,,0
PSU.014C.0001A,PSU,1980,il sacro e la tecnica,Tito Perlini,Psicoterapia e Scienze Umane,,0
RBP.072.0011A,RBP,2018,Fille vs Garçon : entre Croyance et Conviction ?,Didier Lippe,Revue Belge de Psychanalyse,,0
JBP.081.0041A,JBP,2020,Kinder der Reproduktionsmedizin und ihre Eltern,Christine Anzieu-Premmereur,Jahrbuch der Psychoanalyse,,1
RPSA.004.0215A,RPSA,1958,Thanatos e la guerra assoluta,Franco Fornari,Rivista di Psicoanalisi,,0
APM.013.0017A,APM,1991,LA GUERRA Y EL SENTIMIENTO DE CULPA,León Grinberg,Revista de Psicoanálisis (APM),,0
RFP.053.1405A,RFP,1989,Beckett et Bion,Didier Anzieu,Revue française de psychanalyse,,1
IJP.018.0256A,IJP,1937,Affects in Theory and Practice,Marjorie Brierley,International Journal of Psychoanalysis ,,0
IJP.018.0373A,IJP,1937,Analysis Terminable and Interminable,Sigmund Freud,International Journal of Psychoanalysis ,,0
TVPA.022.0256A,TVPA,2016,Van psychoanalyse naar neuroanalyse: Is er een alternatief?,Jos Dirkx,Tijdschrift voor psychoanalyse,,0
SPR.040.0001A,SPR,2017,The screen function of unconscious fantasy,Judy Gammelgaard and  Sølvi Kristiansen,Scandinavian Psychoanalytic Review,,1
IJP.079.0649A,IJP,1998,The Primordial Mind and the Work of the Negative,André Green,International Journal of Psychoanalysis ,,0
RFP.023.0367A,RFP,1959,Résistance et transfert,M. Bouvet,Revue française de psychanalyse,,0
PAQ.031.0001A,PAQ,1962,The Dual Orientation of Narcissism,Lou Andreas-Salomé,Psychoanalytic Quarterly,,0
IJP.066.0405A,IJP,1985,'The Weak Spot'—Some Observations on Male Sexuality,Mervin Glasser,International Journal of Psychoanalysis ,,0
IJP.010.0125A,IJP,1929,The Unwelcome Child and his Death-Instinct,S. Ferenczi,International Journal of Psychoanalysis ,,0
IJP.089.0795A,IJP,2008,The Analytic Situation as a Dynamic Field,Madeleine Baranger and  Willy Baranger,International Journal of Psychoanalysis ,,1
RFP.032.0595A,RFP,1968,La dépression essentielle,Pierre Marty,Revue française de psychanalyse,,0
IJP.007.0324A,IJP,1926,"The Flight from Womanhood: The Masculinity-Complex in Women, as Viewed by Men and by Women",Karen Horney,International Journal of Psychoanalysis ,,0
IJP.041.0016A,IJP,1960,On the Therapeutic Action of Psycho-Analysis,Hans W. Loewald,International Journal of Psychoanalysis ,,0
PAQ.015.0419A,PAQ,1946,"Sleep, the Mouth, and the Dream Screen",Bertram D. Lewin,Psychoanalytic Quarterly,,0
IJP.075.0785A,IJP,1994,The Intolerance of Diversity in Psychoanalytic Institutes,Kenneth Eisold,International Journal of Psychoanalysis ,,0
IJP.053.0333A,IJP,1972,On the First Three Subphases of the Separation-Individuation Process,Margaret S. Mahler,International Journal of Psychoanalysis ,,0
RFP.050.1299A,RFP,1986,"ENTRE AGONIE PSYCHIQUE, DÉNI PSYCHOTIQUE ET PERVERSION NARCISSIQUE",Paul-Claude Racamier,Revue française de psychanalyse,,0
IJP.033.0235A,IJP,1952,Group Dynamics: A Re-View,W. R. Bion,International Journal of Psychoanalysis ,,0
IJP.078.1071A,IJP,1997,The Intuition Of The Negative In Playing And Reality,André Green,International Journal of Psychoanalysis ,,0
IFP.013.0031A,IFP,2004,Interpretation: Signals from the Analytic Field and Emotional Transformations,Antonino Ferro,International Forum of Psychoanalysis,,1
PSU.039.0347A,PSU,2005,TERAPEUTI “BREVI” O TERAPEUTI “BRAVI”? UNA CRITICA AL CONCETTO DI TERAPIA BREVE,Paolo Migone,Psicoterapia e Scienze Umane,,1
IJP.078.0227A,IJP,1997,Projective Identification: The Analyst's Involvement,Michael Feldman,International Journal of Psychoanalysis ,,0
CPS.022.0087A,CPS,1986,Theoretical Models and the Analyst's Neutrality,Jay R. Greenberg,Contemporary Psychoanalysis,,0
PAQ.019.0482A,PAQ,1950,Analysis of the Therapeutic Factors in Psychoanalytic Treatment,Franz Alexander,Psychoanalytic Quarterly,,0
PAQ.011.0301A,PAQ,1942,Some Forms of Emotional Disturbance and their Relationship to Schizophrenia,Helene Deutsch,Psychoanalytic Quarterly,,0
SPR.037.0015A,SPR,2014,Superego distortions and self-attack,"Mark J. Goldblatt,  Benjamin Herbstman and  John T. Maltsberger",Scandinavian Psychoanalytic Review,,1
IJP.010.0303A,IJP,1929,Womanliness as a Masquerade,Joan Riviere,International Journal of Psychoanalysis ,,0
IJP.039.0144A,IJP,1958,On Arrogance,W. R. Bion,International Journal of Psychoanalysis ,,0
IJP.057.0275A,IJP,1976,Freud and Female Sexuality—The Consideration of Some Blind Spots in the Exploration of the 'Dark Continent',Janine Chasseguet-Smirgel,International Journal of Psychoanalysis ,,0
PD.001.0029A,PD,1991,The Patient's Experience of the Analyst's Subjectivity,Lewis Aron,Psychoanalytic Dialogues,,0
PSU.040.0153A,PSU,2006,TECNICA E TEORIA DELLA TECNICA IN PSICOANALISI TRA ARCAICO E POSTMODERNO,Pier Francesco Galli,Psicoterapia e Scienze Umane,,1
PSC.018.0245A,PSC,1963,The Concept of Developmental Lines,Anna Freud,Psychoanalytic Study of the Child,,0
SPR.040.0094A,SPR,2017,Fundamentalist mindset,Sverre Varvin,Scandinavian Psychoanalytic Review,,1
IJP.006.0247A,IJP,1925,The Influence of Oral Erotism on Character-Formation,Karl Abraham,International Journal of Psychoanalysis ,,0
JBP.080.0159A,JBP,2020,"Die Objektbeziehung: Zwischen wem, zwischen was? Für wen, für was?*",Michel de M'Uzan,Jahrbuch der Psychoanalyse,,1
PY.034.0115A,PY,2017,bireysel ve toplumsal travmayla temasta psikanalitik çalışma üzerine notlar,"İlker Özyildirim,  A. Lale Orhon Baykal,  Baran Gürsel and  Aylin Kula Güney",Psikanaliz Yazıları,,0
