documentID,PEPCode,year,title,sourceTitle,keywords,kw_count_extracted
CJP.019.0329A,CJP,2011,AU SUJET DE L'EMPRISE,Canadian Journal of Psychoanalysis,,0
PSU.039.0151A,PSU,2005,ATTACCAMENTO E SESSUALITÀ,Psicoterapia e Scienze Umane,,0
JBP.081.0041A,JBP,2020,Kinder der Reproduktionsmedizin und ihre Eltern,Jahrbuch der Psychoanalyse,,0
RFP.053.1405A,RFP,1989,Beckett et Bion,Revue française de psychanalyse,,0
SPR.040.0001A,SPR,2017,The screen function of unconscious fantasy,Scandinavian Psychoanalytic Review,,0
IJP.089.0795A,IJP,2008,The Analytic Situation as a Dynamic Field,International Journal of Psychoanalysis ,,0
IFP.013.0031A,IFP,2004,Interpretation: Signals from the Analytic Field and Emotional Transformations,International Forum of Psychoanalysis,,0
PSU.039.0347A,PSU,2005,TERAPEUTI “BREVI” O TERAPEUTI “BRAVI”? UNA CRITICA AL CONCETTO DI TERAPIA BREVE,Psicoterapia e Scienze Umane,,0
SPR.037.0015A,SPR,2014,Superego distortions and self-attack,Scandinavian Psychoanalytic Review,,0
PSU.040.0153A,PSU,2006,TECNICA E TEORIA DELLA TECNICA IN PSICOANALISI TRA ARCAICO E POSTMODERNO,Psicoterapia e Scienze Umane,,0
SPR.040.0094A,SPR,2017,Fundamentalist mindset,Scandinavian Psychoanalytic Review,,0
JBP.080.0159A,JBP,2020,"Die Objektbeziehung: Zwischen wem, zwischen was? Für wen, für was?*",Jahrbuch der Psychoanalyse,,0
SPR.037.0099A,SPR,2014,The form of the soul ― on the body in Freud’s psychoanalysis,Scandinavian Psychoanalytic Review,,0
JBP.080.0103A,JBP,2020,Den Schmerz des Undenkbaren vermeiden - negative »therapeutische« Reaktionen und Wiederholungszwang neu betrachtet,Jahrbuch der Psychoanalyse,,0
JBP.082.0177A,JBP,2021,Heimliches Erträumen des Unerhörten?!: Überlegungen zum Hören und Träumen aus interkultureller Perspektive,Jahrbuch der Psychoanalyse,,0
RPP-CS.017B.0087A,RPP-CS,2015,Mlčení v psychoanalýze,Revue psychoanalytická psychoterapie,,0
RPP-CS.018B.0055A,RPP-CS,2016,Totalitní světy,Revue psychoanalytická psychoterapie,,0
RPP-CS.020B.0027A,RPP-CS,2018,Psychosomatické poruchy a centrální sensitizace v raném vývoji,Revue psychoanalytická psychoterapie,,0
JBP.082.0017A,JBP,2021,Was ist (denn eigentlich) das Material der Stunde?,Jahrbuch der Psychoanalyse,,0
RRP.013B.0017A,RRP,2020,Regression in the Analytic Field,Revue Roumaine de Psychanalyse,,0
SPR.040.0029A,SPR,2017,Controlling the uncontrollable. Self-regulation and the dynamics of addiction,Scandinavian Psychoanalytic Review,,0
CJP.018.0181A,CJP,2010,Traumatismes et paradoxes de la destructivité,Canadian Journal of Psychoanalysis,,0
PSU.040.0379A,PSU,2006,L'IO E I MECCANISMI DI ADATTAMENTO (1977),Psicoterapia e Scienze Umane,,0
SPR.038.0086A,SPR,2015,The talking cure: psychoanalysis and the ambiguity of language,Scandinavian Psychoanalytic Review,,0
SPR.039.0013A,SPR,2016,Social mirrors. Tove Jansson’s Invisible Child and the importance of being seen,Scandinavian Psychoanalytic Review,,0
RRP.006A.0053A,RRP,2013,"Creativity, Symbolism and Play",Revue Roumaine de Psychanalyse,,0
RRP.006A.0069A,RRP,2013,Freud Between the Clinical Practice and the Theory of Technique,Revue Roumaine de Psychanalyse,,0
RRP.013B.0043A,RRP,2020,Traditions of Understanding in Psychoanalysis,Revue Roumaine de Psychanalyse,,0
