keyword,first,second,ratio
psychotherapy,13.0,0.0,14.0
schizophrenia,7.0,0.0,8.0
family therapy,6.0,0.0,7.0
adolescence,6.0,0.0,7.0
group psychotherapy,5.0,0.0,6.0
depression,4.0,0.0,5.0
anorexia nervosa,7.0,1.0,4.0
therapeutic relation,3.0,0.0,4.0
alexithymia,3.0,0.0,4.0
eating disorders,3.0,0.0,4.0
death,3.0,0.0,4.0
psychosis,3.0,0.0,4.0
anger,2.0,0.0,3.0
sexuality,2.0,0.0,3.0
individual psychotherapy,2.0,0.0,3.0
group therapy,2.0,0.0,3.0
psychodynamic psychotherapy,2.0,0.0,3.0
cognitive-behavioral therapy,2.0,0.0,3.0
dignity,2.0,0.0,3.0
anxiety,2.0,0.0,3.0
assimilation to the group,2.0,0.0,3.0
psychoanalysis,2.0,0.0,3.0
couples therapy,2.0,0.0,3.0
hypnosis,2.0,0.0,3.0
child and adolescent,2.0,0.0,3.0
newcomer in group,2.0,0.0,3.0
rebirth,2.0,0.0,3.0
somatic disease and neurotic disorders,2.0,0.0,3.0
spirituality,2.0,0.0,3.0
therapy,2.0,0.0,3.0
psychodrama,7.0,2.0,2.6666666666666665
dialogical,1.0,0.0,2.0
ACOAs,1.0,0.0,2.0
Gestalt,1.0,0.0,2.0
Holocaust,1.0,0.0,2.0
disabled persons,1.0,0.0,2.0
not finished mourning,1.0,0.0,2.0
Internet therapy,1.0,0.0,2.0
J. P. Sartre,1.0,0.0,2.0
Jacob Levi Moreno,1.0,0.0,2.0
ewaluacja psychoterapii,1.0,0.0,2.0
experience of values,1.0,0.0,2.0
family assesment,1.0,0.0,2.0
fathers-sons relationship,1.0,0.0,2.0
kwestionariusz,1.0,0.0,2.0
fenomenology,1.0,0.0,2.0
Personality disorders,1.0,0.0,2.0
nieletni niedostosowani społecznie,1.0,0.0,2.0
in psychotherapy,1.0,0.0,2.0
SEPTIMUS,1.0,0.0,2.0
analytic therapy,1.0,0.0,2.0
integrated need-adapted treatment,1.0,0.0,2.0
late adolescence,1.0,0.0,2.0
eclectic therapy,1.0,0.0,2.0
act,1.0,0.0,2.0
acting out,1.0,0.0,2.0
attachment,1.0,0.0,2.0
attributes,1.0,0.0,2.0
