article_id,journal_key,journal_title_config,journal_title_crossref,publisher_family,article_url,doi,year,publication_date,volume,issue_number,pages,title,authors,article_type,crossref_subjects,abstract_text,n_keywords,keyword_extraction_status,keyword_source
10.1080/16506070510010648,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070510010648,10.1080/16506070510010648,2005,2005-3,34,1,34-40,Interoceptive Exposure Therapy Combined with Trauma‐related Exposure Therapy for Post‐traumatic Stress Disorder: a Case Report,Jaye Wald; Steven Taylor,journal-article,,,0,no_keywords_found,
10.1080/16506070410005401,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/full/10.1080/16506070410005401,10.1080/16506070410005401,2005,2005-3,34,1,50-63,Hierarchical Model of Vulnerabilities for Anxiety: Replication and Extension with a Clinical Sample,Peter J. Norton; Kathryn A. Sexton; John R. Walker; G. Ron Norton,journal-article,,,0,no_keywords_found,
10.1080/16506070510010657,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070510010657,10.1080/16506070510010657,2005,2005-3,34,1,41-49,Intensive Cognitive Behavioural Group Treatment for Social Phobia: a Pilot Study,Ewa Mörtberg; Gunilla Berglund; Örjan Sundin,journal-article,,,0,no_keywords_found,
10.1080/16506070410015031,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070410015031,10.1080/16506070410015031,2005,2005-3,34,1,16-21,Screening People With Anxiety/Depression for Suitability for Guided Self‐help,Lina Gega; Mark Kenwright; David Mataix‐Cols; Rachel Cameron; Isaac M. Marks,journal-article,,,0,no_keywords_found,
10.1080/16506070410001009,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070410001009,10.1080/16506070410001009,2005,2005-3,34,1,22-33,Further Examination of the Psychometric Properties of the Comprehensive Effects of Alcohol Questionnaire,Ivan Valdivia; Sherry H. Stewart,journal-article,,,0,no_keywords_found,
10.1080/16506070410030106,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070410030106,10.1080/16506070410030106,2005,2005-3,34,1,3-15,Cognitive Assessment of Social Anxiety: a Comparison of Self‐report and Thought Listing Methods,Nina Heinrichs; Stefan G. Hofmann,journal-article,,,0,no_keywords_found,
10.1080/16506070510008489,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070510008489,10.1080/16506070510008489,2005,2005-3,34,1,1-2,Is CBT already the Dominant Paradigm in Psychotherapy Research and Practice?,Gerhard Andersson; Gordon J. G. Asmundson; Per Carlbring; Ata Ghaderi; Stefan G. Hofmann; Sherry H. Stewart,journal-article,,,0,no_keywords_found,
10.1080/16506070510010620,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070510010620,10.1080/16506070510010620,2005,2005-6,34,2,127-127,Book review,,journal-article,,,0,no_keywords_found,
10.1080/16506070510010639,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070510010639,10.1080/16506070510010639,2005,2005-6,34,2,126-126,Book review,,journal-article,,,0,no_keywords_found,
10.1080/16506070510008452,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070510008452,10.1080/16506070510008452,2005,2005-6,34,2,108-114,Long‐term Self‐monitoring of Weight: A Case Study,Raimo Lappalainen; Piia Pulkkinen; Mark van Gils; Juha Pärkkä; Ilkka Korhonen,journal-article,,,0,no_keywords_found,
10.1080/16506073.2005.10715716,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506073.2005.10715716,10.1080/16506073.2005.10715716,2005,2005-6,34,2,89-98,Are There Interactions Among Dysfunctional Beliefs in Obsessive Compulsive Disorder?,Steven Taylor; Jonathan S. Abramowitz; Dean McKay,journal-article,,,0,no_keywords_found,
10.1080/16506070510010611,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070510010611,10.1080/16506070510010611,2005,2005-6,34,2,65-74,Health Perception Is a Unique Predictor of Anxiety Symptoms in Non‐Clinical Participants,Andrew R. Yartz; Michael J. Zvolensky; Kristin Gregor; Matthew T. Feldner; Ellen W. Leen‐Feldner,journal-article,,,0,no_keywords_found,
10.1080/16506070510010675,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070510010675,10.1080/16506070510010675,2005,2005-6,34,2,128-128,Obituary,,journal-article,,,0,no_keywords_found,
10.1080/16506070510008425,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070510008425,10.1080/16506070510008425,2005,2005-6,34,2,124-125,Book review,,journal-article,,,0,no_keywords_found,
10.1080/16506070510008461,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070510008461,10.1080/16506070510008461,2005,2005-6,34,2,115-123,A Burden to Others: A Common Source of Distress for the Terminally Ill,Keith G. Wilson; Dorothyann Curran; Christine J. McPherson,journal-article,,,0,no_keywords_found,
10.1080/16506070410005410,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070410005410,10.1080/16506070410005410,2005,2005-6,34,2,75-78,Cognitive Behaviour Therapy for Panic Disorder: Long‐term Follow‐up,Justin Kenardy; Susan Robinson; Rian Dob,journal-article,,,0,no_keywords_found,
10.1080/16506070510008443,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/abs/10.1080/16506070510008443,10.1080/16506070510008443,2005,2005-6,34,2,79-88,Healthcare Utilization Following Cognitive‐Behavioral Treatment for Panic Disorder with Agoraphobia,Pasquale Roberge; André Marchand; Daniel Reinharz; Karine Cloutier; Nicole Mainguy; Jean‐Marc Miller; Jean Bégin; Julie Turcotte,journal-article,,,0,no_keywords_found,
