journal_key,year,n_articles,n_with_doi,n_with_abstract
arts_in_psychotherapy,2005,59,59,0
arts_in_psychotherapy,2006,63,63,0
arts_in_psychotherapy,2007,57,57,0
arts_in_psychotherapy,2008,56,56,0
arts_in_psychotherapy,2009,59,59,0
arts_in_psychotherapy,2010,71,71,0
arts_in_psychotherapy,2011,63,63,0
arts_in_psychotherapy,2012,76,76,0
arts_in_psychotherapy,2013,83,83,0
arts_in_psychotherapy,2014,87,87,0
arts_in_psychotherapy,2015,63,63,0
arts_in_psychotherapy,2016,66,66,0
arts_in_psychotherapy,2017,75,75,0
arts_in_psychotherapy,2018,60,60,0
arts_in_psychotherapy,2019,75,75,0
arts_in_psychotherapy,2020,73,73,0
arts_in_psychotherapy,2021,99,99,0
arts_in_psychotherapy,2022,70,70,0
arts_in_psychotherapy,2023,82,82,0
arts_in_psychotherapy,2024,78,78,0
arts_in_psychotherapy,2025,117,117,0
behaviour_research_and_therapy,2005,131,131,0
behaviour_research_and_therapy,2006,149,149,0
behaviour_research_and_therapy,2007,280,280,0
behaviour_research_and_therapy,2008,144,144,0
behaviour_research_and_therapy,2009,167,167,0
behaviour_research_and_therapy,2010,177,177,0
behaviour_research_and_therapy,2011,133,133,0
behaviour_research_and_therapy,2012,114,114,0
behaviour_research_and_therapy,2013,129,129,0
behaviour_research_and_therapy,2014,144,144,0
behaviour_research_and_therapy,2015,150,150,0
behaviour_research_and_therapy,2016,133,133,0
behaviour_research_and_therapy,2017,187,187,0
behaviour_research_and_therapy,2018,129,129,0
behaviour_research_and_therapy,2019,158,158,0
behaviour_research_and_therapy,2020,162,162,0
behaviour_research_and_therapy,2021,154,154,0
behaviour_research_and_therapy,2022,152,152,0
behaviour_research_and_therapy,2023,137,137,0
behaviour_research_and_therapy,2024,135,135,0
behaviour_research_and_therapy,2025,186,186,0
clinical_psychology_psychotherapy,2005,42,42,13
clinical_psychology_psychotherapy,2006,39,39,24
clinical_psychology_psychotherapy,2007,47,47,46
clinical_psychology_psychotherapy,2008,40,40,39
clinical_psychology_psychotherapy,2009,44,44,42
clinical_psychology_psychotherapy,2010,49,49,49
clinical_psychology_psychotherapy,2011,52,52,50
clinical_psychology_psychotherapy,2012,58,58,52
clinical_psychology_psychotherapy,2013,51,51,51
clinical_psychology_psychotherapy,2014,51,51,51
clinical_psychology_psychotherapy,2015,68,68,67
clinical_psychology_psychotherapy,2016,51,51,50
clinical_psychology_psychotherapy,2017,137,137,134
clinical_psychology_psychotherapy,2018,99,99,99
clinical_psychology_psychotherapy,2019,75,75,73
clinical_psychology_psychotherapy,2020,85,85,83
clinical_psychology_psychotherapy,2021,133,133,131
clinical_psychology_psychotherapy,2022,155,155,152
clinical_psychology_psychotherapy,2023,126,126,125
clinical_psychology_psychotherapy,2024,197,197,195
clinical_psychology_psychotherapy,2025,186,186,184
cognitive_behaviour_therapy,2005,32,32,0
cognitive_behaviour_therapy,2006,29,29,0
cognitive_behaviour_therapy,2007,26,26,0
cognitive_behaviour_therapy,2008,24,24,0
cognitive_behaviour_therapy,2009,39,39,0
cognitive_behaviour_therapy,2010,37,37,0
cognitive_behaviour_therapy,2011,35,35,0
cognitive_behaviour_therapy,2012,33,33,0
cognitive_behaviour_therapy,2013,38,38,0
cognitive_behaviour_therapy,2014,34,34,0
cognitive_behaviour_therapy,2015,47,47,0
cognitive_behaviour_therapy,2016,42,42,0
cognitive_behaviour_therapy,2017,31,31,0
cognitive_behaviour_therapy,2018,34,34,0
cognitive_behaviour_therapy,2019,35,35,0
cognitive_behaviour_therapy,2020,34,34,0
cognitive_behaviour_therapy,2021,36,36,0
cognitive_behaviour_therapy,2022,30,30,0
cognitive_behaviour_therapy,2023,38,38,0
cognitive_behaviour_therapy,2024,41,41,0
cognitive_behaviour_therapy,2025,91,91,0
counselling_psychotherapy_research,2005,52,52,13
counselling_psychotherapy_research,2006,49,49,26
counselling_psychotherapy_research,2007,45,45,31
counselling_psychotherapy_research,2008,42,42,32
counselling_psychotherapy_research,2009,46,46,34
counselling_psychotherapy_research,2010,44,44,33
counselling_psychotherapy_research,2011,51,51,34
counselling_psychotherapy_research,2012,43,43,33
counselling_psychotherapy_research,2013,46,46,32
counselling_psychotherapy_research,2014,46,46,35
counselling_psychotherapy_research,2015,41,41,24
counselling_psychotherapy_research,2016,47,47,30
counselling_psychotherapy_research,2017,50,50,33
counselling_psychotherapy_research,2018,45,45,38
counselling_psychotherapy_research,2019,61,61,54
counselling_psychotherapy_research,2020,76,76,72
counselling_psychotherapy_research,2021,100,100,95
counselling_psychotherapy_research,2022,105,105,101
counselling_psychotherapy_research,2023,105,105,100
counselling_psychotherapy_research,2024,150,150,146
